"","act12h_vs_notact","act24h_vs_notact","act48h_vs_notact","act72h_vs_notact","act96h_vs_notact","act_vs_notact","act48h_vs_act12h","act72h_vs_act12h","act72h_vs_act48h","act96h_vs_act48h","act96h_vs_act72h"
"notact",-1,-1,-1,-1,-1,-1,0,0,0,0,0
"act12h",1,0,0,0,0,0.2,-1,-1,0,0,0
"act24h",0,1,0,0,0,0.2,0,0,0,0,0
"act48h",0,0,1,0,0,0.2,1,0,-1,-1,0
"act72h",0,0,0,1,0,0.2,0,1,1,0,-1
"act96h",0,0,0,0,1,0.2,0,0,0,1,1
