"","[example-data] act_vs_notact","[example-data] act12h_vs_notact","[example-data] act24h_vs_notact","[example-data] act48h_vs_notact","[example-data] act72h_vs_notact","[example-data] act96h_vs_notact","[GSE157905-lenvatinib-bc] treatment:Combi_vs_CT","[GSE157905-lenvatinib-bc] treatment:Gefitinib_vs_CT","[GSE157905-lenvatinib-bc] treatment:Lenvatinib_vs_CT","[GSE88808-prostate] old_normal_vs_young_normal","[GSE88808-prostate] old_tumor_vs_old_normal","[GSE88808-prostate] old_tumor_vs_young_tumor","[GSE88808-prostate] young_tumor_vs_young_normal"
"C5",-3.07598254249445,0.0679779789939252,-1.36270728771878,-3.42639064013257,-5.59290428181214,-4.63991339450659,0.955139703747503,0.75024093500517,0.311878954372892,-0.0468920584794041,0.0576335350448636,-0.108055492146039,0.118796968711498
"TECPR1",-3.47676313490099,-1.04455473374098,-2.73394476044719,-5.31685403929136,-4.42046958021858,-4.16041749468473,0.626720790705138,0.3610609853794,0.160040928590498,-0.16754503157617,0.44663539296967,-0.0142350521579899,0.293325413551489
"CRIP2",-3.52016792266695,-1.4911382128835,-4.68924126155793,-4.44211605339253,-3.7379131037421,-4.40919877297412,0.808947435948144,0.301749010240247,0.462130010700101,-0.0868750170208476,-0.0470654571162704,-0.136299834570049,0.00235936043293083
"TK1",3.82465010042693,0.365184242962241,-0.570496180647434,5.3181611419962,6.14956905657978,6.58216581780759,NA,NA,NA,0.437415236554611,0.396285010901213,0.0801027895410691,0.753597457914754
"SFN",0.946448212905799,2.22117866721697,-6.18401669598294,1.80768570127479,1.48803312159328,1.8908189873338,-0.669994874099878,-0.746641316693411,0.0658557689810454,-0.552743706336009,-0.65823180711114,-0.436118067690931,-0.774857445756219
"NCAPH",3.3709268981285,-0.70513871060914,-0.944391769228521,5.67932455351706,5.80030346154062,5.97801553501795,-0.469199808894883,-0.17888086955624,-0.0783336473793221,NA,NA,NA,NA
"GPT2",-3.7327286158564,-2.18894382309749,-2.83187035205789,-4.11317032262376,-5.12350790659631,-4.11287508205185,0.47931270429504,0.45918865855032,0.197851029604328,-0.192444982773824,0.377208024783818,0.0459712789581908,0.138791763051803
"GZMB",4.32509005671835,0.422242203893033,3.5833263687942,7.50252425456529,6.21527029067339,4.4004808640761,NA,NA,NA,0.531392641207087,0.123134253151853,0.209870519606302,0.444656374752638
"TYMS",3.67647396471185,-0.475138301849885,-0.249112932044393,6.32916155911523,6.21044486575239,5.6619379536702,-0.245491437252522,0.0164158223509781,-0.0602167834310361,NA,NA,NA,NA
"RIN3",-3.25861065917546,-0.182215797229597,-1.8867881909012,-4.94566277859129,-5.42054167938719,-3.6784885256346,0.0865292868666963,0.163842245757929,-0.0794908848895511,0.245571553435887,-0.183889550836983,0.0599943684153142,0.00168763418358993
"MCM6",3.3881447109547,0.607608152996603,3.03449744185111,4.22412398987377,4.73472589889993,4.76341830680278,-0.382446632836847,-0.126765987654177,0.056443237739253,0.0740677730378036,-0.227758507580009,-0.140380478360723,-0.0133102561814826
"MCM4",4.72826422670752,1.02737028615448,4.5099517072869,6.01333411352198,6.41269679730209,6.38312464124775,-0.633597639002376,-0.25618616283789,-0.0462815798256884,NA,NA,NA,NA
"TRIP13",2.71163608034727,-0.830653511774825,0.4751770537607,4.83422151508637,4.06249672308399,4.99927976777572,-0.714292951638179,-0.353586299942939,0.0170408840563757,0.0825548236755642,0.768912486851179,-0.101978383005852,0.953445693532595
"ANK2",-3.97429766365539,-3.97429766365539,-3.97429766365539,-3.97429766365539,-3.97429766365539,-3.97429766365539,0.48349509837614,0.112587905608486,0.333569890501643,0.0610657101775445,-0.350718715959521,0.0562750146759514,-0.345928020457928
"MTHFD1L",3.69639785353629,2.46385172193882,4.27465591165788,4.6275677301083,4.11481008642298,3.54713987905633,-0.958104129331016,-0.501136148235052,-0.0450580000490879,-0.0387099919515167,0.494782606655361,0.022731791683485,0.433340823020359
"CRYL1",-2.92168911628852,-0.49398461866025,-3.35057794772719,-3.90445414066298,-3.45320251728163,-4.31802240733556,1.61465322294565,1.09020726517928,0.433812332835971,-0.166536063291766,0.288975160206253,-0.238873915313041,0.361313012227528
