 	CD8+ T cells	CD4+ T cells	CD4Tcell-Th1-restimulated12hour	CD4Tcell-Th1-restimulated48hour	CD4Tcell-Th2-restimulated12hour	CD4Tcell-Th2-restimulated48hour	MemoryTcell-RO-unactivated	MemoryTcell-RO-activated	NKcell-control	NKcell-IL2stimulated	NKcell-IL15stimulated	Bcell-naive	Bcell-Memory_IgG_IgA	Bcell-Memory_IgM	PlasmaCell-FromPBMC	PlasmaCell-FromBoneMarrow	Monocyte-Day0	Monocyte-Day1	Monocyte-Day7	DendriticCell-Control	DendriticCell-LPSstimulated	Neutrophil-Resting
FCRL5	7.470813404	7.039153019	7.244478009	6.426331855	6.297442118	6.550572369	7.269385422	6.940010098	7.484331509	7.529989563	6.917815612	10.42950941	9.741583274	9.968912981	11.25831379	12.99401628	7.441767027	6.588545999	6.844913903	7.069940205	6.838731212	9.143124501
TSSK6	3.649011815	6.598429723	2.962549023	4.589104298	2.534227649	4.688012463	4.047538389	2.605099194	3.223345316	5.288262576	3.30759853	4.098922398	3.843983844	5.364913806	7.035062997	7.152239203	3.026608277	3.703331456	2.858693875	2.986532293	3.224734898	4.116897018
TRPM6	6.387091079	7.419139961	6.746870332	6.660652	6.750186641	6.11804127	6.165932032	5.85647948	7.64151171	7.170748305	7.269798377	8.352959622	8.48670834	8.223799007	7.190473297	7.902574093	6.607734705	6.983014483	6.318911815	6.337577305	6.269513217	9.756311127
TM2D2	9.905111302	9.357043893	10.36685111	10.78602153	10.35359567	10.44072627	10.07942123	10.89175637	9.967924017	10.16341772	10.15269384	7.864971408	7.823926057	8.361037968	9.790011747	9.216885878	10.08469735	10.82998912	11.3273758	11.27220315	12.56510775	8.966005866
PMCHL2	6.421223299	6.906898611	6.164987353	6.3668176	4.82082569	5.465038476	6.682947781	5.803674795	6.827472914	6.652205386	6.23037596	8.251504728	8.6741596	8.025463509	7.241058385	7.680781457	5.976180308	6.251857928	5.766904303	6.884237691	5.662281469	8.162423556
CDCA7	9.901107489	10.69109035	12.50936616	12.78626248	11.94586139	11.94244889	10.27039228	11.97634526	9.440016272	11.1987392	11.1522785	9.055071285	9.457758434	8.898166019	8.816230624	8.311941267	7.827157426	6.913897673	7.142027048	7.053810063	7.824275672	8.695895014
NIPSNAP3A	9.024111172	8.569687284	8.715690923	9.436826731	8.490360204	9.116174121	9.043597867	8.665839233	9.333592007	9.100662865	9.071015362	8.309311335	8.005776108	8.300765517	9.134715515	6.749024676	10.02570792	8.625410533	9.452541556	9.836930593	10.86438324	7.503607926
C1orf97	6.472971026	7.399421777	6.169925001	7.60736484	5.571454342	6.4269971	5.56285296	5.846618675	7.262552958	6.512318554	6.48407098	6.489068069	6.974540784	6.726538344	8.344621402	6.935391973	6.189617033	5.716796602	7.012822843	7.226697974	8.865417792	6.588291883
C6orf125	9.705431519	9.793187103	11.27817762	11.12060596	11.06595797	10.5768811	9.843679797	11.51841449	9.481902334	9.763831149	9.947609666	9.078219061	9.079851411	9.033304608	11.26154786	10.49634974	8.745548843	9.18472867	10.71234142	9.839466526	9.435347311	8.941614006
RIOK1	9.34747078	8.992110331	11.05741642	10.30546519	10.36103724	9.460103627	9.451338888	10.14895232	9.650779366	10.2567366	10.12560354	9.292687766	9.006852002	9.143694425	9.250041758	9.679245203	8.807222347	8.691709792	8.848406207	8.483786896	8.34012679	8.84305486
