 	CD8+ T cells	CD4+ T cells	CD4Tcell-Th1-restimulated12hour	CD4Tcell-Th1-restimulated48hour	CD4Tcell-Th2-restimulated12hour	CD4Tcell-Th2-restimulated48hour	MemoryTcell-RO-unactivated	MemoryTcell-RO-activated	NKcell-control	NKcell-IL2stimulated	NKcell-IL15stimulated	Bcell-naive	Bcell-Memory_IgG_IgA	Bcell-Memory_IgM	PlasmaCell-FromPBMC	PlasmaCell-FromBoneMarrow	Monocyte-Day0	Monocyte-Day1	Monocyte-Day7	DendriticCell-Control	DendriticCell-LPSstimulated	Neutrophil-Resting
ILF2	11.34611131	11.48327366	12.46961015	12.56324713	12.12314734	12.17214348	11.41813407	12.73692939	10.79123921	11.5311549	11.55487204	10.22643525	10.42496459	10.52871342	12.24244382	11.10089357	10.69119586	10.96374745	11.20116038	11.17109974	10.95903076	8.201260398
SEC61A1	10.64949152	10.46295754	10.88175752	11.3863116	11.11967845	11.52055337	11.2850733	11.76963112	10.54214824	11.62159028	11.31618799	9.653652758	10.36517416	10.10405944	13.61606507	12.42301438	10.32945085	10.80795176	11.10877991	10.85607908	10.8823566	9.396811966
PERP	9.094816663	7.949136075	10.17250939	10.8423231	9.139761091	9.071653636	9.8028599	10.20792538	7.044609961	7.475149751	7.332448368	7.497240536	8.067504275	7.783252009	11.77343527	10.60532325	5.452732696	7.538934503	5.893894062	5.520574158	10.01734665	7.267176203
PTPLAD1	11.14479301	10.11164604	12.40205048	12.24871123	12.04276516	11.55156344	10.9980288	11.86762856	11.00718832	11.56149283	11.48435518	9.140872122	9.28470787	9.274786383	11.29946657	10.34983409	9.316377331	9.693057396	12.32544179	11.71448845	10.54998612	8.03577345
CORO1C	8.122953497	8.622738828	9.611167768	10.71948751	9.164027804	9.59785144	8.331478315	9.560583134	8.810157082	9.484494249	9.34908399	8.81372394	9.243048992	8.756970725	9.899319659	8.870417124	11.52066222	11.66219437	12.56588043	11.97702293	10.65475804	10.9150924
SSR3	11.31654388	11.18725886	11.88174816	12.49859935	11.82953565	12.04417733	12.01184421	12.15762263	11.0450296	11.47995311	11.34141754	9.779612433	10.82444329	10.77159532	14.81908727	14.21344174	11.47574462	12.02463129	12.13592306	12.25811416	12.45914619	10.01576209
ALDH18A1	9.96571828	9.491037342	10.98843333	11.03127595	10.61231778	10.20850263	10.15070352	10.40864641	9.405359021	10.04183051	9.914314117	8.43404436	8.720085185	8.473588057	11.34078422	10.31595816	6.768319985	6.40519395	7.596146264	7.003883283	5.562364552	5.955066319
POLDIP2	9.302945021	9.314996301	9.871915246	9.993621059	9.466785481	9.506357174	9.013061145	10.21992154	7.930030599	8.909471911	8.824187613	6.98273939	7.271103477	7.076722086	10.02113174	7.670645628	8.208058736	6.695488151	8.983712842	8.347729133	8.442065727	7.139803035
UBE2J1	10.68368637	10.34047214	10.72861186	11.42382062	10.55204335	10.6841291	10.96614612	10.63281258	10.43427715	10.69823619	10.53410668	10.99383779	11.97891053	11.4183386	14.97685037	13.74906656	10.98108345	11.46676208	11.6108561	10.93699293	10.77923619	11.78095054
ARL8B	9.537659588	9.831203248	10.46950548	11.17985665	10.28545501	10.45017509	10.19476055	11.19856066	10.05910816	10.65372341	10.4737952	8.601102203	8.417249157	8.30331956	10.50895579	9.200840994	10.84737178	13.04916074	12.13850647	11.58658102	12.83961297	9.448543371
METTL9	10.14333028	9.636097107	9.277842981	9.502428071	9.320238702	9.221388143	10.39663867	9.458276044	9.723678434	9.23853085	9.236019774	9.137303339	8.893007197	8.915792008	9.048142621	9.2169477	10.81707039	10.1801489	8.894001723	8.149495642	7.789485826	10.38273987
CMPK1	11.79136489	11.24868426	11.24236581	11.60852805	11.03371	11.01761923	12.41368161	11.6180459	11.05045714	10.73884585	10.89245073	10.18757813	10.30103599	10.26834783	11.40886981	10.27174372	10.12626555	9.820950242	10.77850566	10.70150184	10.35948475	9.064279304
ZDHHC9	7.130982335	8.474899723	8.647393666	7.77633652	8.155648053	4.499505764	7.196013536	8.129655665	4.758476414	6.032475578	6.713865328	5.05617474	6.158241079	5.439606517	8.719421907	7.483529628	5.13389227	5.938091678	8.704477769	7.536280894	6.182291714	5.102372587
CYBRD1	3.560776084	4.083440323	7.204712962	6.611801897	6.538455391	5.883433462	4.981274242	3.771815167	9.625644468	6.792967245	7.174253267	4.31869903	4.471301284	4.145188323	4.875075578	4.069143607	10.31265355	5.375572377	9.16449425	8.22919855	6.514537856	9.896654212
PARVA	6.006258747	5.919125522	4.467246869	3.890122383	4.608730405	4.171286904	6.116108259	3.269831097	5.290553421	5.771880298	5.577277753	7.146803575	7.3846521	6.567343893	4.412623475	6.395804013	5.366718537	4.962896005	4.910360909	4.699884729	5.332928677	6.152572845
LIMA1	8.63668896	8.004171767	9.882563577	10.24262751	11.22377749	10.91440905	8.421944186	10.57680365	7.519925156	7.777870734	7.652767311	6.044803137	7.250075719	5.249141903	5.754059051	5.957949412	6.0542968	6.466550992	8.588582539	7.921443274	7.219021661	5.571543333
BACE1	7.907849068	8.501176379	7.779440309	7.725318537	8.034993326	8.003319262	8.527063817	8.067023769	8.753215913	8.398128866	8.210664851	9.484803334	9.482992441	9.237368923	8.801442157	9.573316295	8.816335438	8.0787219	9.422646319	10.4174714	8.630473426	9.552393211
ADAMTS1	3.264048444	3.15018054	4.106850796	3.641892789	3.062294438	3.076217022	3.199646173	2.647621515	3.959561524	7.192087617	7.562328932	3.89424958	4.37649877	4.564652535	4.665582268	4.409883066	3.028171295	3.500345298	3.033011793	3.229357196	3.432580873	4.185406712
POLR3E	9.129849679	8.369235264	9.494293594	8.54355517	8.734813473	7.922986706	9.033631315	8.701582555	8.744707722	8.279439722	8.011518934	8.257919158	8.013525069	8.206458861	9.080533312	8.618042225	6.83184136	6.219721931	6.582292549	6.729468932	6.094721673	6.048122817
PPIL1	8.645996102	7.140448069	10.76386508	10.61955271	10.46029616	9.815692297	8.360832456	10.97284819	7.451209051	9.339371251	9.51718119	4.684377945	5.63967353	5.335890521	9.109053174	9.342711403	7.017249198	7.579898556	8.610571501	8.03339088	7.072845399	4.141089407
REPIN1	8.042355693	8.214108611	7.273273431	8.097903955	7.453923575	7.604975691	8.313430289	8.084321208	7.729845032	7.823298448	6.931289083	8.397562183	8.123992032	8.151224617	8.691498107	7.653733614	7.593803174	6.331070698	7.508231214	7.986158707	9.624402522	7.390094992
NUB1	11.46417444	11.00161696	10.16198968	10.74005394	10.40130727	10.71560284	11.1912326	9.75794109	12.01574885	11.21503143	11.26332398	10.59225132	10.48742706	10.77084577	10.31563	9.686538608	10.8555211	10.4482583	10.22158712	11.11791036	14.18020581	11.04078999
SLC25A37	7.409354868	8.097120897	7.93408889	6.829325279	7.708023953	6.191648184	8.207629348	7.489577722	7.731923139	6.555714942	6.767111832	6.983151602	5.954434801	6.981604383	4.769295698	3.404800964	10.48948883	13.08164895	7.468239137	5.304413691	5.963192802	13.30987176
SRPRB	9.497477646	9.147893455	10.53513586	10.39645101	10.36456623	10.0179182	9.622485661	10.71306196	9.031027075	10.07175918	9.818077758	8.724404222	8.921049469	8.425556864	11.84269146	11.61273019	8.742861816	8.392800745	9.272505959	9.211551708	8.023462366	8.398641097
ADCK3	5.474152084	6.205177438	3.067380578	4.824071961	3.718452962	4.686407146	5.664700897	4.491746226	5.461847748	2.910003456	3.394216865	5.492301865	6.489273979	5.54689446	7.702812202	3.993108222	4.96767586	3.181685661	4.078545793	6.649081294	4.081495865	6.276213757
CLDN1	7.988759944	8.769317741	7.69474093	8.332891391	7.698107326	7.760491538	8.198129047	7.668736099	8.395526638	8.376207889	7.994409069	9.508705945	9.332495922	9.503425265	9.351766708	9.243347168	7.802976188	8.202879265	7.732953159	11.24974743	9.542139691	9.603801386
C8orf33	8.532857518	8.744480687	9.618128511	9.35246576	9.384279384	9.093884081	8.703916259	9.988033718	8.23556672	8.920153336	8.642099842	7.988163664	8.546086093	8.266917689	8.397373728	7.954939282	7.73499576	7.51226113	8.437586332	8.382394186	8.14627421	7.107099876
ALG5	7.669120688	7.974808433	7.847555389	8.094603806	7.86105588	7.969398034	8.17356055	7.947221966	7.737369042	8.27395967	7.862562974	9.061799337	9.27690139	9.006263656	11.19361016	10.76712384	7.230862663	7.710660665	7.712898374	7.88578279	7.590317572	8.904931409
STMN3	12.14893538	11.29191009	9.266073214	9.340901214	8.728076965	8.955296334	12.3128925	9.981511153	9.870065283	8.323679005	8.195997957	10.67267511	10.2348752	10.23495631	9.496988223	9.437499293	8.720418135	7.758486408	7.606792594	8.463543446	8.182202312	9.760936793
ST6GALNAC6	8.83390919	6.614042321	7.486420753	8.511448272	8.007416046	8.304904942	9.449293802	8.326416004	9.456239919	8.570556284	7.94310671	5.781940422	5.548806499	5.647990794	6.080160195	6.006746832	5.202688708	5.794563161	7.797318372	7.816715959	6.626439137	5.57902322
PDP1	10.46216482	9.623670586	9.06281519	9.153752146	8.805139802	8.575206424	11.18449789	8.706768818	9.774919218	9.080360269	9.295229784	10.12470865	9.098599967	9.561446432	10.73998364	9.858971342	11.02824337	9.280641262	8.609884519	8.996244673	8.882924735	8.819731402
UBA5	9.516128444	9.90972111	10.39806119	10.63005503	10.20364573	10.03481042	10.0267286	10.35884823	9.65548779	10.00623602	9.900379288	9.294231471	9.568115257	9.4943336	11.95227447	10.93893063	8.603962564	8.78774479	9.177349976	8.864063851	8.695794932	8.552459306
ACSL5	10.48664751	9.709028655	10.92218632	10.98319481	10.79244191	10.52346231	10.24513473	10.56421111	10.72646448	10.86974821	10.97748136	7.807027334	7.877575558	7.555915828	10.4162349	8.718162951	10.60657686	13.53016508	10.97173831	9.838744079	9.253634393	7.874544939
SPATS2	8.635403432	7.971305959	9.001415232	9.115397451	9.247019215	8.816563443	8.142018535	8.196011896	8.692506533	8.624712857	8.54505842	8.353865158	8.569402797	8.647050025	11.77957861	11.00843282	7.298104583	7.377424569	8.092443995	9.007015583	9.329720857	8.172469514
ERMP1	9.138639788	8.157811757	9.824918974	10.58323606	9.54197681	10.26152651	9.307444464	9.286766431	10.84343844	10.30538349	10.17414339	8.186627893	7.460013498	7.875397656	7.755553037	6.978936354	7.520212691	7.186805907	9.624227494	9.197796604	8.281219127	8.169194452
ZWILCH	9.612534041	9.853848581	11.42348967	11.74131614	10.98011696	11.23500299	9.813905151	11.50857341	10.33242935	10.68568563	10.64132143	9.265958895	9.583082768	9.315480755	10.5941364	8.929980315	8.488659271	8.744683899	9.487377648	9.450854172	10.30993236	8.477988108
ANLN	5.916990095	7.977117707	8.934035798	10.58158224	7.915668286	9.728616682	5.658021015	9.623719963	6.683692946	7.090705259	6.884184768	7.755820372	7.496496304	7.590560853	7.624551788	6.978613228	4.707234875	5.429451378	6.702475163	5.59056709	5.38010603	7.249140007
ZNF639	11.08232903	11.067076	10.62677723	10.86179799	10.40036466	10.29678394	11.7363977	10.78526364	10.54292303	10.26439732	10.34261956	10.1942285	10.0014652	9.959468065	11.0206286	10.24816359	9.264910521	8.724481168	9.309792371	8.812106159	9.377291521	7.743247009
LZTFL1	8.12848545	7.040585628	5.932628157	7.171990716	6.944253292	6.140424209	8.042007693	7.383131132	7.578853824	7.316232649	6.924325586	5.701208422	7.7134037	6.592883055	10.56234897	7.947213198	6.742658628	6.249636537	5.883229789	7.256457177	5.40888732	6.574809963
GLT25D1	8.499859836	8.324797105	9.178494307	8.939236374	9.282482278	8.246012141	9.044576266	9.278612072	7.482362276	8.72244075	8.255031718	7.944399166	6.920430274	8.623821148	6.745291123	6.3969729	9.414197738	8.941596401	10.47189973	10.32741454	8.984444094	7.27975171
IPO11	6.909824097	8.053601929	9.121273187	9.511650542	8.415807952	8.255802837	5.906112934	9.596028826	7.238634024	8.476923569	8.452439628	6.400084088	6.766489155	6.083596334	8.441198493	6.8442601	6.68701635	7.747340401	8.92349116	8.445815661	8.378820099	6.628572397
PPP1R3B	7.944183488	8.943924256	7.805395649	8.725274222	8.742656382	8.637840853	8.463626544	8.557089656	8.247680716	7.684451286	7.951716973	8.372245075	8.404367775	8.10681678	9.007969128	8.928567229	8.195801568	8.979168646	8.256975641	8.671417225	7.5429377	11.76270459
KCTD15	5.354108302	5.995205601	6.639745873	6.972558639	5.831759038	6.079093612	8.228462782	7.23202752	6.831034832	5.877390894	6.672470131	7.889861144	8.258429413	7.987606523	7.313179328	7.04442964	8.553933223	6.69591612	7.264616182	7.333945447	6.919848544	7.753591166
MAFB	8.776976614	9.168412217	8.911191225	8.985153149	8.606949244	8.504784566	8.587043639	8.200382068	10.06257474	9.323681256	9.177858011	9.424025582	9.407199771	9.123271733	9.382296186	9.727765629	12.6522093	13.59207345	11.58465471	12.19957451	10.49763781	9.856175564
JMJD4	7.357162688	6.96337008	8.659928125	8.383194508	8.738086628	7.469587554	8.308134217	8.427825432	6.596275495	6.89487353	6.983071504	6.897039846	7.03064231	6.299821606	9.06886156	7.659667727	6.281729156	6.254549953	6.137161936	6.248060387	5.894785434	6.476277986
DTL	7.968066265	9.378911835	11.45476426	11.97039042	11.2481195	11.12272922	7.744589444	11.49454845	8.696127738	10.58504234	10.38283798	9.192720451	9.20687456	9.007095965	10.04048517	8.865288642	7.639480599	7.579442286	8.237528267	7.715603988	7.30670882	8.915609334
POGLUT1	9.694990288	9.243241435	9.496754932	9.579830062	9.418078182	9.331430541	9.664607279	9.257075068	9.734930156	9.652075211	9.326123088	9.491624938	9.161649648	9.350453599	9.709201016	9.20622868	9.078578481	8.342027615	8.63075219	9.169328765	11.90126321	9.080706157
HAUS6	9.610706059	9.163741912	10.6830253	10.75983493	10.47361782	10.07855424	9.575379779	10.20764155	9.33167387	9.608019683	9.372026327	8.822364603	8.669332434	8.287062443	9.007742128	7.907341367	7.790209461	7.780019133	8.386615899	7.983434489	7.82468937	7.437052919
CPPED1	8.853838187	8.813042556	8.675882956	10.32677888	9.189625269	10.2692658	8.788769439	9.486460978	8.924358993	8.463349441	8.341120707	8.026296577	8.780454466	8.842539704	9.571235	8.33635927	12.01197666	9.951545057	10.90941717	11.47301687	10.3257977	13.60761912
AXIN2	8.452710735	9.734770578	7.209097522	7.266355541	8.072345229	8.499707722	9.982640937	8.29010642	7.004998497	7.281303217	6.906712252	8.765297467	8.688704905	8.281774741	7.663380202	8.028933758	6.688469466	6.703753646	6.627817167	6.993561151	8.450381667	8.368528287
SLC25A15	5.59406329	6.569977093	8.239056671	8.398403104	8.162933392	8.18234469	4.980543285	7.082879964	5.191799501	6.464550651	5.925366519	5.896168034	5.684264719	5.764506725	6.70866548	5.45418412	4.746379954	5.085247594	4.562359464	5.776248777	5.272514707	6.020951057
RHBDF1	4.859683862	5.904211108	3.918433942	6.137831372	4.173127433	4.791032617	6.284156278	5.708647089	5.556084489	4.847876677	4.944624223	6.723979747	5.891959853	5.895235963	7.944592991	7.90349326	4.433699489	4.77893132	4.295576103	5.413808431	4.601973779	5.510234061
LACTB2	8.688973224	8.634716682	9.783621986	9.992048471	9.664694379	9.575878294	9.048930921	10.01615363	8.923256166	8.65107753	8.6800512	7.677946107	7.705069022	7.327936563	9.133551539	7.64419338	9.199719371	9.086582768	10.6400832	10.15098735	9.078014673	8.074985955
SNX24	5.941018253	6.35875375	3.946917968	5.136861272	4.094714637	5.056164415	7.241484296	6.597680144	7.372368844	7.370347396	7.194934103	4.747694291	5.900673631	5.390211957	6.84139871	6.145529714	6.220412188	5.46989954	9.099076869	7.848284916	6.899008419	4.999485948
SDPR	5.151097744	4.775647589	3.822016271	5.196502132	3.819123154	4.568011831	5.339576874	4.110725152	5.346939166	5.905278686	6.294654442	5.761190276	5.251586555	4.541886492	5.944202526	6.050115287	5.440780596	4.657925772	4.016912262	5.795628434	5.966568897	7.819941473
PDGFC	6.228101974	6.159454274	3.446917865	5.337865675	4.00093144	5.435272988	5.017135039	3.257211817	4.031218731	5.650247577	5.04037375	6.961813475	6.93212615	5.81420432	6.077606191	6.572851782	7.276395855	6.475032176	8.051389323	9.000903749	9.287232171	5.973386267
TAF1D	10.74819096	10.7680219	11.77813382	10.94972411	11.28789088	10.36031416	11.42770603	10.81793071	10.48086491	10.11304252	9.950865447	10.31337074	9.461244607	9.405079222	9.971682931	9.485241145	9.54313802	9.340841515	8.707703083	9.312675761	9.955959819	9.72906429
TMEM38B	7.731279993	8.312904127	8.812695556	8.804805412	7.899586527	7.61214359	7.941462401	8.418042331	7.66608017	7.972283679	8.23738685	8.052595996	7.894575273	7.49158457	8.10046436	8.342580301	8.221359945	10.93886865	11.06311163	9.121573664	9.142808658	7.688619592
ATAD2	7.400091715	8.758368699	9.965813138	10.86676969	9.5315933	9.819378662	8.059092046	10.57604747	8.009159589	8.627616322	8.676952584	6.112691198	5.415217825	6.41594031	8.095224698	3.208712332	5.786703079	5.076099415	6.922971844	6.622347163	6.781864568	4.721919446
C11orf71	8.715585399	8.370377913	8.300837572	9.014130226	8.535601988	8.498069987	8.602253463	8.447592971	9.057681767	8.43759396	8.548865567	8.831552461	8.012374525	8.580359392	11.04485832	9.913467645	8.526494023	8.626659065	8.383563544	8.574591004	9.116113025	9.273158249
SUFU	7.686433994	7.464594758	7.431108933	8.097315823	7.849963825	7.630111773	7.769344191	7.510001913	7.753210062	6.572716898	7.077520742	6.82438964	6.860590409	6.735708324	6.388166571	6.662522408	8.525069203	7.562531825	8.536279599	9.689690828	8.102610895	8.10776109
SRD5A3	8.950414464	8.682071104	8.659298451	9.503690603	8.991696622	8.70903555	8.605986872	9.361445249	8.688822028	8.901111864	8.67331202	8.752091481	9.087477427	9.009486444	10.24927229	9.872200829	9.0550605	9.091543596	11.0593217	11.52777029	11.45028775	8.410207101
HERPUD2	11.7812013	10.60656221	10.02090843	11.14872718	9.977291373	10.61364154	12.35668158	10.46821911	11.61168603	10.44601486	10.32332221	9.673796412	9.624152998	9.569841846	10.02041423	9.373518259	10.64412735	10.70259947	10.13730392	10.16849099	10.86152469	11.44653074
TMEM206	9.71479029	9.268337697	10.18038784	9.897573224	10.06051896	9.747548526	10.05050533	9.728850761	10.15121574	9.932720271	9.722117604	10.01771456	9.951294551	9.804383551	10.77931937	9.755845224	10.40594017	12.11397218	11.15489894	10.78314613	11.09036707	9.418244773
SPCS3	10.05174934	9.549069078	11.29397191	11.20944788	11.14752464	11.00095092	10.36044695	10.76549386	11.05952715	11.64700684	11.8630158	8.544893248	9.323535016	9.358498463	13.87476255	12.83290781	10.84010913	12.3246248	11.23443965	10.85503391	10.70695483	10.86899243
TRNT1	9.086811625	8.771602812	10.44528494	10.36026294	9.974117225	9.670967177	9.424481253	10.65878422	8.841811983	9.095366428	9.075143953	8.049852438	8.01049314	8.193499488	9.326692384	7.811337763	8.256504354	8.82213315	9.207933512	8.471286379	9.250219845	8.142859616
ZNF703	3.585773789	6.358812346	4.133686814	4.018307762	3.658287663	3.671104624	3.995363913	3.49155384	4.754687114	4.292973114	4.105664111	5.53891945	5.51814955	5.373474214	4.29270814	4.647213759	9.137274669	6.777693674	5.939406825	6.716170117	4.164973949	4.460899797
BIVM	9.75401394	8.925961848	10.33403244	10.91750436	10.70228554	10.93368918	9.747079084	10.1703282	10.2848958	10.20092753	10.05131749	8.640850194	8.957767357	8.748110647	9.385708563	8.76579578	7.412939559	7.402543835	8.723728343	9.07960967	8.069694112	8.737120225
ASRGL1	7.288974474	5.587415	6.549114655	7.728306029	6.199665802	7.293909947	6.918020425	7.0578257	7.309751451	7.146078827	6.922491243	6.319279866	6.905615652	6.655820485	8.468522226	6.64955798	9.497158425	7.229029469	9.780169272	8.250367906	5.623715695	8.481227083
ESF1	6.875300887	7.472114052	9.063024248	8.311107984	8.44145028	7.504180738	7.429342574	8.888679331	6.885955608	7.791717715	7.535268896	6.065166063	6.57876893	5.861918155	6.60430859	6.189621974	6.51611104	7.830403759	7.825573651	7.110044758	7.12683695	4.433480286
GALNT12	8.801802919	8.416687765	4.704457019	6.735865119	4.654454636	4.798724514	8.620036498	7.048287054	7.66995863	6.810265712	6.811336157	5.100857538	5.034237729	5.101881151	4.83052577	6.524345816	4.181102551	5.584679444	8.228203811	10.46782136	9.153767343	4.634221512
NETO2	7.092643518	6.315240153	10.24396832	9.655627913	9.312072913	7.957537397	8.018081457	9.686167245	6.33230514	8.142835115	7.312256744	7.648608218	7.630332659	8.084807059	9.633981489	9.048257305	8.645190667	8.799004174	8.966516747	9.732649092	10.97114774	7.507667804
C9orf40	8.335970889	9.032811654	9.892390267	10.77985804	9.828774367	10.16654767	8.582931029	10.717669	8.74534155	9.199129515	9.153007699	8.38534968	8.407625738	8.604139912	8.944883818	6.808378615	7.567949106	7.998841434	8.460704345	8.749246527	9.195584238	9.021348133
C11orf1	10.56587155	10.03658804	9.573831772	9.903997799	9.432905834	9.496656745	9.926893905	9.85852294	9.002035806	8.299022975	8.167223264	7.690428071	8.825404046	8.288706919	9.988151625	10.37793874	8.21838039	6.768271457	9.118613229	9.053339003	9.000166238	7.588515268
CHST12	9.156587489	8.510706156	9.287839331	9.507155062	8.98081363	9.076262458	8.423803645	7.483670694	11.45105692	10.38934331	10.14498235	7.908709991	7.705850071	8.542553099	9.92283858	8.77241273	8.14108617	7.747660967	8.054892331	7.92021786	8.623699846	7.827749174
RSBN1	11.49481934	11.21172954	10.4906689	10.69625035	10.75839757	10.57115345	11.91389992	9.970917868	11.20857624	10.77613212	10.52771353	9.617310291	9.378347967	9.351926968	8.349576115	9.077747704	10.11486097	10.11846356	9.402498536	9.299727371	9.353036523	9.943102313
PLCXD1	5.201780867	7.061383795	5.314497144	7.181417328	6.13638965	5.35001391	6.044831233	7.339098775	6.042485658	6.084234384	5.682048858	5.561169	5.192243491	5.553183842	6.317750258	5.980648002	4.904351624	5.144817967	5.740241748	5.257783822	5.252394212	5.240642524
EDN1	7.412754009	7.508365264	6.418721245	7.017443157	7.00893651	6.961183415	6.965564978	6.050182418	9.125330807	8.628721111	8.56063026	8.84846601	8.526907048	8.78250276	8.320442557	8.117583367	7.902227872	10.45451745	7.66427127	7.417434832	7.752930299	8.367315146
MANEA	7.886473938	8.124422919	9.513946648	9.78976348	9.471987426	9.135331357	8.369037462	9.60493802	8.494724606	9.263127389	9.201868656	8.559077676	8.421958558	8.427742341	11.4678307	9.935321984	8.070152706	7.553464186	8.874857917	8.640928156	8.651156958	7.572982107
CCDC85C	7.705086306	8.501567857	6.902218324	8.110046498	7.368008744	7.836073506	8.045961652	7.628049345	7.207917248	5.894919597	6.582568547	6.872040725	7.214353123	6.583173051	7.181251664	7.5179272	5.771500474	5.50872707	5.035825492	6.592701203	7.740429536	7.388063795
RASAL2	4.947911572	6.050603272	5.296751056	5.625007413	5.213373206	5.654626482	5.244988511	4.214202535	5.83599353	5.645113672	5.584566707	7.332312813	7.355718882	7.620283985	7.054446949	7.476766452	6.59792591	10.20910433	11.26196473	11.89306618	11.14713612	7.73517148
HSD3B7	5.579919292	6.35987838	5.965507261	6.418566655	5.931722449	5.98020814	6.467649021	6.365937444	6.004669922	6.032338921	5.898546974	6.62449365	5.653310861	6.64098598	7.096806501	7.137401056	5.620056054	8.825061597	10.99447501	9.411410003	9.589344974	6.465328045
TNRC6C	10.63259881	9.940789767	8.826159161	9.22945574	8.991540742	9.198699588	10.31419311	8.863995217	10.71941364	10.2047335	9.984950292	7.851168099	7.01118252	7.485281906	5.797523193	5.126012639	6.231129959	5.249590716	6.078705892	7.064223606	6.653733614	7.821534204
NAA15	7.428173804	7.479667107	9.551983126	9.981890223	9.080404509	9.156295482	8.310078014	9.60832198	6.952688838	8.445925299	8.167742611	5.876853682	5.345121337	6.148522341	7.92091057	5.29136412	7.130987481	6.561616357	7.743796002	7.365594854	7.035700881	2.541415716
SLAMF7	10.90039118	8.427808674	10.93377363	11.35964507	10.86787794	11.10282607	8.512175519	7.71235045	12.52430792	12.79635266	12.75557891	7.444910758	8.866653024	8.693331877	13.53710816	13.16499976	10.38715464	13.99789974	10.22657646	9.974184639	14.22192709	8.246347277
TIMM22	9.040782181	8.392086974	9.701480615	9.183127516	9.163102849	8.486458296	9.316195533	9.453126563	8.084174579	8.551484487	8.122446676	6.779936927	6.907485585	7.631991866	8.699678866	7.132990612	7.538580195	7.825838617	7.799339372	6.999359286	7.538814902	6.508568098
FIGNL1	8.367330655	10.09994914	11.05420476	11.1632574	10.83655852	10.4164844	9.011101434	11.16835517	8.59936801	10.05373369	10.02962267	8.911861895	8.218262921	8.960628268	8.883620816	8.582253967	7.44200212	9.657665905	8.404305323	7.68877483	8.074178043	8.053499117
EGLN3	4.67570304	6.362586777	6.542869363	7.411067449	10.93682072	11.16015926	6.321892027	6.493508574	4.947841457	4.140336947	4.477590988	5.485863802	6.012183144	5.501701864	5.996373681	6.850783799	3.836403883	4.183102698	3.971052993	8.382162146	4.73726312	5.040454121
CENPK	10.13118239	9.506973312	10.46662151	11.16318422	9.917012977	10.54547003	10.32325784	10.64858648	8.400291354	9.887997359	9.652084595	6.197837315	6.940827443	5.731929925	7.87363892	4.037228455	4.54689446	4.672463059	6.554087402	5.9326006	5.764924654	4.33406765
TRPV2	9.239177831	7.974244401	8.133244983	9.472034827	9.004264482	8.909295086	8.894343859	8.428457884	8.827350644	8.511521804	8.796084506	6.235642277	6.800178372	6.811605892	9.06388219	7.177329834	7.021575037	7.830169743	10.04357269	9.653728838	9.466774946	6.418628493
DAPP1	9.410690368	9.966836588	9.785297973	10.31761423	9.813940948	9.846628077	10.06473244	10.232847	10.05792236	9.816561949	9.438061312	11.18317774	10.85821475	11.10497265	10.5598544	10.20392698	11.69650785	10.40006974	9.360688178	10.37549364	13.64221733	12.03356706
PDGFD	7.91752574	6.901168595	6.871092049	7.682144863	6.546837882	6.233632458	7.09030653	6.110182255	9.700979327	8.689903652	8.370414242	7.946381639	6.923315599	6.361294634	8.270125542	8.107983345	6.172090757	7.090559718	6.082054988	6.480760586	6.496630117	7.41684143
AK5	8.890930742	9.988100486	3.944155663	5.720114264	4.853197255	5.831919454	8.665623717	4.053053395	9.18043508	8.441622079	8.325893059	5.659622878	6.141202855	6.130452157	5.242170573	5.419235489	4.489430542	4.915887344	4.314962325	4.462237771	5.036517986	6.457036069
FLVCR2	9.279517726	9.242096718	9.292747246	9.478781077	9.402011522	8.876954805	8.36394345	8.841907095	9.089169065	9.251312449	8.945279951	9.979235926	9.911805411	9.638436819	9.494814926	9.799531359	9.914484548	10.26754204	10.60653962	11.28680541	10.61613696	9.774109031
IL18BP	10.12440924	9.29512836	8.617456445	8.31878531	8.794706109	8.471924447	9.905113684	8.338837386	9.725284023	9.717816916	9.346823587	9.430783766	9.62920451	9.39201683	8.508249044	8.552572082	9.729689138	9.956380514	10.9859359	11.57082641	10.91642377	9.413354172
OBFC2A	8.543831269	9.166313748	9.986112239	9.914980526	9.578933683	9.626950122	9.847708318	10.16045427	9.527806853	10.75892806	10.883645	7.008142056	7.122947028	7.431896615	9.344277412	6.812857571	9.691739449	10.69145652	10.81998618	10.41880029	12.33497509	11.49426339
DHX33	9.918044037	9.693181427	11.8004322	11.11571541	11.2253858	10.24624299	9.798797404	10.99593341	9.908056678	10.46084677	10.24999358	10.15670413	9.996351317	9.979320151	9.932334848	9.409874052	9.725017117	9.457247822	9.44975205	9.329180418	9.098915507	9.667910925
ADAP2	5.691261959	5.54922763	5.131219051	5.68098066	5.408949574	5.658449532	5.765384458	4.748157061	6.343803088	5.890908709	6.136423831	6.840000965	6.471138676	7.220475068	5.503645555	7.845615497	10.42602446	9.95358997	9.868099483	10.37250452	11.02377029	7.293055909
OTUB2	4.24404981	5.49397817	5.785184339	7.459631068	4.66810021	6.091008642	4.584120683	5.75821433	4.781936676	4.980692552	4.585152844	5.277437524	5.232229035	5.582111866	5.711797731	6.104446745	4.487668561	5.240842203	6.24570798	4.354781248	4.214383887	5.173854995
