 	Basophils	CD4+ Central Memory	CD4+ Effector Memory	CD8+ Central Memory	CD8+ Effector Memory	CD8+ Effector Memory RA	Colony Forming Unit-Granulocyte	Colony Forming Unit-Megakaryocytic	Colony Forming Unit-Monocyte	Common myeloid progenitor	Early B-cell	Eosinophill	Erythroid_CD34- CD71- GlyA+	Erythroid_CD34- CD71+ GlyA-	Erythroid_CD34- CD71+ GlyA+	Erythroid_CD34- CD71lo GlyA+	Erythroid_CD34+ CD71+ GlyA-	Granulocyte (Neutrophil)	Granulocyte (Neutrophilic Metamyelocyte)	Granulocyte/monocyte progenitor	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD38- CD34+	Mature B-cell class able to switch	Mature B-cell class switched	Mature B-cells	Mature NK cell_CD56- CD16- CD3-	Mature NK cell_CD56- CD16+ CD3-	Mature NK cell_CD56+ CD16+ CD3-	Megakaryocyte	Megakaryocyte/ erythroid progenitor	Monocyte	Myeloid Dendritic Cell	Naive B-cells	Naive CD4+ T-cell	Naive CD8+ T-cell	NKT	Plasmacytoid Dendritic Cell	Pro B-cell
DTX4	11.94620736	9.261200456	9.184316649	9.258915816	8.798999207	9.731454111	11.3689966	9.657980497	9.778437373	10.00839314	9.564997589	11.93850339	9.890246897	9.925701651	10.31504017	10.26409208	9.34174399	10.03746693	10.87991479	10.69298992	9.3230621	8.94848059	11.58605527	10.9090923	10.88778983	8.999519466	9.573820834	8.986044722	9.424570115	9.183904011	10.62811713	10.13835169	12.51349587	9.531588406	9.48351821	9.293354628	11.96711665	11.49033617
ARID5B	12.07364272	14.34217145	13.99568485	13.6734831	12.22267289	13.40052362	13.80781986	10.55222029	8.304795528	10.51860581	12.54565484	10.88224949	8.500669662	9.376949681	7.965368838	8.216400816	10.31024375	10.21795789	10.78283267	9.598408332	12.0960565	12.32962636	13.64016315	14.61418527	15.47415715	11.40055065	9.909700819	12.00517179	10.86193813	10.76153119	8.973859431	8.405245814	14.98018657	12.86639266	11.02892522	10.44232751	8.265151778	12.17058071
CHN1	8.300281215	11.05580681	11.50004909	10.98872555	10.15263336	9.617843847	8.032432656	8.515683254	7.985209204	7.809723632	8.564746482	8.445162774	8.684596719	8.49497813	9.527641365	9.106973758	8.227540506	8.393372795	8.036879773	8.109732773	8.35922412	8.70632976	8.188339725	9.073623447	8.649843297	8.622530859	7.947294877	7.943307054	8.615967155	8.317590883	8.035265831	7.82994817	8.212313625	8.502987537	8.400371808	8.001338285	8.533695139	8.53659286
WWP1	11.78514202	15.90673766	15.59138711	15.62703765	14.34073619	14.26025269	14.700184	11.84001043	12.73668337	12.17696989	11.95183218	12.76505044	12.80953116	12.53893018	11.08096308	10.87145044	12.31673982	14.31823389	13.93885183	12.95469956	13.39776536	13.01193427	13.64142857	13.63796702	13.95314689	14.31228594	13.20547357	13.85053179	12.44951262	12.53177999	13.34347169	12.50094416	14.09861905	15.99584094	15.70287012	13.64615093	11.05128906	12.13446132
HIVEP2	11.68502413	15.59969493	15.37081439	14.81654458	14.35296147	13.09753931	14.24835601	11.81857786	11.53707897	11.16460378	12.53257512	11.9998575	10.27416123	11.41534151	11.10649975	10.79338556	11.72265743	12.36010646	12.12437806	11.56514867	13.4078148	13.50661877	13.55311937	13.53180529	13.24971909	12.62570165	11.02166585	11.93166314	11.37763261	11.95835687	11.17946301	12.96155938	13.86205383	15.6528364	15.5575278	12.05967244	11.08305506	11.77193885
RHOBTB1	10.71721976	8.854645324	8.585658554	8.969366129	8.691068136	8.832972078	11.10894252	14.78635991	11.18419302	13.24054817	10.75173543	11.17835053	11.08533747	12.75597967	10.05132759	10.97877348	13.94802423	11.70937113	12.47748096	13.72148159	14.75423633	14.37310658	8.669615766	8.58369311	10.10153728	10.18382844	9.679752772	8.751264383	15.57442846	14.49447821	10.90360962	11.56049964	10.02179427	8.649644196	8.629185684	9.58541016	10.86792325	13.35980486
IL1RN	14.44265761	9.596322386	9.200990362	10.13878326	9.296565734	14.06605998	13.05618649	11.81451582	17.21741052	14.92953245	12.39619649	14.09930731	12.08249391	14.13833422	9.956564725	10.55500073	10.69713417	16.1365189	16.87276042	15.44272298	9.547166212	8.981471845	12.58536097	10.21929401	14.50747852	8.919666769	13.49554481	8.879186426	13.90582943	10.48351855	18.38375218	16.62866594	11.15465034	8.762248094	8.913506477	13.0085083	15.22941015	12.72442133
TIPARP	10.41367744	12.96204653	13.4990894	13.63864373	13.66811209	13.63835204	11.86730549	10.44636731	10.81194509	10.18505718	10.46567059	10.65745463	10.09601726	10.69093792	9.353912822	10.13987305	10.20797957	11.98959847	12.13231637	10.93214656	11.15315992	10.93305588	10.62749659	10.68722669	11.27359093	11.81664469	10.96399755	12.96002011	10.6497596	10.56061763	12.28308615	11.37041711	12.28622748	11.27421459	11.97389329	11.95492451	9.918737027	11.02571308
SMURF1	12.33816531	10.10918178	10.5749263	11.14605883	11.73550535	11.14692069	7.74562839	11.39452103	11.26548677	11.48120764	11.97198155	11.23635882	9.80761531	9.610183196	11.10338123	11.90435491	10.47285665	9.269371332	8.33416828	11.13597193	9.634705655	8.468998465	8.76093406	9.369575345	8.273702913	11.19393346	12.29998044	11.92978616	11.8690804	10.57002578	10.15679156	12.01393709	8.489602107	10.00594948	9.759366461	12.93706329	12.83345355	11.91837102
PPM1H	8.994064079	8.148447119	8.484174461	8.44767386	8.328061397	8.84031784	9.448209011	12.48039666	9.386195497	12.70288318	9.02119073	9.454773397	9.016676808	14.54386431	8.868366376	10.10393055	14.26543357	9.525741149	10.56750761	11.84656362	13.14439685	13.48251165	8.198758414	8.393073683	8.382869486	8.628427661	9.669555111	8.191925328	9.204311647	14.24217062	9.495686617	10.21509314	7.984179025	8.405795167	8.18770194	9.749851259	8.670632147	9.027131289
