 	Basophils	CD4+ Central Memory	CD4+ Effector Memory	CD8+ Central Memory	CD8+ Effector Memory	CD8+ Effector Memory RA	Colony Forming Unit-Granulocyte	Colony Forming Unit-Megakaryocytic	Colony Forming Unit-Monocyte	Common myeloid progenitor	Early B-cell	Eosinophill	Erythroid_CD34- CD71- GlyA+	Erythroid_CD34- CD71+ GlyA-	Erythroid_CD34- CD71+ GlyA+	Erythroid_CD34- CD71lo GlyA+	Erythroid_CD34+ CD71+ GlyA-	Granulocyte (Neutrophil)	Granulocyte (Neutrophilic Metamyelocyte)	Granulocyte/monocyte progenitor	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD38- CD34+	Mature B-cell class able to switch	Mature B-cell class switched	Mature B-cells	Mature NK cell_CD56- CD16- CD3-	Mature NK cell_CD56- CD16+ CD3-	Mature NK cell_CD56+ CD16+ CD3-	Megakaryocyte	Megakaryocyte/ erythroid progenitor	Monocyte	Myeloid Dendritic Cell	Naive B-cells	Naive CD4+ T-cell	Naive CD8+ T-cell	NKT	Plasmacytoid Dendritic Cell	Pro B-cell
HSPA6	9.73856624	8.597487549	8.437687047	8.671321592	8.850702369	9.311792523	8.828259298	8.783055495	11.63018191	8.509694246	8.73614361	9.608898783	9.795042225	8.885151006	9.272232898	9.455349891	8.65347501	11.96061608	11.36979646	10.20572294	8.44782441	8.807797306	10.63201646	10.05013551	9.907511795	8.874926925	13.31215009	10.14378054	9.61165464	8.247103707	12.53212263	10.74167769	8.88975166	8.632381551	8.233923033	11.06769676	8.528592929	8.61363599
CCL5	13.23105085	11.56982722	13.21030491	14.78523996	16.58284397	15.65512555	10.25851795	13.44898296	12.82054371	12.50123552	13.46013657	12.55035352	11.20809293	11.94251928	12.11697301	13.00773169	11.32849911	14.54657864	12.23469534	13.84490926	10.98505862	7.589335703	8.461345812	8.255994721	7.812696125	13.64412529	13.9861535	15.53945654	14.18041979	12.35101109	11.75445375	13.67254423	8.0798782	11.05861747	10.54990284	15.2573245	15.25639317	13.07235758
TRADD	8.092763809	11.42768328	12.01943383	10.63651708	10.31951764	9.912814059	9.481318783	7.995541654	8.315502516	8.723748008	7.909189956	8.25090723	8.870544538	8.383155129	8.646736385	8.751392454	8.370227419	8.966192077	9.688913921	8.40963324	8.546952992	8.538270679	9.026485891	9.709699742	9.344013911	8.208283455	8.064181124	8.062993293	8.031177292	8.039927398	8.621898315	8.156047318	8.974892333	9.054762088	9.187558634	8.269637326	7.812510051	7.988152564
DSP	10.91634079	9.96224441	9.627913316	9.465908411	8.790003411	9.681578928	9.613606185	9.968671614	8.573772998	8.48420089	11.56553528	10.4881984	12.53211863	10.49001722	12.06637826	12.06495947	8.521574046	8.70340271	8.951962956	8.500278594	8.695813791	8.259684718	10.07048074	9.201005574	11.97276796	10.23148004	8.427290047	8.529814551	10.04996873	9.228536052	8.549791572	8.365236749	14.23663152	10.47831448	9.838921327	8.060619159	9.408225712	10.68809858
WARS	10.79914451	10.26001368	9.792555494	9.26566661	10.42123313	11.05059692	11.56055299	10.12408366	14.34288901	12.341598	9.207372883	11.3197181	11.22772918	11.96024853	9.632312246	10.07377411	10.6400529	14.42142467	13.72883445	12.0995495	10.18607772	10.28864774	9.201961238	11.61255803	10.32129868	10.35105299	15.45140777	9.758798095	9.587665219	10.22511603	14.75744564	12.41394408	9.129824173	9.259738942	9.793261072	15.09156713	9.553920208	10.73259311
PTPRF	9.405304711	8.945017165	8.860731645	9.227490577	9.049188244	9.207934244	9.490047995	9.808510579	9.318779465	9.293862291	10.20645593	9.555450595	15.41901363	9.590824153	15.53256025	14.65605566	9.648609199	9.254068262	9.305841806	10.16336378	9.449341416	10.19338425	8.941046431	9.041982726	9.095766604	8.98904226	8.686524824	8.786059271	9.871293075	9.549240485	9.053356342	9.112895451	8.719463465	9.026256463	9.154419225	9.571517733	9.4108117	10.10992085
S100A11	11.68658124	12.80699076	13.45844811	11.7101564	13.15560041	12.74476719	13.0022594	11.22868639	15.63232316	13.53265751	11.36276837	12.59388524	10.75879869	13.83340396	9.898481709	10.64360479	11.07213366	15.33794534	15.44545117	13.15456266	12.16595526	11.42741908	9.996056074	9.83647935	9.346858865	11.41670803	14.10696243	11.07995439	12.02866765	10.73323186	15.1783579	13.5860825	9.100055085	10.18260153	10.75254748	13.77464089	12.60930098	12.77939679
SPARC	10.46931641	9.129041163	9.169516505	9.706965622	9.718442884	11.53824506	12.44173291	15.98077527	13.79726608	10.28418357	10.93168481	11.30648451	14.31822663	14.10869895	11.76504982	13.82014636	14.2382468	13.10284777	14.2129412	13.80450038	13.04598528	14.16086736	8.687042478	9.005575466	9.79926018	8.699781975	8.281588875	8.307501139	17.98711671	12.74589374	13.5612694	9.628338364	9.259335892	9.836203492	9.563853437	9.073837059	10.19701497	12.16356224
GRN	8.627319724	8.091034122	7.846687097	7.899985653	7.983192167	8.096680773	8.415033561	8.119111605	11.62334537	8.33891884	8.466437216	9.218940386	8.163675672	8.973328807	8.427198114	8.143644405	8.067638437	9.72864974	11.08836224	9.0758049	8.03903404	8.039081334	8.560148873	8.473576586	7.929150288	8.027452602	8.503727746	8.009779782	8.799700584	8.079582186	11.47119781	9.761184304	7.898154522	7.897169323	7.907072575	8.545415664	9.78191953	8.729857972
NPC2	15.49510651	13.76314387	13.41037815	13.55730129	12.8699983	14.65300606	15.55932747	15.44712018	17.5812372	14.90869325	13.79330087	17.057182	13.93411559	15.65917865	12.63826742	12.79742456	14.72790585	17.57214722	17.21036277	16.31745375	15.60212107	16.02426206	15.37044066	14.84034003	15.03905199	12.37248837	17.13907554	12.65572811	14.94970129	14.59988137	18.10118946	16.81874943	15.61821052	13.26994834	13.72265945	15.73598228	18.31577998	14.50602159
LITAF	16.26779087	17.51543358	17.48044904	18.20937325	18.16394881	18.58667202	17.81069397	15.78736119	16.81551424	15.86067652	15.71662072	16.90542874	15.40644417	15.91144561	12.13911285	12.95417663	14.52131647	18.49653007	17.90514396	16.98457101	16.68881099	16.74867168	17.01894909	17.20348108	17.86196332	17.95396122	15.34193723	18.85823963	16.28344303	15.44727656	17.93625979	17.93698949	16.95831295	17.48158468	17.95686512	16.59704174	16.52250696	17.02892597
DPYSL2	17.68846228	16.46481175	16.52711083	16.35133408	15.94306861	17.37646552	18.08135867	17.16627848	19.33564723	17.95710317	16.43047129	18.17939768	16.63138984	17.4883073	15.26764738	15.83677314	17.81351741	19.11831428	19.09425111	18.66879759	18.143782	18.33391673	16.20383551	17.38169569	17.644379	17.42076613	18.12488324	16.74266558	17.01780787	17.82298052	19.10839009	19.19333574	15.99379483	15.08594735	14.63241366	16.72595597	18.84887051	16.78449508
MAT2A	17.21433495	17.83917652	17.55711096	17.57857305	17.51749569	17.76680357	18.35735018	18.14643246	17.91071955	18.48956367	16.12912819	17.62734832	16.81349026	18.36290039	16.52579341	17.04275676	19.03437677	18.1396133	18.18437267	18.56039036	18.65542161	18.59887215	17.85843364	17.70484501	17.89073885	17.88696259	16.9080399	17.2345095	17.177846	18.83601297	18.16791405	18.29195753	17.83715621	17.82105255	17.88080541	16.72815268	16.9548861	16.41711934
ANXA5	11.10023932	12.09223803	12.63263541	11.96696554	12.37699942	12.84857618	12.62860516	10.69547509	14.57538587	10.76624576	11.14499486	11.79249297	9.704653531	11.52709525	8.992965957	9.38112447	11.02907307	14.78416926	14.38713952	12.86652367	11.7928818	12.15940563	11.60512828	12.6557765	12.83377669	9.515926766	14.15971692	10.18713753	10.89453101	10.45053281	15.15722719	14.36544337	11.68611219	9.956159597	10.23533053	13.90872916	10.99152172	10.74096386
STMN1	13.70612141	12.54155302	11.89228102	12.27223325	12.20220847	12.64390938	16.6428909	15.69249557	13.70845744	16.07907192	14.79548605	14.73688244	13.85978279	16.2342303	13.83345628	14.83359561	16.96624646	15.20959775	13.66855315	15.86077757	16.82861801	16.67527048	12.68409527	12.25110023	13.26659908	12.20796437	10.10984945	12.76665264	14.08236854	17.14716208	12.26202526	11.91584717	13.2195066	13.48726501	13.84955064	11.10492985	15.21568057	16.76510229
LRP1	9.37818244	9.274599163	9.467550594	9.536148588	9.121385373	10.0289129	9.600636948	9.310013215	12.19513879	8.684691485	9.392758417	9.652283396	10.43489694	10.41779594	10.8144865	10.93044919	9.41709351	12.10082728	13.27190123	10.71020933	9.237939345	9.797587365	9.398536157	9.889750026	10.03048661	9.08665408	11.08637422	8.279562819	9.303585886	8.955138836	13.43335516	9.750290796	9.724552962	9.400071904	9.425804268	10.19731387	9.001413467	9.530566215
PEA15	11.45386478	10.21885376	10.5496885	10.13390424	10.86132666	11.55540983	12.23366312	10.75461533	14.75687113	10.88838437	10.11722607	11.62555138	9.659822773	11.38836245	9.88828835	9.693905625	11.94640456	14.39323935	13.90661368	12.87089589	11.08435925	11.94045648	13.15130289	12.0881424	12.77216977	9.92157692	11.37213438	10.81832653	10.6566738	10.37358437	15.19641757	14.73727572	12.52996182	9.350887797	9.780192655	11.13564155	12.64498131	10.46879904
LMAN2	12.30552621	12.92009205	13.21506447	13.24875498	13.03309055	14.20887496	14.22739954	13.18794636	13.33428289	12.67616361	12.12397589	12.89650921	13.05348958	13.83130924	12.77826731	12.51957133	13.71205846	14.18419622	14.49439709	13.90097495	13.69798937	14.05030357	12.8562647	13.39164694	13.06811538	13.30553433	13.05305846	13.64023533	12.73733344	13.318802	14.48822796	13.28393399	13.06555676	12.387455	13.00482606	12.59155708	13.09566292	11.8636368
SCD	13.9105811	10.73028653	10.82755806	11.94484989	13.64635334	12.64082035	16.37983238	17.01304701	15.54614416	16.93306003	12.19035715	14.27455463	15.98734767	17.38145475	15.96975415	16.76667511	18.2432045	14.3518723	14.19931166	16.90407094	17.67451418	17.60484508	12.30183175	12.30474459	11.79844774	13.50069287	9.406754881	12.60432933	15.71142499	18.1657283	14.30284929	15.18446397	12.98368935	12.1942728	14.5195104	13.27573676	13.88686591	13.18330622
SARAF	18.66161923	19.79622859	19.7587097	19.97568775	19.6251272	19.43616358	19.62173821	18.91398198	18.90195831	19.48014594	18.18637387	19.05156651	18.84354444	18.84021108	18.81020558	18.90418234	19.0857511	19.57383456	19.41613541	19.16390085	19.20115931	19.28394024	19.33962912	19.09622674	19.46061955	19.29634478	19.41992496	19.28118805	18.76086919	19.11988125	19.32888336	19.49904635	19.68746801	19.95819282	19.88548838	19.64528678	19.31556465	18.89182449
AHCYL1	16.20557573	16.45627185	16.64752078	16.44891155	16.28040441	16.55331542	17.4715603	17.12215427	16.78437293	17.03692499	15.62961835	16.87706196	16.45425135	17.57064003	16.26751929	16.63557554	17.7532008	17.45468707	17.50821997	17.50078212	17.5963623	17.58471723	16.79205876	16.71121369	17.136896	16.61822821	17.38229525	16.82021426	16.5996485	17.85435597	17.91921306	17.54107342	17.15345586	16.5935183	16.86836501	16.37919272	15.96825263	16.45778978
S100A10	15.5151942	15.86840476	16.71188621	16.27950104	16.20517219	15.95582573	15.59307613	14.45109436	17.20109372	14.92742081	13.31876317	15.83945661	15.00376336	14.07110911	15.56393931	15.01391895	13.68452014	16.28734138	17.18274411	16.51387371	13.69677054	14.2459084	13.60678306	15.44485082	15.16765915	14.92481397	16.62851101	15.05835149	14.92786309	13.46341698	18.1964126	18.30958608	12.74525056	14.33381548	15.38831435	16.24164009	16.12513231	13.85971603
EPAS1	9.528419348	8.501489538	8.781897041	8.769247098	8.397176714	9.307437719	9.342875212	8.496785615	10.08817874	10.23104726	9.737029378	10.49694278	8.49922761	8.933547854	9.001936611	9.504554927	9.591727373	7.953847034	8.982334007	8.600987925	8.034799737	12.17148219	7.788483927	7.917534887	7.740059915	10.08803842	9.487388412	8.871777546	9.318944007	9.165156064	8.880362121	9.115490607	7.604401977	7.967069661	8.344860915	10.07437916	9.858640934	9.464516987
SSR1	17.58687721	18.38631609	18.40823786	18.41066032	18.46732863	18.63734705	18.89045033	18.36684991	18.55591035	19.08561736	17.20679138	18.42374693	17.66072646	18.85587584	16.91113866	17.48046981	19.18895249	19.01435529	19.01792023	19.07804655	18.7375345	18.73543765	18.2136172	18.33834396	18.45494263	18.5372122	18.43994923	18.54060103	17.83271078	18.83946461	18.71999439	19.03746243	18.38500096	18.30986799	18.31366395	18.49030299	18.95596885	17.43272802
PALLD	9.496731365	9.126577903	8.613350938	8.812333975	11.10503911	14.17740721	9.720559126	10.02605151	10.0887933	9.148357407	9.262560327	10.40651482	9.58790079	10.32839227	11.47784253	9.898232943	9.894461291	12.14232513	13.10785275	10.23028633	10.49278881	10.48036494	8.402311558	8.424490329	8.935471396	9.793297119	10.30489271	14.21043946	9.654154609	9.554011423	13.20990417	11.03148283	8.508812191	8.990686495	9.237318999	9.410196066	8.714518956	10.21576814
AHCY	9.591628675	8.979973116	8.810054419	8.828697629	8.621756434	8.781615452	11.11716512	11.02560009	9.67190157	10.46273756	8.637726276	9.345846514	9.344088956	11.89389815	8.85754808	10.27661815	12.59929055	10.36207934	9.876195399	10.87983111	11.73188921	11.82871223	9.691200443	10.21961656	9.430607972	8.053049083	8.506657554	8.024602509	8.923853918	12.08748924	10.32133159	9.702207288	9.650707161	8.696940414	9.588796574	8.860091208	9.973761333	9.657020528
ATP6V0C	10.7043417	11.6010181	11.60779622	10.82215053	12.05595733	12.20149249	11.50821773	11.35263565	12.40817072	10.96397019	10.93383361	10.79096955	15.32476242	12.12636982	17.1570924	15.44571631	11.14803053	12.46322802	12.6032465	10.89452166	11.92215424	11.85017576	11.50455224	12.02947222	11.39255322	10.99519599	10.67621637	10.46121548	11.0338532	10.95318128	12.51347988	10.57838923	11.6842669	10.95479068	11.27911241	11.33097385	10.57903552	11.57438718
UBA1	13.6932863	14.00526686	13.80030507	13.09846956	13.9171141	14.23087552	14.09892722	14.12668189	13.30823707	14.14487947	13.14202727	13.53119252	13.07310779	13.84593198	14.25463384	13.97148457	14.43719692	14.13753927	14.09301957	15.10079916	14.2644369	14.12322321	13.53829635	13.86024719	13.75483331	13.61530374	14.36842311	14.19872689	13.39242223	14.28029237	14.68879561	13.48312469	13.58504139	13.54134589	14.01478263	13.81348582	12.91697968	13.04870171
CD9	10.23267848	8.161926949	8.035234147	8.1055037	8.062003873	8.639762669	13.46244004	13.77051764	10.71403202	9.046690277	15.09179807	12.25700561	12.58213161	14.58891032	9.501475044	10.25795852	9.412566033	13.00501614	15.38368077	11.90253562	9.062661154	11.71233212	8.588238664	8.426891669	9.395288302	8.230256564	8.177827632	8.059381397	15.15415249	9.233784799	13.98786159	9.067525147	11.02662746	8.270860034	8.583217586	8.471914792	9.418504091	13.06571759
PRDX2	12.17512507	12.60964129	12.97412861	11.69808364	12.72469286	12.55293351	13.64548259	12.25558593	12.22318807	12.66086699	13.45506199	11.44777983	17.51330289	15.6433601	18.8086403	18.40120516	13.68259904	10.61626845	10.96827659	11.41392882	13.10642741	13.57073552	10.95173432	12.07095227	9.942898206	11.57609255	11.02346799	10.92878642	13.14269108	13.36589739	10.48904131	11.23845768	10.28007177	12.30290064	12.45059756	12.40108986	12.71799106	14.45087927
PAICS	11.48826366	11.77046387	11.29601783	11.40370478	10.79819633	9.811276681	14.27919478	13.81575534	11.0770224	13.63406248	11.50841287	11.91977508	11.71246434	14.88952578	12.00934185	13.72546177	15.61352744	11.50083339	11.39971074	13.73855659	15.07472035	14.98673393	11.97310105	12.1927605	12.04987541	11.4129247	10.11799584	9.668774064	12.4350343	15.49217709	11.37088464	11.39416825	11.83971964	11.94104152	12.72546593	10.31935386	11.38126264	11.51233706
RAD23A	11.39224296	9.550014693	9.993624141	9.891714668	10.31495606	10.41529734	10.63836277	10.39355082	11.0345149	10.88845555	11.90533401	9.700391829	17.22357534	11.61876616	18.66111583	16.85681851	9.894996493	9.671482285	9.48543656	9.452748009	10.10660775	11.63949007	9.606775695	10.06490199	9.602380334	10.369419	10.01092203	9.885066202	11.36040011	10.58770376	9.776789267	10.21642197	9.874461785	9.797947246	9.662571087	11.22725758	11.93759918	11.93475844
TGM2	7.884111611	7.700117762	7.984864456	7.835985657	7.83175948	8.01935924	8.027789872	8.164603844	7.927521664	7.793144091	8.279244375	8.267658795	12.39752162	8.662250474	14.41255907	12.98719541	8.065662444	7.82437896	7.718012034	7.908320548	7.899433896	8.356994981	7.962590227	8.01519113	8.351249884	7.805311577	7.544972136	7.477643189	8.71111588	8.055221059	8.009658199	7.689676172	7.681613018	8.094373746	7.854017306	7.655537995	8.052418977	8.649059537
LGALS1	13.27487138	11.03243411	12.76177629	11.78305825	11.85152933	14.00218079	13.40597551	11.68880235	15.05209665	15.60830945	10.83996407	13.33794472	12.65074202	12.49005703	10.20993767	10.45763759	12.6011243	14.97626383	14.90422991	14.88360279	11.45029351	12.65148762	12.05028821	12.73463126	12.2003327	10.93142234	13.99684645	12.91106293	12.84797262	11.48609582	15.83163467	15.44283222	9.724797973	9.512986557	9.662926652	14.09724966	12.85750193	10.94802811
THBS1	11.56673001	9.29199879	9.462691887	9.107635507	10.01972229	11.86193954	14.3601609	15.37224872	14.21230416	11.64873926	10.84917619	12.20705862	14.16338843	16.28809097	12.16705027	13.45222944	14.71208493	15.37296657	17.34818572	14.48825466	12.10827994	14.89250936	8.937222308	8.939990026	10.95037511	11.53362378	8.890877497	9.726461147	16.29983884	13.63914421	15.58766646	10.27963262	9.000662659	9.137781827	9.094142264	10.04163443	9.634094935	11.55065251
CPE	8.496491601	7.972178479	7.745277304	7.599694876	7.657769486	7.445134943	7.644390619	7.803801513	7.601561847	7.479177263	7.96305909	7.953123316	9.29648594	8.128826769	8.803750093	8.928227112	12.61590796	7.68853236	7.787848526	7.725327131	7.965658233	12.07940917	7.569398977	7.890314977	8.067351197	7.581792363	7.603087482	7.438487616	8.073728998	7.862197758	7.835554499	7.69421542	7.602060159	7.614472947	7.590894768	7.878641259	7.782008135	8.169638024
COX8A	16.88886011	16.64323593	16.96243354	17.16221817	17.0463232	17.35174094	18.12664261	17.49932623	17.6943294	17.9531605	16.54711176	17.25730872	17.91969866	18.56084306	17.47296334	17.52418129	18.00124807	18.27554914	18.23482665	18.34910572	17.40964781	17.61276201	17.17839396	16.98817911	17.19058727	17.37204945	17.72865957	17.25360942	17.26038045	17.72125184	18.23028153	18.36980045	16.89136293	16.2700722	16.85463163	17.42469548	17.58125655	17.46035443
PGRMC1	13.71606313	14.38640499	14.3817683	14.42323816	14.09258722	15.02896859	15.6991683	17.02649154	15.55453861	15.40026553	13.89274691	14.36812929	15.37885972	16.70086237	14.15573155	14.8007365	16.80537532	15.90337029	16.48462199	15.34488445	16.84717011	17.10452794	14.21108752	14.36150656	14.32041821	13.74975099	13.46154821	13.73246263	17.32370261	16.70945113	16.37570404	15.07779747	14.29390271	14.43794976	14.6201784	14.18815808	14.36199073	13.9263043
ITGB5	7.744105691	7.724354141	7.641311485	7.443754561	7.308492815	8.657909405	8.028371044	10.64303344	8.646358903	7.461245716	7.632798508	8.0509234	8.274399595	10.51433817	8.76794714	8.419434846	8.008712454	8.23267023	8.963327105	9.213868618	7.823310751	8.911089858	7.522713407	7.575601702	8.148866777	7.790198498	7.113001858	7.147627625	13.00059147	7.635935683	8.215766206	8.518013193	7.738098475	7.72400199	7.752348649	7.316607023	7.926576346	7.628628664
HLA-DPB1	17.52384629	12.52165683	13.55145379	15.14064999	15.23714303	16.11651095	17.92323333	15.41299548	19.21715895	15.10829237	16.22961319	18.13473835	14.18925337	14.90198137	10.91802085	11.07286262	14.08129554	17.70477893	17.0666587	17.75221657	16.91045713	16.88883914	18.73416834	17.94674397	18.65465053	13.00853677	17.05996859	14.08207248	14.60775255	15.19085266	18.56389755	19.15953627	19.04100995	12.00912592	14.08617104	14.4387796	17.67269319	17.00584809
GPNMB	9.652228977	8.877272699	8.74272141	8.94813848	8.763667037	8.877719404	10.12454543	9.673230004	10.35027921	9.428825582	9.450109916	10.32246488	10.19677065	10.01392613	9.699779826	10.29160344	9.199154633	13.00741912	11.68665909	9.387673134	10.6716493	10.00585428	8.400384791	8.688609447	9.234947451	9.187322873	8.970045702	8.942935766	9.695617284	9.486695677	11.05252798	8.865522324	8.463226831	8.675069398	8.846839463	9.735209905	10.00905226	9.288743343
TIMP3	8.901354423	8.385371952	8.231603154	8.134319042	8.260763824	8.275854698	10.11052484	13.85569717	10.63000888	9.793830956	9.018943544	9.062406316	9.294901697	13.74440678	11.05315246	10.3809915	12.81400023	8.805890409	10.2308183	12.47252495	12.24694382	13.08078837	7.925388554	8.41939255	8.665920705	8.7530972	7.910629435	8.088059223	14.81250637	13.23572208	8.707182813	8.138092225	8.437483173	8.163142398	7.943673565	8.331035925	8.218892011	8.657223965
IGFBP7	11.86362217	10.93935981	10.94963169	11.10757717	10.56692386	13.84035771	11.65498403	12.71462332	12.8310738	14.78292164	13.13979612	11.89518125	11.04951249	13.23594011	9.184000243	11.18768574	14.58450697	14.00488959	12.86449639	13.84033726	14.63750971	14.4367176	9.375299301	10.96225765	10.24942753	15.82569112	12.4782771	15.44438467	11.63432555	14.93323185	11.93597491	13.55979134	10.3592082	10.98419036	11.07742161	12.21626348	12.16504284	11.60885347
BHLHE40	9.814420091	10.78238264	12.46503487	11.14352243	12.83575154	13.96908248	10.33794915	10.14518367	11.09194376	11.28513109	9.753853727	11.16150677	9.310183405	10.31809061	8.717068885	8.826762215	9.920332789	11.51168289	11.71523565	11.25714324	11.31917533	10.98892775	9.957439278	10.10207674	9.954375813	14.19552161	8.368648642	13.03198623	9.657283413	9.732583851	10.97862367	12.94912858	8.763652867	8.657842849	8.986120848	10.6569656	11.2531879	9.829776013
IDH1	15.1270327	14.502649	14.27814001	14.60422804	13.98959422	15.35134853	16.02133299	16.19316307	16.47503788	16.4678497	13.61370793	15.87649296	14.49151504	16.93232221	12.85201281	14.16336286	17.07538726	16.6171878	17.15893277	17.01856837	17.0889386	17.2189559	14.59333542	14.54005941	15.30675271	15.07661757	14.87132184	15.07770443	15.62047182	17.19401108	17.74194485	16.62476856	15.25325278	14.23345906	14.83286443	13.98787374	15.46461482	14.14891117
SLC7A5	11.7921774	10.06169462	10.61558118	11.78427431	12.44873455	11.71724218	13.41809522	13.56880537	12.40942965	13.63046498	12.13517524	13.37893947	17.99785861	14.3995067	18.69090492	17.8880355	13.89692484	11.17053457	11.23024457	14.30324642	12.58826852	13.83016824	11.55487649	12.39902321	11.32841915	10.77313953	8.289449269	9.920451437	14.28868598	13.95199352	10.87134168	10.96373709	9.27180821	9.710988223	10.31809552	10.0834079	15.1459541	12.53244756
RRBP1	10.29015995	9.636893975	9.755621711	9.642528366	10.3455289	11.07794098	9.915970816	9.935211141	10.57244016	11.94937149	11.34028373	10.48418866	9.708132974	11.50873482	9.412387896	9.455400274	10.60266224	10.35724777	10.34891944	11.51934445	10.36081245	10.5794242	9.098903679	9.363081342	9.299796693	11.46596982	11.15028665	11.27500997	10.20532381	10.31283721	10.56923258	10.34505468	9.557062002	9.741630315	9.479907931	10.28703109	12.57087722	10.39441742
PLS3	11.2547449	8.789194276	8.735681835	8.177940529	8.672277198	9.582979329	10.19644395	12.35577219	8.861373963	12.02476387	10.61038539	11.46836026	9.29407144	12.19756925	9.081965732	11.0032904	13.61394001	8.094662063	8.735572602	10.26544341	15.10282551	15.2430805	7.920041331	7.754867888	8.21078202	9.230097457	8.132584331	7.828047946	10.79281324	13.46719516	8.486164819	8.658456215	7.907973255	8.57779875	10.21280107	8.605621902	13.10052592	9.359471719
SLC2A1	9.480099293	8.774043981	8.858400661	8.551818051	8.633193974	9.1002454	10.93301449	9.337819922	9.654528724	9.245005172	9.745445954	9.252314778	16.83699369	11.17904903	18.61784795	17.18425305	9.766050081	8.835875523	8.249061106	9.890167492	9.572597896	11.62376324	10.00555995	10.09789381	10.00638802	9.031093042	7.974211618	9.634885918	9.929271428	9.897167559	7.740919952	8.739049742	10.38290574	8.6420012	8.825683498	8.415759493	10.76144659	10.1839768
RALY	10.22750285	10.10847111	10.26846241	10.13888547	10.53219704	10.67819479	10.75226193	10.32450015	10.91079879	10.74581821	10.82610069	10.26417137	10.06138819	10.49777553	10.91327262	10.92015562	10.36507424	10.66648054	10.7994951	9.804312661	10.41654478	10.41590995	10.3061828	10.47167136	9.766128181	10.1324991	10.36574263	10.63306459	10.39299524	10.53668757	10.74398547	9.981402707	10.24114518	10.13747961	10.05914295	10.95119132	10.91505819	11.13049229
DAB2	13.13620633	9.790528252	10.4057946	9.948873022	10.2767344	14.20100747	11.20440325	15.23153499	14.1186787	11.85931509	12.17387488	13.86137252	12.92532492	13.63268752	11.1739692	11.48970842	12.97335578	13.94195964	14.48414329	14.50650532	13.69593226	13.60638776	8.64161733	8.667352886	8.914366582	11.71025781	11.67685154	15.66868543	15.99861704	13.01866256	13.50630739	14.32638491	8.571457555	10.04286748	9.599699582	12.05891163	17.03199012	11.73955514
SEC11A	17.0338685	17.85557356	17.80062013	17.68312924	17.6406526	18.08595866	18.45522277	17.56476729	18.56397177	18.45619312	15.92334041	17.6419928	17.09770013	18.36119937	16.25830872	16.84742977	18.64544213	18.89430077	18.95551283	18.4945996	18.11270026	18.24970983	17.75447371	17.94312966	18.08810828	18.64621237	18.49671002	18.00697368	17.14602063	18.35307784	18.8412943	18.54703721	17.7582037	17.30768866	17.73362297	17.77307203	17.38010626	16.93146105
NREP	15.92488011	10.35856116	9.741549567	10.82398772	9.834984066	12.07460998	16.91162716	17.39267193	15.92720619	17.57059208	16.45923925	16.22414354	14.27308148	17.47271633	12.68037856	15.20221506	18.17235632	14.93835436	15.84744803	17.35782718	18.86204318	18.69659547	11.78595274	12.4948684	12.70160296	14.15644127	10.14046296	11.83217948	15.32876985	18.9224595	15.35188731	17.46192649	14.00638833	12.16370537	13.4747318	10.15673408	16.14782448	17.01272449
ENO2	9.503133584	15.97498381	15.60597461	15.4692779	15.53671807	14.69273229	13.43453099	13.56684824	9.004640699	12.68520183	10.15054736	10.88231332	13.85742423	12.9390851	13.40273576	12.73868315	13.56808944	10.47214625	10.60510201	11.37872947	13.62788711	13.58209229	14.38031079	14.70030881	14.74492827	9.88641902	7.747774853	12.83799147	13.77985819	12.85769009	8.981984745	8.261683401	13.60617412	16.09154314	16.00557466	13.89554908	9.366258862	10.42544671
IFITM2	14.27967453	15.3394802	15.73159762	14.78016274	15.99767125	16.52088258	15.78802182	14.79585644	16.60545526	15.44615525	12.82428142	15.30351393	13.72924643	15.45743872	12.15026496	12.51199918	15.26351048	18.14926682	16.98019099	15.52476435	15.44556936	14.87010798	14.53248265	13.96112885	13.65773453	16.51994094	16.97167711	16.4256975	15.40160095	14.62583124	16.87659353	14.23436464	14.12580794	14.98315593	15.48763686	16.11824524	11.27093513	14.31792909
EMP1	10.6655113	8.924203947	9.114154503	8.638609475	8.61421725	9.906632136	9.172059749	11.91099904	11.56400894	13.0475289	10.99702549	9.877785936	9.10954914	10.156258	8.00788869	9.820416947	13.0009958	7.730130238	8.78292203	12.70188296	14.51677274	14.8893923	7.210524287	7.331252404	7.874582901	8.180274241	8.468698421	8.313025047	9.099966164	11.7224694	9.761191845	14.79453091	7.354020399	8.142396654	8.461793456	9.247103703	11.76660144	9.756390662
ARHGEF12	11.30396167	11.21133625	12.19415535	11.96915112	12.90720897	15.0056016	14.56228513	14.82846577	13.21507586	10.89799148	11.69110752	12.19299081	18.26206372	15.04894055	19.35450126	18.42469741	14.18679265	14.47479071	14.00744686	12.97289897	13.81977113	15.49474741	13.43638258	13.51267252	14.00593029	14.07880912	10.3837591	14.24950455	15.91403591	14.37767989	11.79999747	10.1830746	14.03335416	9.977880056	10.68197202	10.75964162	10.65804108	13.0779877
