Gene,CD14_positive_monocyte,CD16_positive_monocyte,CD4_positive_alpha_beta_T_cell,CD56bright_natural_killer_cell,CD56dim_natural_killer_cell,CD8_positive_alpha_beta_T_cell,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,macrophage_m0,macrophage_m1,macrophage_m2,memory_B_cell,myeloid_dendritic_cell,naive_B_cell,neutrophil,plasma_cell,plasmacytoid_dendritic_cell
LSM4,74.42962165,195.5655033,121.0106074,88.91104634,105.0400739,135.425977,51.96354523,143.8925285,55.3230303,85.94577046,85.24263787,126.1834738,192.3552094,205.8875007,105.7842737,164.2053758,88.98427596,37.43949911,48.31695953,144.0889733
MAG,17.71604481,28.77225835,19.38010952,21.73221796,16.06287523,15.4544302,17.87793836,23.51996634,19.9122098,11.22902773,15.04759788,23.20073095,14.51548854,14.01775537,20.05885038,17.04042775,18.9625577,22.26121409,11.08992238,78.97936297
MAL,21.98082047,17.00570414,320.7125872,24.36833996,16.50613621,182.8970995,52.73383405,20.10364177,16.4261505,127.5461842,29.51297219,13.06530448,16.02339661,24.78065881,22.58958379,20.98161073,27.7108582,34.51274065,52.96145023,16.45491145
MAOA,17.52776354,10.63779871,16.04345723,14.3507425,11.88497491,13.02623284,77.06786909,33.62980642,17.11250932,15.41620975,19.25343603,46.11507688,70.41159348,476.2210648,12.76710804,38.94562062,10.39920444,18.26845227,10.48443987,32.32593505
MAPK7,55.67954035,85.04005347,38.53064349,35.1941459,34.37849275,39.04135242,34.28009066,45.21140506,23.58362495,33.15533037,26.7016645,32.36656071,51.41328475,48.98339061,32.97070321,38.13253013,33.73194444,33.50113961,30.27120522,29.13360714
MAT2B,148.0282412,132.7647893,169.0684473,206.9148487,189.5613969,252.7013478,200.8882764,181.400137,1094.070575,170.0011353,115.8080766,72.79261085,130.12854,175.1308714,610.1014731,160.8586725,693.2130969,153.0522144,436.9611497,61.92864393
MEST,26.54739742,18.46474705,22.26591892,20.06025446,16.24709819,27.56139987,17.62394246,12.13421791,24.63007109,19.7937989,441.4729702,24.10130898,11.40305634,11.18871636,24.24340261,17.80902244,26.6982874,28.19834367,39.54548078,31.70104978
MME,20.19588019,15.71942248,16.01947423,13.86791051,10.22148513,13.22752296,20.89235161,12.49942403,29.78551001,8.946019659,35.45528563,22.83864548,16.57501337,15.95707779,16.66138203,14.45733263,17.16725553,238.5493595,20.94702867,32.55579192
MMP25,54.89841597,33.71449772,35.65355189,38.6301524,26.50723309,37.01412604,29.03750868,275.0489511,63.35344234,42.22658987,29.56759593,27.61657763,49.68139491,41.16214341,24.15992273,53.92559473,27.8877984,167.1530174,47.02640269,29.05599824
MMP8,15.0378252,10.17883031,13.563454,16.58922465,9.318402917,11.40491931,24.05947869,9.997669084,23.82022965,14.00398044,17.53616654,44.57211365,7.394263625,6.9489409,14.46538126,11.97297986,17.19890567,41.06900956,35.79004511,22.45249273
MMP9,71.0484368,19.12128466,31.30604498,41.19276221,30.56561174,24.32904544,43.25798,14.53404279,29.45171381,46.07895665,40.63705049,1082.375474,3825.404778,2402.56263,22.46057904,213.215089,22.02023517,479.8010018,80.78303562,40.17353538
MOCS3,30.82444571,16.58146993,33.99311035,25.99305691,19.85762938,24.96936943,41.48321261,18.86986451,14.9272107,37.88751234,23.78311388,38.80311392,25.06908124,27.34085698,24.29961888,18.78963134,28.76160581,32.0788357,40.20538047,24.59145929
MPO,43.19840418,34.88054683,23.44734784,29.21356224,16.0464285,16.63514223,27.95800551,72.8887001,30.97860537,15.11331861,879.9229547,45.47923511,45.85592213,42.88035944,13.2390239,21.32780885,14.56696088,41.15901761,23.47897724,21.2116384
MPPED2,10.30500564,12.25702932,15.06922112,20.84170748,13.9726976,11.91963402,17.57081449,9.555447093,16.9797265,11.34646813,27.69568897,15.59469458,6.657759807,6.76934525,10.99389663,14.54735507,14.50192069,16.87620771,11.16468983,25.84564791
MRPL3,148.0956752,236.4708622,204.3076218,145.3158348,148.6067668,207.7236983,309.6076602,63.40515692,74.05751669,903.2884687,816.3408028,100.9687625,111.3596921,165.7341037,342.3912238,170.2310267,255.0718646,45.63488421,446.7543265,79.45644689
MRPL4,39.61261576,41.80435395,53.74594948,34.67654211,38.09769081,60.7536004,90.72433609,20.69952734,11.30900652,87.90129779,50.05572788,45.00609344,43.65714286,45.23623547,53.5109069,33.41114529,48.4910992,17.32654541,92.44023356,31.30623124
MS4A1,23.62489814,16.37315155,25.6870312,23.59910361,17.08430493,29.09362967,15.78122076,24.88581409,57.17416166,19.75434869,19.03951039,18.17733678,12.43539706,13.62637605,1425.959673,19.24083775,1518.542733,31.43809225,78.46352468,14.10892116
MS4A6A,446.0485563,285.9098531,62.51195241,39.22914965,22.32233981,19.8563612,36.47317139,216.2270205,38.89571358,13.14259401,84.64109865,110.8129237,84.45353431,675.7509151,22.16608874,161.1051483,23.84058066,86.60456504,32.11738057,43.90863889
MT1X,149.8094743,185.1021295,132.5304834,68.89061706,103.874123,162.4430448,201.1852501,60.41167015,67.63864087,221.9997429,119.8736835,199.5262067,624.8495023,146.6020722,72.14046687,79.43837524,43.61808169,86.1766727,69.07253667,37.56604838
MTMR11,179.5649807,194.8768012,37.92172956,27.48901295,35.27654309,23.23172493,25.9858217,35.99507612,16.34258069,16.63405763,23.38404,47.21855588,45.06123837,33.35605093,18.38267966,52.58473313,20.35202598,32.29785212,39.63200396,28.67917268
MTSS1,67.89571607,199.6556971,45.31013535,134.1263521,122.4464251,41.45677758,73.79177449,47.41990273,31.83396259,27.85776047,35.82488796,51.22460454,53.5153049,86.25177392,110.1000479,104.3038787,136.8338526,30.1073677,25.86201782,45.05161721
MUC1,24.30944778,20.35956079,31.92419418,16.51917612,25.78892901,29.01863265,33.5833771,29.69477858,24.00227852,31.13808126,43.88365422,27.32527963,61.02910562,27.57268355,25.36014392,38.70461044,21.15940953,31.79798346,31.15045789,168.4478729
MYLIP,97.70121741,307.9021861,150.0150301,131.5082242,225.3320848,131.2137904,45.35543024,684.6693635,123.0912131,84.54222967,126.1833165,49.44986925,105.4791333,111.7434398,118.916417,196.0252619,131.3911025,266.9578082,40.0185743,37.04467753
NAGA,193.4523314,253.9119606,53.57259922,40.04588602,44.32925356,40.30828893,164.8621681,31.44666242,29.90405946,65.50689227,82.70444996,103.2735677,82.30194765,150.5933048,64.64153099,99.47618317,56.91808615,39.67814193,77.75844065,68.61492274
NBN,87.18340308,73.59558453,64.77969197,102.7631609,169.8097567,81.17406274,61.54908607,57.85617397,178.2442919,92.43644319,114.3973441,75.7572301,107.383916,69.55819286,105.0491688,79.74063481,71.55835333,169.7808264,50.55054852,28.48162307
NBR1,63.47841164,21.86992434,58.81069426,54.01534483,73.09144794,69.58273107,87.73088964,26.12003973,128.5778845,87.39335693,35.37472384,35.00807043,20.301084,32.99776817,66.6063616,27.35279153,61.07990054,71.62665701,129.4946349,28.17176755
NDRG2,26.94037659,27.40159218,39.61226074,31.90470195,29.6999487,26.81456841,37.5518117,27.17990304,28.73225801,19.00415429,23.71418416,41.41162015,48.46157906,52.43067174,26.73085506,97.85402246,29.1725599,32.03729203,32.15503253,37.38001855
NEFL,13.46444923,17.56371234,29.24769675,13.72333368,14.75623551,14.19207094,40.63866386,19.86067026,13.8183414,12.55535105,8.745381944,18.32673125,14.49480313,13.27825852,14.10050093,18.8451213,13.41266956,24.83212512,9.933653425,20.62659094
NGFRAP1,45.90343994,39.26563497,95.37075221,32.46341485,27.12350394,85.7695015,329.1389036,44.10285777,37.10318777,29.2525574,1322.700388,77.23543584,55.07321777,71.0260706,28.73775429,74.62237763,23.25826167,40.08861757,87.72498286,18.97948314
NME1,82.86861481,123.7898164,110.4531213,54.00266122,53.05675147,121.3829507,351.9189762,40.35959092,38.17391106,454.4322734,636.1541749,135.4819185,91.86655108,106.0579619,233.5281896,99.924562,176.1862467,43.1976046,509.0722503,285.7921777
NOTCH4,30.03392263,82.35065983,26.04926333,27.00917151,40.02536952,22.24507761,31.51670631,21.50201957,27.59095444,17.9584548,24.79795111,22.83736638,25.50793987,16.45733236,29.44693273,20.09832583,35.38610358,25.00426124,27.61047236,29.0777003
NOV,18.18954012,22.75398417,18.72601959,15.79635968,20.27226746,14.6829381,19.46977623,32.71164211,45.3278159,14.89624816,23.09389505,33.42813701,24.62132334,28.34607644,13.59326158,19.12263911,18.68579879,116.4208383,16.94994661,22.84985064
NPEPPS,81.25409804,70.58367738,80.70966512,61.61760305,241.1978712,81.31942699,54.3692389,129.1853598,140.2037988,106.9695321,82.53316622,31.24625266,59.87116737,74.87993051,77.23940015,102.6086012,70.26796034,113.2371582,42.28214746,33.22362169
NR2E3,16.86250434,14.62544322,18.57041274,17.40389773,27.86025597,15.03250604,11.68802416,9.62469982,24.8497204,12.49188321,13.42715788,24.62518793,10.35070628,10.20628873,18.80540383,14.58698816,20.03518548,19.89899243,12.09732459,20.16845545
NR4A2,44.37856755,237.0473623,97.48089096,87.9594746,937.6631016,170.0973233,49.64215973,179.5333547,103.1894067,121.0234048,147.6916231,19.62066538,49.37321622,34.24965368,60.67680721,112.9270036,48.23055105,179.0937793,69.09756653,12.65263509
NRG1,41.97409244,20.08432168,18.19652847,15.01071836,20.30695762,16.36535625,20.29660035,14.26631417,17.3261289,12.0925177,12.90127271,13.30854302,11.22497064,11.92937246,14.29776407,21.64954745,15.55800841,21.69112162,15.27618361,14.44231314
NRGN,183.1562184,129.2336011,41.33990717,29.18640595,34.19915545,29.90204555,61.24103689,27.20095809,19.74443402,22.55561068,47.94949847,32.36783867,24.0883387,47.57365438,20.87575488,27.73791628,23.02412522,72.85989994,33.35273335,62.37413468
