"","Bmem.activated","Bmem.resting","Bnav.activated","Bnav.resting","Bplasma.resting","BSph.resting","ESph.resting","mDC.activated","mDC.resting","MOcl.activated","MOcl.resting","MOim.resting","MOnc.resting","mTregs.activated","mTregs.resting","NKbri.activated","NKbri.resting","NKdim.activated","NKdim.resting","NTph.resting","nTregs.activated","nTregs.resting","pDC.activated","pDC.resting","T4cm.activated","T4cm.resting","T4em.activated","T4em.resting","T4emra.activated","T4emra.resting","T4nav.activated","T4nav.resting","T8cm.activated","T8cm.resting","T8em.activated","T8em.resting","T8emra.activated","T8emra.resting","T8nav.activated","T8nav.resting","Th1.resting","Th17.resting","Th2.resting"
"IDO1",11.75,2.5,34,19.25,0,819.25,117105.75,2740998.5,3133,896855.333333333,0,41.5,139.5,115,0,0,0,0,57.75,326.5,0,0,45.75,0,65.25,5.75,304.5,0,1575.75,0,29,11.75,0,0,13.25,0,9.25,0,0,0,8,5.5,14.75
"SERPINA11",1977.75,0,9332.25,2673.25,0,7796.5,7331.75,2784.5,0,0,63181.75,39053.75,12776.75,0,4046,0,0,4194.66666666667,0,487825,0,10402,0,3628,0,0,0,0,0,5917.75,3899.5,0,3738.5,1592.75,3234.5,0,10993.75,1830,4792.25,0,0,0,990.75
"NPL",3117,2396.25,1643.5,333,0,1083.25,9717.5,0,15923.25,41802,49845.25,254425.25,217072.75,0,15126,175.333333333333,36.5,0,1729,50306,0,8785.75,2022.25,3676,2373.5,0,958.25,0,426.25,252.5,762.75,514.5,0,1828.5,0,0,0,0,0,0,0,3087.75,2532.75
"LILRA6",2729.5,1875.75,7600,4678.5,350.5,722.75,1503.25,13813.25,16462.5,70601,110575.75,121514,131986.75,52.6666666666667,2444.5,0,1479.75,12.6666666666667,197.75,904033.25,10364,594.5,403.25,6577.5,157.5,192.5,0,168.75,100,1204.25,3.25,643.25,72,99,17.75,1855.25,16.75,2998.25,0,49.5,673.25,478,283.25
"RAD9A",0,9305.25,0,6946.5,0,11698.5,382,0,5537,0,48139.75,4226.25,12139.5,0,9406,2202.66666666667,9559,0,17711.25,0,0,5983.5,0,9319,0,22585,0,23548.25,0,7895,0,13788.25,0,11418.25,2491.25,19825.25,0,22762.5,2941,14380.75,1252.75,20483.25,15787.75
"IGLV7-46",12206.5,9859,13023.5,4507.25,62848.75,21533.75,5978.5,17707.25,5802.25,30984.6666666667,21010.75,56367.25,29835.75,0,9251.25,1469.33333333333,6775.25,3581.33333333333,3036.75,0,0,61248.5,25041.25,0,0,0,0,0,10849,55113.5,0,3074.75,0,2196.5,1512.75,0,1143.25,19821.5,1239.25,1773.75,1171,0,0
"CD79A",478910.5,368694.25,183004.75,208478.75,10425,0,0,559.75,48.75,0,0,555.75,5,0,10.25,192,44.5,345.666666666667,119,0,0,19.75,0,0,1090.5,114.75,241.75,19.5,592.75,0,0,102.25,67.75,195.75,386.75,35,0,80.25,85.25,75.5,0,274.75,155.5
"MGLL",28503.25,2559.75,3137,395,0,1143.25,616376.5,666352,1284,16667.3333333333,17120,125490,307790.75,469,239.5,573.666666666667,393.75,75,987.5,76151,1131,141.25,91388.25,19205.5,2362.75,430.75,5298.25,3222.25,9315.75,440.75,271.5,648,238.75,992.75,536.75,643.75,0,391,99,858,521.25,2058.75,486.5
"HLA-DRB4",25296.5,0,14509.25,0,0,0,0,117432,4540.25,36619.6666666667,20594.25,37617.25,27419,0,0,0,0,0,0,0,1082.33333333333,0,34283,846.75,755,294.5,3212.5,922.5,4801.5,0,2748.5,0,627,0,9348,0,6317.75,807.25,317.25,0,0,0,0
"CCNDBP1",17755.75,0,6223.75,0,48603.75,7770,11571.5,43719.5,0,18024.3333333333,1984.5,39454.75,1404.75,2731,0,3128.66666666667,0,12540,528.5,156076.25,58324.3333333333,8065.25,12997.75,0,58142,229,95724.5,2059.75,40402,27642.5,13320.75,0,33035.5,0,18730.75,4596.5,12588.75,746.5,25249.25,0,1673.75,4994,2378.75
"CTH",10124,878.5,0,0,578.5,109.75,0,457.75,141,0,250,21.75,0,0,18.5,419.333333333333,23,1860.66666666667,218.25,0,679,0,1633,677.5,128352.5,30.75,486846.25,0,148559.25,0,349.5,281.75,75663.75,238.5,43695,99,14891,236.25,1839,906.25,50,0,0
"LAT",3334.5,0,0,0,30623.25,3307,3990.75,0,0,0,576.5,6140.75,3732.25,0,40163.5,5020,7190.25,1711.33333333333,10300.75,0,46496.6666666667,14721.25,0,6851.25,59117.75,55783,75767.5,37281,37798.5,13062.75,10333,34138.75,34579.25,40369.25,15427.75,27606,12978.75,21785.75,18194.75,27626.75,36351,51871.5,39719.5
"CD7",45479.75,0,0,0,9691.25,15858,0,0,354.25,29765.6666666667,11578.5,7678.75,954.25,15324.3333333333,40350,57404.6666666667,308421.75,8707,174374.25,269425.25,194798.666666667,55954.5,14160.25,16384.5,103080.25,41585.75,85395.5,20347.5,147987.75,41368.75,91512,113611.75,143576,51876.5,52337.5,60675.75,32456.75,77794.25,93160.25,105686,25374,31441.25,41605
"VNN2",9,34,57.25,31,31.5,2511.5,12434.75,305.5,2.25,28780,235982.5,45532,10006.25,0,14,44,94.5,58.3333333333333,45.25,2525303.5,0,29.75,0,38,235.75,13,296.5,13,74.5,143.75,9.75,41.75,40,75.5,30,40.5,82,207.75,0,87.25,51.75,0,25.5
"MMP9",7,6.75,4.5,1.75,2,6.5,378629.5,7.75,68.5,48,7,18.5,10.5,8.33333333333333,7.5,3.66666666666667,1.25,17.3333333333333,0.75,44596099.25,8,59.75,6,7,7,1.5,9,4,6.75,5.25,5,5.25,3.5,4.75,0.5,8.75,0.75,3,5.75,0.25,70.75,2.25,7
"CKAP2",11645.25,896.5,23438,5336.75,2171.5,574.25,0,1057,1506,0,5861.25,0,0,0,0,13935,0,9791.66666666667,0,0,24610.3333333333,0,1688.25,681.5,22067.75,0,29895,0,31540.5,107,14604.75,0,20006,0,18224,0,10280.25,0,12059.25,0,0,0,0
"FAM26F",665.5,0,2459.5,0,8011.75,0,37147.75,0,14701.25,11816.3333333333,0,34475.25,37188,0,9824.25,0,6433.5,0,0,43258.5,4466.66666666667,0,4026.75,0,933.5,353.5,528.25,0,439,0,0,0,8064.5,0,7721.25,6493,0,27104.25,17991.25,0,402,0,0
"RHOB",0,0,9173.75,1559.25,0,25152.5,5196,11641.75,13212.25,3777.33333333333,6018.5,62858.5,213704,2473,0,0,6541.5,0,0,28065.75,0,0,0,0,1422,0,16485.5,2617.5,0,0,0,0,19578.5,522,15153.25,1932,2002.5,1320,0,4445.5,2243.5,0,1574.25
"HLA-DRA",5218874.25,717274.75,6733885.25,528361.5,190000.5,75535.25,56772.25,6565828.75,4952423,2575489,1780597.75,3875492.75,2547754.5,167353,191556,446835.666666667,226213.25,1488952,4741,30241.5,206943,120210.5,3739832.75,1995753,334721.75,6599,544293.75,76165.75,684673,86611.5,45222.25,3666.5,288034,26994,867506,93864,1233302.5,67661.25,11545,388.75,9623.75,17479.5,21691.75
"SAA4",4057,0,0,1722.5,10485,673887,198792.5,219391.25,209602.25,267126.666666667,2616.75,386210.75,191035.25,599057,124845,0,1870.5,6405.66666666667,4505.75,235351.25,76405.3333333333,353804,174937,122008.5,60395.25,9330,126313.25,29578.75,122975,719935.5,13864.5,19120.25,10328.25,78012.25,5881.25,41002.5,19535,197656.25,12756,57038,58092.75,98766.5,151943.25
"UCK2",37006.25,4106.5,86928.5,1380.25,1956.25,1732.5,550.25,6727.25,22807.25,381,8646.5,8261.25,12839.5,3181,3434.5,119830.666666667,3334,107149.333333333,6033.75,7692.25,34799.3333333333,1946,20343.75,36965,189291.75,0,216930,85.25,210816,1539,46337.75,0,128410.75,1055,147322.75,4039,91536,5334.75,83410.25,0,2600,0,347.5
"EPHX2",3171.75,3095.75,550.75,608,1024.25,2108.25,110.75,320.5,2311.5,815.666666666667,178.75,1031.75,853,4129.66666666667,62064.5,458.333333333333,5739.75,510.333333333333,983.5,4333.75,55005.6666666667,216620.75,903.25,1707.25,17013.25,302669.5,7895.25,73281,7437,31106.25,62917,809842,7552,130652.25,1686.5,24937.5,1178,7711.5,39334.75,442337,108453,188469,416487.5
"APCS",0,281,0,280.75,1397.75,217558.5,87620,32669.5,7887.75,36839.6666666667,1829.75,17250.25,26727.5,20722.6666666667,1359.75,262,0,4835.33333333333,1260.75,126802,4912.33333333333,7177.5,63755.5,0,458.75,133,16008.5,586,11527.25,74895.25,3466,821.5,16059.75,2354.5,13468,3585.25,7695.25,9873.25,0,0,0,1082,0
"PF4",1142,95622.75,7531.5,23894.5,3490.75,2212895.25,2494652.25,6459866,7484663,1377087.33333333,1230181.25,8498278,7016969.5,2272091.33333333,2282580,14551,75244.5,11706.3333333333,12985,7440,690468.666666667,4553930.75,4381239.25,1999552.75,557515.25,524892.5,997524.25,983442.5,725755.75,9454015,823872.25,271761.25,245687.75,1183658.5,366626.25,1267127.5,447212.25,1959346,167250,886975.25,1216861.25,1782601,1641628.5
"PIK3AP1",151473,101649.5,178240,62621.5,3430.75,45461.75,21604,53257.25,63126.25,202504,96906.75,329978.75,631075,51256.3333333333,1322.5,91560.3333333333,8873.75,28905.3333333333,6315,120441.25,104.333333333333,411.75,58311.25,61124.25,2135.5,674.75,233.25,526.25,9075,1854.5,280,673.5,824,763,1596,9035.75,1327.75,12786.25,2543.75,1067.75,488.25,1001,295
"PLSCR1",0,2527.5,0,3423.25,1726.5,6713.25,8881.25,69076.75,10643.5,59240.6666666667,135160,67834,49546,0,2003.5,2517,4706,15528,3229,1600868.75,0,471.25,100193.25,8497,0,1191.25,622.25,2231,30102,0,2510.25,805.25,0,945,468.25,2638.5,340.25,1725.75,9973,57.25,2516.25,2490.25,1596.5
"LAT2",41264.25,64701,61313.25,82094.5,5095.75,41270.25,4036.5,41303.75,79409.25,2072,36203,25085.25,11573.75,0,250,98823.3333333333,31242.5,179789.666666667,69968.75,364501.25,2589.33333333333,366.5,2701,0,2072.25,1714.5,3415.5,0,5415.5,9150.75,2784.75,2411.5,2041.5,0,3407,0,4674.5,8600.75,13006.25,0,551.75,360.75,1452.5
"MSRB3",3146,0,4775.75,10438.5,0,17313.25,19032.75,0,0,10347.6666666667,17108.25,9896,9641.5,0,0,0,4620.5,0,0,84804,0,0,12514.75,17152.25,887,0,0,0,0,0,78.75,0,0,0,0,0,0,0,0,0,15903.25,0,0
"RAB3A",0,0,0,0,0,137684.25,31410.25,2094.25,6305.5,46015.6666666667,96597.5,107891.5,51180,0,934.5,1061,0,0,616,0,1313.66666666667,0,0,266.5,0,233,0,0,285.25,696.75,0,0,0,0,0,525,0,316.5,0,0,0,236.25,0
"C5orf58",23734.5,14205.75,18782.5,1292.25,1237,256.5,49278.75,16413.75,8006,58792.3333333333,10718.25,40834.5,20407.75,4112,2388,7417,1501.5,4607.33333333333,65.75,9509.5,286208,0,3898,4039,63372.75,0,86591.75,0,31238,0,0,0,22864,0,115,181.75,4670.25,1855.75,18575.75,1332,5399.5,0,4339.75
"TUBB6",254149.5,66562.25,157610.25,8066.75,110.25,13794,225.5,494066.25,96131.25,150648.333333333,137087.25,106455.75,61619.25,0,747,154928.333333333,3812.75,124327,10494.5,34228.75,2060,7069.5,383915.75,654830,18401,9026.5,11381.5,1377.25,12631.5,4953,10006.75,11156.75,4253.25,49.5,3773,22416.5,583.75,2497.75,25399.75,5548.5,1475.75,880.5,399
"GIMAP1",0,3172.75,679.5,2305,49564.25,13847.5,5715.5,6618.5,47259.75,467450.333333333,647509.25,955707.25,1053352.25,101881.666666667,542748.75,149988.333333333,667434.25,63752,433245,42052,227376,646135.75,1629,10209.5,126868,1188211.5,123511.25,908051.75,194479,592877.5,186937.75,885891.75,176501.25,983703.25,192474.25,910194,205707,821030.75,226860.75,955790,576409.75,907214.25,779586.5
"GPR183",20800.25,11782,17426,1423.25,0,7949,2913.5,132260.5,20740.5,0,0,0,0,0,22201.25,0,24561,0,0,0,8034.33333333333,9710.5,46954.5,23952.75,17025.75,24891.75,21097.5,20087.75,17035,1678,3189,12598,18962.5,14310,5463.5,14735.75,0,2245.5,2355,757,23663.5,24341.5,18398.75
"AKTIP",0,16107.75,0,48779,6772.75,1371.75,311.75,0,88140.75,0,0,53462,0,0,62295.25,4456,108392.25,7850.66666666667,68949.75,2020.75,0,72483.75,859.5,73704.5,7019.75,6742.25,7000,5595,2321.5,62999,18527.5,6972.5,1608,4130.5,1431.75,4377,19269,712.5,0,10342,626.75,3119.75,5679.25
"EPHX1",300.25,52,331.25,32,358.75,1261,957,1202.75,7437.75,51346,268078.75,195304,168717.25,49.3333333333333,104.25,158.333333333333,50005.25,753.666666666667,314.5,1287944,474,376.25,2476.5,40387,351.75,223.25,578.25,361,1198,269.25,270.5,459,739.25,400.75,941,116.5,459.75,919.25,1117.25,6171.5,115.75,0,872
"NR2E3",0,3956.75,0,4274.75,0,7571.75,20024.25,0,40530.25,0,0,48742.5,18402.75,0,9649.5,0,17129.75,0,2355.5,0,21505,6788.75,0,25892,12162,1801.75,9810.25,403,15578.25,5794.25,0,5049.5,0,4775,0,10287.25,0,3084.5,0,3893.5,0,3100.5,6221.75
"IFIT3",1524.25,5190,1042.5,3270,400.5,19700,9565,909693.25,6927.75,759929.333333333,14410.75,183968.25,134815.75,1066,4372.25,75.6666666666667,344,12621.6666666667,3878,12920.5,2614.66666666667,3624.25,3623376.25,3425.75,3311.5,1767.25,9,405.25,28979.75,96.25,2679.5,1751,170.25,775.75,274.25,1338,628.5,4095.25,16327.75,419.75,1678.75,4382.75,10272
"CSRP2",1906,0,2971.75,0,0,0,0,106173,507.5,10900.6666666667,3502.5,0,0,0,339.25,1785,0,6773.33333333333,863.75,5552.25,31764.6666666667,0,171870.25,0,5184,67,0,123.75,17727.5,0,9431.5,0,0,0,8845.25,0,7769,0,0,4780.5,0,0,6273
"SLC7A5",25397.5,13698,25533.5,84.75,35344.5,33512.75,32398.5,21641.75,7294.5,19801,0,0,0,4283,5945.75,65471.6666666667,4075,96892.3333333333,1319.5,0,74363.6666666667,6718.5,51605.75,112061,135240,852.75,236578.75,2212,226696,1985.25,53489.5,1823.25,210616,2698,128159,5670.75,69584,4959.75,59219.75,1185.5,3382.5,1877.25,289.25
"SKA1",10211.75,5770,18166.25,4433.25,0,1494.5,3091.75,4642.75,15361.5,0,5080,0,0,2687,0,10831.6666666667,700.25,10797,1286.5,0,18454,1045.25,0,0,28641.75,0,39761.5,0,25219.75,0,14115.25,0,15357.75,0,18521,0,7669.5,0,11972.75,0,4426.75,0,0
"NDUFA1",25452.25,3308,18426.5,3767.5,0,55209.5,5981,10047.75,4080.75,0,46091.75,16684.5,7982.5,0,7809.5,0,19219.25,0,5575.25,0,48200.6666666667,8960.5,4639.25,15423.5,33971.75,738.5,23507.25,0,16986.25,1315,2457,0,0,9489.5,0,3734.5,0,292.5,0,5160,0,14230.75,12090.75
"MND1",19432.5,0,12338.25,0,0,1899,0,0,0,0,11531,5211,9848.5,0,0,17220.6666666667,0,12208,0,13739.75,16042.3333333333,990.25,0,0,19909.75,1192.25,17984,0,13803,0,6831,0,15824.75,0,12456,0,4878.75,412,7041.25,1078,0,0,0
"PON3",0,695.5,0,0,0,18161,2174,0,2566.25,0,0,7736.75,8598.5,3973,2696.25,0,933,0,0,120591.75,0,8104.75,1929.25,0,0,389.25,0,0,0,31156.5,0,1476.25,0,3687.25,0,1132,56711,6901,110430,0,1288.25,8906.5,4288
"LIN52",34947,53029,28422.5,24611,0,47448,0,36999.25,128829.75,0,94414.25,192799.5,135887.5,0,98649.75,97302,77259.75,28530,54011.5,0,12770.3333333333,40521.5,18600,42814.75,0,13302.5,43337,19364.5,91932,15247.5,92674.75,19431,100527.5,7709,43729,75931.5,67816,95893,71894,76016.5,35224.75,58794.5,100264.25
"TPPP",0,4356.5,0,0,0,2890.5,0,0,0,0,6249.75,0,5019.25,0,4928.5,0,4016.5,30111.3333333333,0,336.25,0,1156,0,23533.75,2035.5,29977.5,0,61150.75,0,10067.25,0,437,1862.25,9570,0,8694.5,1469.25,635.5,0,0,10571,46506.75,24631
"CCDC23",0,0,7457.25,2600.75,0,2599.25,34413,35073.75,75250.5,0,0,17412,14049.75,0,17490,10890,3427.25,11808.6666666667,35137.25,0,29313.6666666667,1694.25,10961.25,3169.5,16846.75,17699,0,11715.5,0,0,1410.5,9124.75,11138.75,10531.25,0,10303.25,0,4654,0,16755.75,5223.75,7582.5,6807.5
"GGNBP2",0,486.25,0,0,0,64006.5,12396,0,70635.75,0,327.75,3908.75,10517.75,0,7420.5,0,5669.25,0,0,0,0,5031.75,2695.5,9900.5,2830.75,7762.25,0,7516,0,12531.25,213.25,312,1762,25897.5,0,7720.5,0,12266.75,0,5386.25,303.75,13958.75,25952.5
"CD22",255470,208970.5,374233.5,255229.75,311.5,176,16.75,543.5,5491,126,59.5,90.5,114,32,71,135,1168.75,56.6666666666667,50.25,760.25,76,31.25,25,2114.25,0,25.25,180.25,0,185.25,68.5,96.5,36.5,58.5,8,38.25,28,33.25,3.75,5,11,20.5,1,1.75
"IGLV2-14",71688.5,15905.75,21959.5,13396.25,34759.5,2966.75,8076.75,5796,8409.75,22763,0,0,0,2364,0,0,0,0,0,0,0,9919.75,13072.25,0,0,0,0,0,1906.25,15023.5,0,643,0,546.75,0,0,0,0,0,1197,0,0,732.75
"SERPINA3",1009.5,564.5,2280.5,284,855.75,304040.25,193739.5,355444.25,674340.75,828150,11547.25,964288.25,395022.25,396561,333150.5,857,11135,857.333333333333,1313.75,21755.5,99552,899616.75,587587.75,197252.25,130068,26014.5,259476.75,79155.25,258243.75,1127352.75,27579.75,27338.5,48551.5,80582.75,36933.75,28609.75,56349.5,254210.75,19894,33561.25,70341.25,153374,179331
"NCBP2-AS2",0,1641,4921.25,0,0,0,0,1381.5,3066,0,0,0,2711,0,2144.75,14807,5850,18512.6666666667,8439,0,25187.3333333333,7542,17247.25,9977,28977,25156.75,49863.25,27046.75,27269,0,34512.25,2250.5,34437.75,29854.75,54617.25,5830.25,17228.5,2786,40988,12392.75,2292.25,19193.25,13074.75
"TLR8",112.25,1719.75,93.25,33.25,24.25,99.75,127.75,1574.25,22595,72721.6666666667,248827.25,326199.5,494564.75,80,79.75,45.3333333333333,223.75,85,323.5,17333.75,80,507.75,61,157.5,156.25,2186,64.5,1890.75,107.5,5.25,9.25,358.75,145,149.75,108.25,2746.25,101.25,78,51,103.75,36,885,281.75
"LAPTM5",47320.75,7699.25,80627,6884,0,7990.5,2622,0,8051.25,32449.3333333333,14528.75,16192,32237.5,882,1366.5,48675.6666666667,876.5,91444,572.25,28586.5,0,0,0,1419.5,6887.75,0,10883.75,514.25,18203,0,11032.5,0,20051.75,474.25,20255.75,2005.25,11002.25,0,19048.75,385.5,760.25,0,326.25
"FOXP3",116.75,801.5,148.75,23.25,0,39.25,948.5,1497,42.25,0,112.75,1625.25,505.5,126447.333333333,192331.5,8566.66666666667,0,61,310.5,6139,358076.333333333,79961.5,9418,657,19917.5,161.75,32997.75,5534.5,12205.25,610,10420,4928.25,40850.5,1057,3952.75,36.75,2560.25,0,8292.25,1418.5,559.25,4726,1029.75
"ANKRD22",0,0,0,0,7047,391,51642.5,1181,342.25,39996.6666666667,41381.25,61719,80064.75,1438.66666666667,132.25,0,0,0,0,143276,0,193,368.25,332.75,7973,5323,185.75,559.75,1953,0,0,308.75,0,1400.75,0,0,0,0,0,323.75,0,2355.5,2697.5
"FGB",20.25,8881.5,139.5,10228.25,56607.75,94938.75,24832,18891.5,101895.25,24713,200474.75,476020.75,373284.5,32961,26800,7.66666666666667,34.5,125.666666666667,493.75,138633,3044.33333333333,115491.75,32887.5,53059.5,947.75,812,2858.25,3536.25,3844.5,158627.75,917.5,2015.5,2860,6185,162,5076.75,1986,7208,1217.5,6007.75,6983,15954,16833
"TPK1",1115.75,80721.25,809.75,54896.75,0,4119.25,793.5,16500.25,118242,39706,137029.75,220693.75,150822.25,7099,29591.25,0,49913.25,4033.33333333333,34158.75,15773,0,23374,4029.75,51035.25,4023.25,125517.5,10723,119479.5,4885.25,33211.75,3064.25,75759.75,0,42951,5039.5,52606.25,0,24986.25,8205.5,103052,10801.5,79480.25,161229.75
"LILRB4",2480.5,253.25,12462.5,0,874,0,94.25,25640.5,51813,33717,45623.5,26239.25,19787.5,0,0,0,777,0,645,0,0,1493.5,85644.75,189611.5,0,2096.25,224.75,2343.25,10160.5,0,408.5,256.25,0,159.5,128.5,458.25,0,753.75,0,806.5,194.75,1062.5,462.25
"CEBPD",0,0,0,0,0,9864.5,0,80550.75,46389.75,35350,180716.5,49319.25,16653.75,0,0,2924.66666666667,1790.25,2579,1853.5,0,0,0,0,2795.25,0,0,226.25,489,0,7994.25,0,0,507.5,477,339.75,3927.25,0,614,0,558.5,505.5,0,663.25
"CEACAM1",17,5.25,0,0,0,486.25,364464.75,0,3,0,0,68.5,71.75,71,2622.75,1141,0,2509.33333333333,0,4091336.5,19216.3333333333,766,34.5,0,2527,209.75,2582.25,130.5,2940.75,15.25,2834.75,35.25,745.25,9.25,619,6,69.75,11.75,3840,30,0,189,70.5
"QIL1",70741.5,64684,22646.75,29156.5,0,14398,3297,27090.75,96021,41272.6666666667,159717.75,75753.5,106873.75,0,126574.5,13208.6666666667,106404,34179,67699,0,55853,133307.5,29704,72584.25,69895.25,154043.25,105001.25,175339.75,105884,43518,0,128113.75,17085.5,172706.75,14618.5,187286.25,0,108090,31139,157175,44802.25,177843.5,195337.75
"MINOS1",18887.25,288860,165139.25,330272.75,0,60804.25,13875.75,149873,176668,77208.6666666667,113271,414833.25,256513.5,2802,114316.25,76532.3333333333,248326.25,0,125685.75,0,75505.3333333333,122215.25,54214.25,219518.5,40701,140683.75,56484.75,110912,34873.25,93229.25,0,147535.75,3123.25,132156,48348.75,130402.25,6162.75,162265.5,71705.25,113522.25,132590.75,182288,170534
"C10orf11",0,0,0,0,0,43192,12274.5,6007.25,27824.5,14461,53837,64298,25778.25,0,0,326,2053.75,0,500,14820.25,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM154",9664.25,0,3140.75,11081.5,3419.75,189220.75,55379.5,0,0,0,15847.75,6004.5,2143.25,0,7346.25,4256.33333333333,0,9621,510.5,486358.25,0,3333.25,0,430,0,4061.5,4845,6508.75,2658.75,0,1790.75,2064,0,2496.25,0,3333,0,0,0,1138.75,4087.5,2409,3822.75
"DBN1",3085.5,622.75,5646,1015.25,661.5,119528,554.5,1463.25,143.25,251.666666666667,3468.75,8680.5,7831.25,1020,100.75,29565.3333333333,156,30569,15994.25,7790.25,1797.33333333333,1539.5,40391.75,75747.5,7352.75,157.75,2965,241.75,3305.75,5415.5,17317,969.5,94297.5,99094.5,92644.5,185218.75,74461.25,274317.25,177463.5,130414.5,391.5,100.25,311.75
"GRAP2",3900,34020.75,7263.5,18682.75,0,425271.75,2931,4062.25,12243.5,5442,2781.5,22403.25,9096.75,133725,239649,183417.333333333,47172,174271.666666667,294169.25,15422.25,1298809.66666667,229599,908.75,1895.25,360176.5,476588.75,282261,409296.75,375875.5,369994.5,461593.75,340190.25,377577,497900,373308.5,540586.25,163687.5,437618.5,658920.75,633120.25,337118.25,431302,571601.75
"S100A7",1743,0,44921,341,7449,15494.75,2337.5,2054261.75,13051.75,55980.6666666667,10353.75,16430,3850.75,34606.3333333333,4828.25,0,8456.5,8392,3775.5,48948,880.333333333333,100102.75,0,3855.5,0,984,1158.75,8594.25,3188.25,14162.75,0,0,2016,18570,27960,1055.25,19291.25,51164.75,626.25,2657,28314.25,1992,0
"MTFR2",3412,593.25,36939,0,0,2487,1752.75,0,5878.25,35430,2435,1031.25,1126.75,0,0,3870.66666666667,0,5870,0,3479.5,20195.3333333333,0,8303.5,0,18859.5,0,15197.25,0,12714.5,0,8741.25,0,18389.25,0,10946.25,0,6028.5,0,9365.75,19503,0,0,0
"KLRK1",3969.25,0,2990.5,0,0,834.75,941,4410.25,0,0,0,0,0,0,0,31893.6666666667,15642.5,37195.6666666667,6938.25,0,3790.33333333333,0,9042.75,0,9763.75,1879.75,10040,0,28623,198,0,3807.5,11008.75,10279.25,15924.75,9384,20092,10209.75,13646,7614.5,0,2177.25,0
"TPPP3",0,0,8040.75,256.5,5172.25,5280.25,0,53774.25,19190.5,16836.6666666667,24993.75,236304,557829.25,8044.66666666667,12634,8988.33333333333,9414.25,0,3402.5,0,14700.3333333333,1079.25,0,5850.5,2894.75,0,1401,760,0,0,2297.5,0,8113.75,477.75,4723.75,807.5,0,863.25,1441.75,4367.5,7904.75,3914.75,2030.5
"SCRN1",168863.25,438170.25,143069.75,100604.75,21983.75,192879,110822,140629,382242.75,64312,80932.5,248320.75,271827.25,1116.66666666667,1267.75,106375,173115.25,29764.3333333333,119262.75,157315.75,1053.33333333333,28281.75,416552.75,970189,1763.75,1228.75,1571.5,2084.5,4940,23101.25,828.75,1526.25,2482.25,11118.25,13114,71199.25,1092.5,7043.25,13359.25,50075.75,590.5,815.75,436.25
"GCSAML",0,5543.25,0,881.75,0,251788,2918,0,2128.75,0,6728.5,9446.5,5664.75,4306.33333333333,0,0,2082.25,8979,10542.75,24512,0,0,0,0,781,0,0,0,0,0,15458.75,234.25,720,0,6418.75,3875.75,22048.5,5925.5,11133.5,0,0,0,0
"FAM129B",45.5,568,0,0,627.75,42485,2043.25,176538,138078.75,442787.666666667,331100.25,428717.25,215293.25,1336,13094.25,232334.333333333,1178.25,129047.333333333,1161.25,14710,119910.333333333,11028.5,1123.5,762.25,61495.75,16286,81321.75,36339,30512.5,7256,25967.75,4650.25,28887.25,16432.25,22239.25,20771.25,756.25,24487,23791.25,6226.75,6587.5,19141.5,8108.25
"PGLYRP2",1851.25,335.75,155,1033,4485.75,326287,174379.5,120483,315045.5,114642.666666667,9170.5,604155,286563.5,397360.666666667,144199.5,4890.33333333333,54383.5,5139.33333333333,27244.75,27479.25,52886,408557,141746.25,105400.75,55572.25,11305,80568,35960.5,54857.75,636533.75,1708.75,19738.75,329.25,72839.25,518,40306.25,2061.25,108796.25,149.75,41209.25,34752.75,109582.5,131379
"DSCC1",18072,0,35795.75,0,0,4157.5,0,6996.25,12326.5,2375,10589.75,2180.5,3491,0,640,26436.3333333333,1418,18866,1148.25,0,17298.6666666667,343.5,6630.75,1266.5,21397.25,0,28067.5,0,29382,0,27008.75,0,29600.75,686.25,17025.25,0,9399.25,1160.25,26142.25,206.75,788.25,0,0
"RGS18",0,6140.75,0,337.25,10640,59407.5,155312,5036.5,34053.25,7162,39987.75,64289.75,23639,0,2952,1494.66666666667,0,0,0,82565,1825.33333333333,0,756.5,5182.5,4016.5,11500.75,250.75,1571.75,1656.5,4627.75,1410.5,455.25,0,0,973.75,1570.75,1205.25,0,0,5621.5,98.5,630.5,0
"HOMER1",941.25,0,2151.75,212,0,0,24728.5,0,3583.25,10570.3333333333,0,18966.5,0,0,10557.5,5778.66666666667,681.25,5681,2236.75,61795.5,0,1606.75,0,10107.75,0,3722.5,28619.75,0,11789.25,0,13962,0,6248.75,3359.25,14555.5,2538.5,0,0,14381.75,11905.75,0,0,0
"METTL18",12845,0,0,0,0,0,0,4779.75,0,0,0,0,0,0,11642.25,0,0,0,1644.75,0,0,4214.5,0,7601.75,27821.25,9154,24691.25,3865.5,12308.5,13345.75,0,11541,0,2304,0,8531.25,0,2247.5,0,7702.25,8050.75,13237.25,4606
"PYHIN1",12354.25,10651.75,996,3112,7980.5,172.5,3100.5,419.25,446,0,786,6563.5,2707.75,67986.3333333333,291588.75,22725.3333333333,137616.75,109863.333333333,256483,7987.5,73416.6666666667,133274.25,797.75,250,38948.25,131348.25,45857,162158,64404,139381,12924.5,46047.5,17876.75,127586.25,97245.25,310183.75,157161.75,299858.75,2474.5,7631.75,99302.5,118109.75,100104.25
