"","Bmem.activated","Bmem.resting","Bnav.activated","Bnav.resting","Bplasma.resting","BSph.resting","ESph.resting","mDC.activated","mDC.resting","MOcl.activated","MOcl.resting","MOim.resting","MOnc.resting","mTregs.activated","mTregs.resting","NKbri.activated","NKbri.resting","NKdim.activated","NKdim.resting","NTph.resting","nTregs.activated","nTregs.resting","pDC.activated","pDC.resting","T4cm.activated","T4cm.resting","T4em.activated","T4em.resting","T4emra.activated","T4emra.resting","T4nav.activated","T4nav.resting","T8cm.activated","T8cm.resting","T8em.activated","T8em.resting","T8emra.activated","T8emra.resting","T8nav.activated","T8nav.resting","Th1.resting","Th17.resting","Th2.resting"
"NINJ2",20715.75,0,0,0,13142,0,2276.25,0,9384.75,0,0,0,3451.25,10565.3333333333,64609,0,0,13207,535.5,0,0,1012,0,0,0,25830.5,2438.5,18790.5,3650.25,4760.5,0,0,0,5008,0,0,0,0,0,0,14131.5,31627.25,47644.75
"FBP1",88534.5,50533.25,57411.5,31860,72649.25,511954.25,4175392.5,1201951.75,1508322.25,2182818.66666667,1827315,3974408.75,2990685.75,7024,9055.75,11462.3333333333,208275.25,734,376688,108093.5,47297,139487.25,439363.75,582450.25,3741,85923.5,3209.5,74503,6074.5,97477.75,12759.75,227391.25,1182.25,70329.75,1790,85768.5,39.25,100128.75,41074.25,330755,54784.5,35524.5,49530.75
"TMCO6",0,0,14273.5,0,0,396.75,1292.75,0,4026.25,0,0,0,0,0,0,0,0,0,156.5,3659,50053.6666666667,0,0,0,46455.25,36320.25,21091,14450.75,20904.5,0,2363.25,13549,38975,4301.5,11739,8176,9936.5,0,6899,7172.75,3537,6707.5,2773.5
"TIFAB",2450,3581.75,0,1989.25,0,0,2879,25229,64157.5,5246.33333333333,7346.75,11414,1496.25,0,392.75,24266.6666666667,0,13108.3333333333,0,0,0,0,30839.25,190034.75,0,0,0,0,3048,581.75,9549,0,10287.5,3447.75,36155.5,3928.75,3063.25,0,20626,0,0,2183.25,0
"ZWINT",19066,2898.5,40722.75,3076.25,113080.75,2214.5,2646,44764,11287.75,107412,0,25153.5,29108.25,0,0,40523,2547.75,20812.3333333333,1093.25,0,29436.3333333333,2056,0,0,27349,9973.5,49011,1015.25,196795.5,0,29881.75,1458.25,21946.25,606.25,22481.75,1059.25,24931,0,14120,294.25,2126.5,1508.25,0
"P4HA1",16013.75,2295,102141.75,4560.5,2847,223,32731.25,23041.5,60891.5,35344.6666666667,33629.25,74810.5,66304,158.666666666667,755,98209,740.75,45711.3333333333,2384.25,182717.25,171727.333333333,388.5,8037.25,27522.75,237738,296.25,199329.5,1320.5,131392.75,786.75,134707,314.5,208083,455.75,160432.5,771,59687.75,626.25,106625.25,465.75,390.25,1832.5,630.5
"C9orf16",30721.5,6491.5,36467,0,0,0,0,0,4702.25,0,0,0,0,0,0,0,0,0,0,32898,0,0,23114.75,0,0,11167,0,0,0,0,0,5442,38491.75,9339.75,21275.25,0,0,0,0,0,2956.25,5166.5,23126.75
"C1QC",3051.25,5359.5,0,3749.25,0,357855,365163,227557.25,374991.25,462581,30121.25,395653.5,317842.75,227698.333333333,192583,0,49378.75,0,11424.5,9181.5,63692,416592.25,287522.25,180572.5,103470.25,40403.75,221524.5,39458.5,223067.75,499420,35228.75,31939.75,147680.5,90374.75,94592.25,48286.5,56657.75,165981,39718.5,71574,90798.75,112986.5,117232
"GINS3",52929,653.5,105723.5,0,19577.5,2567,2003.5,24139.25,54913,3471,12546.25,13410.25,9112.5,0,4512.5,37246.3333333333,1824.25,39326.3333333333,1415.25,0,46477,720.5,146.75,3529.25,98966,0,188139.25,1986.75,96782.75,1368.75,86847.25,428,75035,142.25,50626.5,428,25091.75,1021.5,55564,0,703.5,153,778.25
"IFIT1",1012.25,4295,56.5,1357,0,6123,1068.75,677414,7478,426812,7378.5,100295,66245.5,545.333333333333,7953.5,1.66666666666667,57.25,9355.66666666667,2656,1339,1785.33333333333,4274.75,1742328.75,280.5,0,3112.75,310.75,1013.25,43896.5,179,414.5,2220.75,36.75,1452,164.25,1705.5,0,2820.5,13972.5,581,2941.75,3502.5,4040
