"","Bmem_A","Bmem_S","Bnav_A","Bnav_S","Bplasma_S","BSph_S","ESph_S","mDC_A","mDC_S","MOcl_A","MOcl_S","MOim_S","MOnc_S","mTregs_A","mTregs_S","NKbri_A","NKbri_S","NKdim_A","NKdim_S","NTph_S","nTregs_A","nTregs_S","pDC_A","pDC_S","T4cm_A","T4cm_S","T4em_A","T4em_S","T4emra_A","T4emra_S","T4nav_A","T4nav_S","T8cm_A","T8cm_S","T8em_A","T8em_S","T8emra_A","T8emra_S","T8nav_A","T8nav_S","Th1_S","Th17_S","Th2_S"
"A1BG",2267,58,469.25,410,664.25,96706,123060.25,62913,139329.5,137735,16251.5,123721,77606.5,112663.333333333,49579.75,83759,311351.5,72844.3333333333,198137,56136.75,17294.3333333333,122790,166325.25,42350.5,10015.25,14120,20764.5,15699.5,27225.75,552035.75,10972.5,13409.25,12636.5,21888.25,2921,13250.5,3679,74913.5,2333,9551.75,28278.75,41737.25,54802.5
"A2M",108488.25,40236,210815.75,22798.75,1340476.75,357588.5,448107,298703,634050,572858.333333333,213334,743948,462573.25,372948,181988.75,27423.3333333333,29519,13168.3333333333,32007.25,70669.5,127177.333333333,423428.25,557760.75,194744,123818.75,49835.5,185264.25,55357.5,146630.75,1276455.75,115227.25,67737.75,48509.5,132280.75,47307.25,74418.5,27239,344463.25,35264,54797,119334.75,204077.5,212137.25
"AAAS",64303,32940,88262.5,22557,6226.75,36620.75,15475.75,41186.25,80938.75,20989.6666666667,81175.5,114275.25,141440.5,5746.33333333333,76884,65584.3333333333,73340,87546.6666666667,51809,8276.25,97626.3333333333,31923,22723,88953.75,133087.5,63237.75,169050.5,64065.75,121718,23987.75,97897.75,54142,127979.25,68426,135659.5,65503.25,82090,74062.5,107029.25,63004,51314.25,63000,47963.25
"AACS",41541,1837,65341,1230.75,1455.5,2435.75,6295.5,7721,3721.5,4542.66666666667,22023.75,17020.5,3097.25,0,438.75,118350.333333333,17965.5,56850,3379.25,21090.75,25386.3333333333,2694,11404.5,41792,28114.5,2320.75,47950,1928.75,15742.5,745,9896.25,1019.75,38607,1466,16544.5,5304.75,7606.5,3327.75,14815,2446.5,3018,627.75,1643.25
"AAED1",1527.75,698.25,2487.75,223.75,0,0,0,11050,0,0,1451.75,0,0,0,0,0,1952.25,965.666666666667,529.25,0,0,909.25,1695,0,4593.5,0,3677.25,0,0,192,0,93.5,0,106.25,0,0,0,0,0,0,0,0,164.25
"AAGAB",12690.5,6634.25,20973,1771.5,403,3528.25,1243.25,5754.5,14909.75,317.333333333333,22783.75,50484.25,31586,1536,9227.5,15708,8811.5,10573.6666666667,8340.25,0,16668.3333333333,1962,8845.25,17033,31412.75,5382.75,22872.5,6705.5,15231.25,4486,22731.25,1826.25,24487.25,4380.5,20234.25,7950,6220,11726.75,16939,7245.75,4394.25,4469,8606.5
"AAK1",1511,206.25,5859,578.25,10508.75,47117,38187.25,36608.5,26372,56920.3333333333,39899,76344.5,44379.25,32453.6666666667,84425.5,53733.6666666667,51189.5,36253.6666666667,62812.5,73743.5,125509,74544.5,1614.25,4556.75,112006.75,122292.5,127964.5,109723.25,80013.75,69865.5,90004.75,112597,85764,89124,71552.75,100355.75,32891.5,75658,87429.5,98316,78491.75,120281,102846.75
"AAMDC",72606,37190.5,65984.5,28133,75691.75,167256,44067.5,58110.25,105538.5,117940.333333333,172126.5,159308.5,9094.75,17051.6666666667,11352.5,19066.6666666667,36245.75,24657.6666666667,24117.25,434120.25,78369.6666666667,36719.5,104391,140370.25,44798,19534.75,70038.75,20679.75,68719.75,55382.25,19822.5,42607.75,34556.5,60011.75,23814.75,24080.25,13032.75,15588.25,16661.25,14274.75,45121.5,26216,82810.5
"AAMP",62575.5,30147.5,107960.25,16943.25,30313,13557.25,5966,61796,59835.25,64468.3333333333,62227.5,156455.5,130699,4962,14210.75,36497.6666666667,28594.75,43057.6666666667,23533.75,265337.75,62361.3333333333,23204.5,66248.75,29544.25,88539.75,21520.25,115803.25,21981.75,103631,19083,44602.75,21191.25,74925.75,21209.5,62789.25,26159.75,48605,29681.25,49021.25,17566.25,17171.25,14719.5,38459.75
"AAR2",15139.75,5351,28619,1653,4199,4275.25,0,27081.5,26364,25592,23501.25,39282.75,27224.25,3533.66666666667,9078.25,21534.3333333333,11135.5,24285.6666666667,8308.5,0,26413.3333333333,8147,36142.5,18587.25,23008.75,10890,52492,8851.75,33125.5,6590.5,19168.75,7475,26424.75,8121.75,17856.75,7995.25,15537.75,6045.25,18037,9846.75,7084.25,10977.5,8455
"AARS",769240,148703.75,1029836,68525.25,336707,104989.5,76098.75,390157.75,361442,206944.333333333,247936,400369.75,195240,93342.6666666667,122529.5,341538.333333333,123658.75,308338,96555.75,134510.75,648179,156078,194529.25,250210,762413,182545.25,1090654.75,150430,730758.5,116084.75,482840.75,170823.75,720455.25,133830.5,452291,153651.5,268813,154421.75,437889.25,169104,111387.75,164151.75,170770.25
"AARS2",52276.25,26645.5,72346,17274.5,5336.75,7998.75,1468.75,26210,33410.75,10575,42257,43264.5,30976.5,903.333333333333,18659,32643.6666666667,25986.25,35261,9871.5,25843.5,32763,18541,19991,37755.5,34687,23473,50890.25,23196.5,38755.25,9781.5,36323.75,28511,45443.25,27484,43097,27792.75,24060.25,23442.25,35971,37992.75,16031,19535,16756.5
"AARSD1",82107.75,19639.75,101663.75,12554.75,21592.25,3623.5,1471.25,43128.75,45475.25,13384,11606.75,37599.5,15013.5,6546.66666666667,20205,30286,19448.25,16760.3333333333,12385.25,3369.5,86792.3333333333,16703,20654,45128.75,57972.25,22905.75,96802,23255.25,64030.75,16053.75,43038,19914.75,44025.25,17500.75,46238.5,19234.75,24355.75,13235.75,43847,24101.5,7767,20223,19541.25
"AASDHPPT",148467,62186.5,272979.75,28483.25,9190.75,51565,31982.5,103382.25,117186.75,95951.3333333333,81786.25,182514.25,75020.75,23790.3333333333,41759.25,123235.666666667,72505.75,90484,46693.25,239692.5,159142.333333333,48747.25,108825.5,171332.5,213045,66114.5,248237,72385.5,203262.5,39619.75,126708.25,48599.25,218370,65750,125251.5,66274.25,64199.5,70959,133283,64584,50883.5,57158.5,53799
"AASS",5112.5,7440,11834.25,7603.75,2614,1903.5,2453.25,721,1676.25,5960,573.5,10285.75,8779.25,2242,4773,6764.33333333333,5340.25,3537,3407.5,5346.5,1132.66666666667,7211.75,1904,10412,3570.25,8273.75,4077,7888,7592,6616.25,3955.75,10680.75,12294,11237.75,11599,4145,4249.25,13987.75,3695.5,3692,1873.5,3526,1472
"AATF",36990.25,27358,41997.75,19143.5,7408,755.5,1151,19612.5,21136.75,0,3765.5,3280.5,14827.75,7160.66666666667,30213.25,19314.3333333333,40717.5,16096.6666666667,11820,297762,54917,37040.75,13851.25,16663.5,92789,42406,127417.5,41504.75,89800.5,14066.5,49660,40518.75,85469.25,39674.75,56331.75,34918.25,43447,31813.75,60802,71812.25,8793,40834.75,55711.5
"ABAT",60470.5,52940.25,41210.75,28150.5,745,19212.5,10036.25,29366.75,12449.75,2895,3972.25,20710,21668.75,7049.66666666667,64403.25,1882.33333333333,39088.5,1986,43967.25,34525.5,18347.3333333333,10998,6878,4762.5,8899.25,31271,20173.75,45549.25,15368.5,13884,4782.25,10160.75,8672.5,31753,8353.25,55725.75,7369.25,27477,2986.75,9224.25,13832,50639.5,26262
"ABCA1",0,1631,346.75,1726.75,80.75,1523.75,707.5,258.25,318.75,762.333333333333,8197,12987.25,3350,636,0,1628,498.25,510.666666666667,275.25,4755.5,0,12,0,85,0,1927.5,668,272.25,380,324.25,1119,667,598.25,265,954.75,999.25,1147.5,419.5,2443,99.75,0,2294,1593.25
"ABCA13",3584.75,11438.5,4821.75,1873.75,7336.25,10467.75,1156,7416.75,11764,7141.66666666667,622,1993,5111,0,4564.5,8892.33333333333,4082.5,19643,15994.5,4007.75,19175.3333333333,5090,2825,13751,12103.25,2377,20433.5,1841,11503,2196.5,28084.25,2279,14309,1311.75,15642,733.25,3916,3435,13781.5,1402.75,1941.25,2521.5,1948.25
"ABCB1",1798.75,1051.5,1356.5,10093.75,457.25,294,1493.5,1845.25,1761,1793,407.5,2803.75,879,468.666666666667,589,4931.66666666667,82028,1073,28775.5,8793.5,1172.33333333333,672.5,2011.25,1188,1825.5,429.25,2997.75,4168,1614.5,1753,860.5,928.5,2481.75,13082.5,10394,42944.25,4352.75,13022.25,5206,4053.5,507,263,976.25
"ABCB10",27492.25,9513.25,27277.5,6724,6692.5,9737.25,8851,23067.25,25721.25,27549,53151.5,62131,65730.25,4643.66666666667,21604.75,24617.3333333333,29201,31838,9894,24911,27732,11245.75,17370,26881.5,34918.75,9818.5,38264.75,13882,32884,6010.25,19362,4722.5,47253.25,8422.5,35942.25,10516.5,18669.25,8189.75,30052,6985,8015.75,9683,6962
"ABCB6",3076.25,1271.25,2612.5,420.25,3012,0,205.25,0,1508.75,2762,979.25,0,2215.25,789.333333333333,2188.5,1052.66666666667,2244.5,3718.33333333333,1837.75,21606.75,0,2947,1590.25,2673,4885.25,2059,5609.25,567,1532.25,2152,2044,905,2292,529.25,1191.5,0,729,1640,3118.75,1016.75,0,0,466
"ABCB7",71062,32786.5,68297.75,30169.75,5475,16999.5,7703.75,30164.75,56013.5,41147.6666666667,78645.5,106205.75,122297.5,10880.6666666667,39768.75,49323,46631.25,49810.3333333333,31175.25,46176.25,69888,32839.5,27087.5,55762.5,70597.75,46042.25,73221.75,41167.5,71244.25,28889.25,58436.25,42776,76194.75,45930,61931.5,39571.25,37634.75,47246.5,62604.75,44615.5,24606.25,38178.25,34243.75
"ABCB8",14726.25,3683,8721.5,2441.75,14714.75,3069.25,4356.5,5672.25,10639.25,4601,18652.75,18498.5,23887.5,4640,7708.5,3926.33333333333,5128.25,3483,6088.25,13584.25,9361.33333333333,3598.75,8578.5,18701.25,11485,4267.5,13494,6837.5,10968,8523.5,9792.75,4597.5,14072,7550,10474,7767,7869.75,6775.75,9321.5,7056.75,4671,5788.75,4779.25
"ABCC1",6526.25,4002.75,7453.5,1625,2075.25,140820.75,14713.25,18690,9704.75,16039.3333333333,18702.5,24065.5,34550,286.666666666667,15370.5,6241,12155,14739.3333333333,4270.5,17056.5,22541,6556,5251.75,12733.5,35530,11041.75,35097,9887.25,29155.5,2556.75,26363.25,8464.25,33974,8757.25,31007.25,6668.75,16820.75,5106.25,25803.5,9117.5,7824.25,11014.25,8922.25
"ABCC3",357.25,101.75,718.5,50.75,2762.75,258.25,66.5,515.25,838,1296,340.75,1854.5,5568,0,229,0,33.5,0,489,912.5,244,137.75,560.75,352.75,0,252.5,2281.25,131,534,254.75,85.5,327.5,0,35,0,164.25,0,194.5,3136.25,131.75,285.75,295.75,352.25
"ABCC4",2487.75,1341.25,1997.75,83.75,599.25,1106.75,0,5077,6119.25,0,3219,1836.75,10366.25,0,2259.25,1883.66666666667,3418.75,3128.33333333333,360.5,1564.75,290.333333333333,2858.5,867.5,1968.5,5206,4012.5,6862.5,814.25,2607.25,5206.75,2441.25,1794,5012,1661.5,5092.75,1692,596,1587.5,2333.5,1930.25,1035.25,511.5,4501
"ABCC5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963.75,0,4659.5,0,4242,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD1",3031.5,6128.25,4403.75,6594.25,4320.75,13874.25,16668.5,17729.5,30893,41432,51593,39149,120426.25,0,3443.75,11715.3333333333,3935,3587.33333333333,5181.25,14599.25,1366,2740.75,22802.75,58290.75,10097.75,6084.25,5305.75,3319.75,12295.25,1350.75,2121.25,3762,3640,3985,11261.75,4643,170.25,2063,3613.5,4385.5,2619.25,7208,2729.75
"ABCD2",4103.5,7671.75,9073.25,477.5,44263.5,1321.75,3533.5,4756.75,3034.25,8374.33333333333,5244.5,6981.75,4902.75,3049.33333333333,4357.25,1170.33333333333,4215.25,4545.33333333333,2672.25,8068.75,8548,4116.75,4090,1971.25,2433.5,7071.5,4040.75,6831,1174.5,2037,5916.25,4724.5,4872.5,9810.75,2963.25,6228.75,0,4227,1248,9699,3000.25,4885.5,5495
"ABCD3",59612,18841.5,69244.5,12931.5,3034.25,25522.75,16043.25,46589.25,71867.75,99634.6666666667,127133.75,170783,221508.25,8386.66666666667,33179.75,85926.6666666667,31107,79023.6666666667,31334.75,78818.75,53583.3333333333,11397.25,34895.25,63897.25,65512,35132,79653,37370.25,66717.75,19210.5,73787.5,29422.5,86885.25,34998,84694,33469.75,53619.25,46706.5,76763,35503,24925,31764,27908.5
"ABCE1",714440,180397,1053472.75,131855.25,180563.25,47256.25,11418,409091.75,483225.75,220760.666666667,261669,429351,286944.25,87681,205736.5,315081.333333333,251932.25,326819.333333333,149298.5,53689.75,745075.666666667,215667,451736.5,510307.5,922852,261237.5,1224596.5,251446.25,877571.75,157481.25,525889,237132,785947,207444,582070.5,226522.75,337905,205490.5,628626,315263,163815,222654.75,196017.5
"ABCF1",309008.25,105287.75,382994.5,96302.75,123998,78158.5,64070.75,183310.5,210970.5,169810,181745,312913.75,220147.75,75648.6666666667,152156.25,191869.333333333,170027,219618.333333333,138143,183248,445000.666666667,139842.5,139562.25,151740.75,455403.75,190044,591074.75,156005.25,542038.75,119687.5,253481.25,198409.5,354713,150375,315337.25,181499.75,224314.25,213739.5,307133.25,195031.75,137353,156116.75,140323.25
"ABCF2",269940.75,47083.75,338360.5,24996.5,35936,5103.25,8876.25,187778,152207.25,86611,114865.75,181554,83238.5,15129.6666666667,70209.25,139050,77273.5,192534.666666667,50842.25,103366.75,363638,50915.75,118178,124659.5,432222,73115,558498.25,82730.25,501909.25,39501,242314.75,58207.25,320438.5,83213,317982.5,93249.5,194887,85750.25,270993.25,70063.25,67721.5,86853.75,64016
"ABCF3",89735.5,25075.5,115034,13179.75,13478.5,17700.25,10266.5,49355.25,57726.25,35926.3333333333,60144.25,120581.5,63740.5,21833.6666666667,41546.75,45212.6666666667,45852.5,46333.3333333333,34984.75,158507.5,75729.6666666667,37994.25,41040.25,58680.75,86419.5,55365.25,110111,49995.5,83148.75,29659.5,52907.75,36353.25,77547.25,49307.5,70571,55256,42396.25,55675.5,64463.75,51383.75,33493.75,49776.75,48261
"ABHD10",717398,674355,854330,369814.25,64006.25,238636.75,261248.25,673270,591713,506240,575301.5,1091151.25,919253.75,128103.333333333,342726.75,272589.333333333,335874.25,347698.333333333,245224.75,57912.25,566121.666666667,329839.25,648928.25,892766.75,500435.25,484056.75,728979,426581,499643.25,249890.5,418668.5,367609,555601,421497.25,397897.5,441602,205271.25,408040,462320.5,552399.25,249835.5,381337.5,352753
"ABHD11",40272.25,36092,84587.25,14046.5,18962.75,21678.75,9687,69031,65543,93058,89941,250982.75,263445.5,17955.3333333333,49097.5,23304,43334.25,44655.6666666667,32604.75,0,82951.3333333333,27468.75,42184,47614.75,63953.5,69687.5,105281.25,89349.5,81592.25,16497.25,59564.25,32525.75,64158.75,52631,41977.5,41241.75,31924.25,41194,47411.75,32388.5,19829.5,84321.25,78468
"ABHD12",13301.5,6388,12620.25,7558,0,24055.25,10876,73933.25,114872.75,47094.3333333333,93185.25,101539.25,150096.5,3004,33083.5,47555.6666666667,81057.25,42208.3333333333,41791.25,74242.25,7451.66666666667,24463.25,51056.75,123669,11343.75,28083,23369,27241.5,20717,19420.5,20515.5,20034.25,23253.5,20590.25,22832.75,24759.75,16145,33252.5,18693.75,20740.5,25391.5,27329.75,21395.5
"ABHD13",0,1804.5,4873.75,1846,0,0,4944,834.25,1788.5,0,8008.5,19208.25,12827.5,0,2131,0,3082.25,0,1315,9759,1356.33333333333,3875,495.25,3756.5,494,4662,636.25,4595.75,2133,814.5,0,2742.75,0,2670,0,1786.25,0,4284.5,789.5,1281,1007.5,4363.75,2598
"ABHD14B",1157438,885340.75,1032497,269122,67108.75,868416.5,514716.75,952565.25,760328.25,893315.333333333,557332.75,1355189,774168.75,246191,545062.25,313465.333333333,504015.75,220481,472838,319249,866747,629554.75,792309.25,1259724.75,788156.5,1120847.75,1067327.25,952418,623879.5,627603.25,618298.25,773488.5,709632.75,989481,496177,787432.5,254740.75,617714.5,451883,934198,456271.5,745527.5,1128888.5
"ABHD16A",43208.75,18126.75,46003.75,15351.25,7856.5,35734,36343,52467.5,82243,52038.6666666667,68807,96524,170014,6984.66666666667,38576.25,53954.6666666667,48686.5,41838.6666666667,24852.75,88341.25,43280.6666666667,17868.75,47504.5,75274.25,42660.75,30570.5,59484.75,31520,44088.5,16117.25,31892.75,24615,58714.5,32186.5,38327.75,32894.5,26898.5,34717,45410,26660,20736,28615.5,30442.5
"ABHD17A",3653.5,1184.5,5486.5,1357.5,38170.5,2613.5,2416.5,2952,3050.75,0,10010.25,9225.5,12058.5,0,5612.25,5208.33333333333,30122.5,5780.66666666667,71496.75,6032,2588.66666666667,6520.5,0,4291.75,1244.25,4120.75,0,8984,630.25,13460.5,1427.25,5232.75,0,11986.75,3372.75,24615.25,582,38313.25,3272.75,8153.75,6490.5,6014.75,6348.75
"ABHD17B",3626,10416.75,7450,12387,0,273268.5,79434,10487,23075.75,9249,37372.25,21512.25,18799.5,0,2103.5,22987.6666666667,26940.5,32663.6666666667,23991,59741.25,10148.3333333333,1912.25,12342.5,33329.75,7806.5,3163,2416,2977.5,3532.5,5945.25,4054,2728.5,3075,4035,6130.25,6016,7837.5,12372,8507.5,5418,2408,2503.25,2120.25
"ABHD3",0,0,0,0,0,2109.75,0,0,0,0,0,0,2094,0,0,0,10636.5,788.666666666667,0,0,8459.66666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0
"ABHD5",0,133.75,0,0,0,34640,0,0,91.5,0,1386.25,4147.75,3981,0,289,2505.66666666667,0,390.666666666667,74,16645.25,0,106.75,0,191,0,0,0,131,0,0,0,0,0,27.5,0,77.25,0,0,0,0,123,43.75,0
"ABHD6",36470.75,4550.5,32520.5,3963.75,4758.25,2644.25,3311.5,9579.5,13062.5,1226,7038,36777.75,249224.75,0,775.5,4079.66666666667,1828,2392.33333333333,2974.25,26306.25,5400,1646,54632.75,153102,0,710.75,802.75,3613.75,998,390.25,2045,823.25,4994.75,2073.25,2985.25,2558.75,1391.5,2983.5,3259.25,541,816.5,1194.5,416
"ABI1",237113.75,120751.25,309360.5,77173,43737.75,156944.75,244516,143648,97415.75,256777,277359.75,228301.75,76060,52341.6666666667,89603.75,41193.3333333333,106153,35807.3333333333,30251.5,1834708.75,130335,100177.25,283459.25,350421.25,111252,104728.75,165026.5,91058.75,88886.5,80202.25,74022.5,100223.75,71092.25,49561.25,44148.75,56596.75,35838,50000,34266.5,44665,77048.25,105256.25,113287.5
"ABI2",0,1160.75,776.25,591.75,0,280,0,816.5,477.75,0,0,709.25,0,0,754,1071.33333333333,2592.5,1581.33333333333,160,0,3838.33333333333,293.5,4659,15051.5,1278.5,194,0,0,381,0,1192.25,132.5,2808.5,307,0,0,0,182,1185.75,292,0,473.5,349.25
"ABI3",170059,144842,162441.5,65091.5,7647.75,2992.25,5297.75,254443.25,455825.25,2546,49182.75,511852.5,576692.75,2274,46265,265304,103808.25,249606.333333333,323532.5,678691.25,129837.666666667,32785.25,4458.5,14517,147034.75,80678.75,141666.5,110809.75,146227.75,126514.25,208552.75,90839.5,145498.5,133180.75,161490,266225,137013.5,261651.75,201856.25,142313,60060.25,56318.75,93315.5
"ABL1",4060.75,1030.5,6651.75,1581.75,926.25,4376.75,2727.75,6143.75,5338.75,4851.66666666667,5062.75,6107.5,3727.25,0,2529,2002.33333333333,2571.5,2581.66666666667,2010.25,41034.25,2801.33333333333,2659.5,3710.75,2702.5,3022.25,2831.25,4814.75,2503.75,2196.5,1629.25,2257.75,1950.75,1734,2202,1630,3249,2075.75,3483.25,2384.75,1779.5,2012,2554.25,3390.5
"ABLIM1",19586,43318.75,23122.5,23507.25,2970.75,6151.5,2875,542,2174.75,5058.66666666667,2669.5,8301,1959.5,1632.66666666667,32564.25,4783.33333333333,61709.75,3059.33333333333,11162.5,7588.75,66210,53405,5245.25,2948.25,22417.5,73914.75,5526.25,27269.75,16816.5,17420.25,45791.75,178308,15787.75,37055.75,2323.75,22829.75,2635.5,11054.75,50827.75,184201.25,38809,69125.25,73021
"ABLIM3",173.5,678,0,157.25,223.75,3813.5,1808.25,107.5,380,0,1196.25,415.25,0,116.666666666667,218.75,0,973.5,560.666666666667,0,2108.25,0,571,0,710.75,1188,460,1831.75,0,1190.25,316,682.25,5198.5,561.25,4197.5,678,0,490,241,0,446,142,547.5,0
"ABR",23534.5,10077,32197.5,9472.5,3597.25,36471,30581.25,82116.75,118020,70043.3333333333,78739,186808.25,127112,4374,30139.5,37469.6666666667,25593.5,20942,30935.25,147128.25,44974,21557,15113.25,33739.75,26790.25,39687,32554.25,52304.25,26112.25,26942,26533.25,25494.75,26053.75,27099,23490.25,41544.25,9980,53603.5,14275.25,16881.5,23153.25,42092.25,30191.75
"ABRACL",2769244.25,1166165.25,3897528.5,1378914,562519.25,3142499.75,1994307.5,1414884,2805120,6197885.66666667,1822899.5,6467287.75,5151647,1211455.66666667,1778573,1867514,1711543,1757269.66666667,2213326.25,938976,3288710,2892095,2362232,3028171.75,3987942.25,3078417.5,6194159.5,2985387,4988397.25,3600461.5,3043460.5,1900607.75,3605077.75,2090439,1817435.75,2514091,707340.75,2653938.75,2696961.5,3286222.25,1747076,2799729,5041436
"ABT1",39064.5,16274.5,60344.75,15823,858.5,6479.5,2125.75,20674.25,4894.75,9473.33333333333,114842,11237.5,17469.5,3872,29604.5,11349.3333333333,28613.5,18455,9491.75,108107.5,78420.6666666667,38279.25,18060,13214.25,66991.5,23825,52933,19473.25,78168.5,18939,38799.5,32216.75,87142.5,30931,48142.5,35235.25,30420.5,25307.75,54941.5,26335.25,19273.25,22910.75,26371.75
"ABTB2",544.25,95.5,1903.5,0,256,3144.25,301.25,181633.75,206.25,2148,671.75,363,222.5,90,132.75,0,254.75,85.3333333333333,332.75,9560.25,108.333333333333,20.75,5662,27.25,851.25,559.5,814,337,511.75,26.5,39.5,204,1784,202.25,168,991.5,519.5,2010.25,79,100,21,28482.75,785.5
"ACAA1",274950.25,161469.75,346790,67089.75,16743,220749.5,223101.5,660739.75,944955.75,458516,500401.25,901352.75,1175976.5,72418,148650,193021.333333333,148870.5,224354.333333333,100574.75,78694,213236.666666667,85991.5,304221.5,397529.5,250097.25,145992.25,337988.25,131233.5,257975.75,68287.5,202367.5,80379.25,206647.5,118228.5,219091.5,131989.75,109747,135846,202174,119789.75,77417.25,147134.25,129393.75
"ACAA2",1251115.25,892419,1252630.25,434271.5,272220.5,637702.75,798608,1425879.75,1550834.5,1776731.33333333,1764670.75,3324761.5,2895655.25,481502.333333333,917115.5,1345251,2463284.25,1573665.33333333,2082083.25,313427.5,2341892.33333333,763216.5,828193,1176657.5,1313978.25,800897,2129229.5,1378218,1334203.25,1376760.25,1492245.75,631422.75,1352660,1301709.5,1447256.5,2814124.5,1180910.25,2644719.5,1432564.5,1168898.75,624409,875578.25,710595
"ACACA",23268.75,6179,47780.5,243.25,993,5304.25,481,6881.25,13669,684.333333333333,3322.75,8283.25,2429.25,759.666666666667,2888.5,25711,5518.25,16042,854,2709.5,19094.3333333333,1225.5,2622.25,9318.25,46240.5,1672.5,66799.5,1363.75,33379,2547,15087,652.25,40402.5,1271.75,32765,981.75,8799.25,1071,20806,1708.5,953.25,887.25,494.5
"ACAD10",7707.25,2030.5,7537.25,1904,0,370.5,1973.75,4946.25,6884,1649.66666666667,14379.5,17440.5,9890,488.666666666667,2870.25,1530,1908.75,1268.66666666667,1109,2336.5,5950.33333333333,1863,1813.5,8950.25,5229.75,5854.75,3912.5,3790.5,5844.25,1638,4059.75,2208.75,6081.5,3416,2981.75,2319.25,667.25,2003,2073.5,3858.25,4027.75,3294.75,2548.25
"ACAD8",122167.25,102010.75,139494.5,73104.25,4141.5,114951.25,69875.75,50541,44344.5,19199.3333333333,114431.75,134773.25,240283.25,21843,79908,35909,152668.5,29642.6666666667,81356.25,325950.75,39146.6666666667,70797.75,82389.5,129664,25975.75,117160.75,33472,123767.75,11378,72559,38298.25,101218.5,45129.5,135529.25,56726.5,158091.25,42930,133283,53816.5,177677.25,74638.25,93279.75,122032.5
"ACAD9",242437.5,105654.75,302033.25,92662.75,48354.75,90475.5,46818.75,169116.25,280906.75,325443,464445,595132.25,513756.25,43510.6666666667,116530.75,135406,111463.25,176844.333333333,80724.5,392478.25,219290,81566.75,104346.5,192653,230960,134259.5,330892.25,109294.75,218031,73014,176143,125145.25,198329.75,103679,181041.25,124633,151303.5,102098.5,131135.5,94277,91481,134078.5,126521.5
"ACADM",1172877.75,700502.5,1338971.75,249402.25,346423.75,273236.5,293011.5,570601,629552.75,662308,856529.75,1340863.5,999321.25,184397.666666667,266296.25,276049.333333333,319058.75,419588.666666667,249723,981289,504336.333333333,205424.5,516472,753941.25,478434.5,303653.25,591276.25,341836,450158,237995,384954.75,267687.75,440103.25,309826,480951.75,399312,286029.75,396466.25,400373.75,339250,266466,291782.5,421742.75
"ACADS",166568.75,154686.75,202584,60855.25,5635,150733.75,81306.25,186229.5,218749.5,326973,600452.25,878623,739128.75,99329.6666666667,282696.5,135228.666666667,425888,122382,353040.25,803351.25,203469,291005.25,234611.75,328550,193647.5,329650.25,214149.75,345758.5,160678.25,200982.25,249265,292271,188101.5,335327.25,160311.25,331965.75,90742.5,281737.25,202985.75,462609.5,194915.5,338464,418851.75
"ACADSB",139400.25,114233,134756.75,59938,7506.5,24806,43790.5,77134,68921,71556.6666666667,113722.5,164183.5,144538.5,44536.3333333333,132516.5,129994.666666667,156194.75,154056.333333333,141756,57695.5,163767.666666667,120552.25,76606,117929.5,151480.5,186452,190010.5,181138.75,120828.25,85085.25,177846.75,180249.25,172875.75,173063.75,136966.75,178050.25,82661,155219.25,142413.25,204862.75,135889.5,179733.5,233709
"ACADVL",848875,381748.25,1184373.25,210638.5,240678,541650.25,487264,1041592.75,1305259.5,1562402,2311670,3222648.25,2391761,299416.333333333,523800,771162.333333333,670992.75,810571.666666667,538583.5,2356023.5,1639922.66666667,460671,730495.25,1504892,1272545.5,513258.25,1607106.75,589177.75,994170.25,325399.5,1324833.25,425573.75,1424952,596243.5,984687.5,682280.75,703990.5,575546.75,1082212,541017.75,385825,500995.75,507732
"ACAP1",288305.25,122371,305200,74343.25,18238,227322.25,286655.25,132067.25,165638.5,72896,84562.75,154888.75,56219,89079.3333333333,238634.25,322644.333333333,271280.25,252265.333333333,168352.25,537159.75,436970.333333333,190194,127613.5,199327.75,465760.25,378966.75,522632.75,352491.25,379479.5,175711.75,287979.75,232309.25,359393.5,289213.25,274448,314472.75,137427.25,281064.25,282512,298271.25,208684.25,324415.75,294319
"ACAP2",69012.25,73395.25,92403.5,46586.75,10797.25,136845.5,97863.25,81809,149004.25,140455,182913.25,394605.25,255414,12214.6666666667,64781.25,63735.6666666667,74849,37527.3333333333,70512.75,306388,75001.6666666667,55851.25,60550.75,130492,59377.25,87575.75,78508,91528,53975,73955,48202,61389.25,60941.5,66608.75,45302.5,75918.25,20293.5,98580,57952.75,67775.5,53624.5,76435.25,66251.25
"ACAT1",1283071,1112041.5,1232814.5,491173.5,519189.75,191903.25,234469.75,1046828.25,1265362.25,1681354.33333333,2284700,2982621.75,2272272.25,450370.333333333,915878.75,443685.333333333,530342,913361.666666667,371278.75,2116266.5,1555893.33333333,640753.75,485785.25,880654.75,1742731.25,1211387.25,2350308.25,1603999.5,1419993,720884.5,1040971.25,710491.5,1660608.5,1277596.5,1412206,1443869,784672,1097018,964871.25,1190697,707386.75,1181447.5,1383493.25
