"","Bmem_A","Bmem_S","Bnav_A","Bnav_S","Bplasma_S","BSph_S","ESph_S","mDC_A","mDC_S","MOcl_A","MOcl_S","MOim_S","MOnc_S","mTregs_A","mTregs_S","NKbri_A","NKbri_S","NKdim_A","NKdim_S","NTph_S","nTregs_A","nTregs_S","pDC_A","pDC_S","T4cm_A","T4cm_S","T4em_A","T4em_S","T4emra_A","T4emra_S","T4nav_A","T4nav_S","T8cm_A","T8cm_S","T8em_A","T8em_S","T8emra_A","T8emra_S","T8nav_A","T8nav_S","Th1_S","Th17_S","Th2_S"
"YKT6",284877,70841.75,380066,34551.75,160350.75,181279.5,120967.5,297392.75,250204,299306,215870.25,482234.5,383166.75,13429,104917.5,128223.333333333,139210,117976.666666667,91774,822836.75,234758,72973.25,194620,253262.75,248065.75,86161.5,264340.25,83811.75,225505.5,77984.25,88220.25,58160,185955.5,81984.5,130786.25,98119.25,62327.25,139683.5,124230,69148,92924.5,79825.5,75213.75
"YLPM1",40006.25,35396,64338.5,26542.5,19246.75,29028.25,25366.75,35669.5,59677.5,17985.3333333333,38279.75,84564.25,64500,8937,30997.75,29568.3333333333,41670,32600,25381.25,54255.75,46234.3333333333,27814.25,40228.5,78177.75,42003.25,31226.75,56841,25950.25,41107.5,19329.25,39887,33836.25,39693.75,27747.5,38948,30365.25,30115,27043,33795.25,33364.75,22227,25875.25,29519
"YME1L1",23505.75,5749.25,34294.5,4412.75,12549.5,2794.25,7021.5,32856,24326,14455.3333333333,31274,75235.5,65480,1232.33333333333,14805.25,39988.3333333333,19238.25,71107,12895.75,63524.25,55805.3333333333,7654.5,14776.25,23648,76037.5,13164.25,87740.5,18092.25,78893,4780.25,52383.75,10330.5,56778,12688.5,55213,15756.5,35867.75,14686,55282,11551.5,7355.25,15622.25,11592.25
"YPEL5",40585.25,29242.75,56142,22041.25,0,34767.75,31581.75,48692.5,44434.75,71530,77877.75,91847.5,83233,0,27448,47553.6666666667,24037.75,39393.3333333333,18025.5,432104.25,44588,6025.5,34166.5,35828.25,41952,24252.25,50422.75,26912.25,42378.25,16953,54395,7737.25,52400.5,23638.25,37937.5,40242.75,18509.75,59540,37515,30639,21470,26073.25,33576.75
"YRDC",24323.25,2257.75,40021.75,3223.5,0,4001,0,34464.25,6968.5,23660.3333333333,37512.25,11782.25,9193.25,10487.3333333333,4333.5,20083,10560,51870.3333333333,5783.5,19489.25,38965.3333333333,2854,20287.75,17097.75,47662.25,12378.5,159851.5,4944.75,121635.75,3058,15760.5,4788,46590.75,7029.75,49213,10631,53468.25,8057.25,47545.25,6720.5,1370.75,6254,7013.75
"YTHDC1",63116.25,33184.5,81755,19532.5,41052,8349.5,17325,55032.75,28850.75,20555,7372.75,32247.25,29834,17964.3333333333,26847.75,20370.3333333333,23219,17210.3333333333,19133.75,283448.5,49975.3333333333,20857,30564.5,43785,52371.25,23640.5,53521.25,22668.5,29762.25,16613.5,31109.5,25809.75,50643.25,21282.25,32451.25,17700,20394.75,16200.5,28340.75,27117.75,16975.75,22394.75,37576.5
"YTHDC2",17943.25,5529.25,32330.5,6040,2239,1239.5,2325.75,5646.25,14212.5,6249.33333333333,11032.25,28006.75,31073.5,280.666666666667,10818.5,13727,7242.5,9414.33333333333,3793.75,21970.5,20561.6666666667,5285.75,4168.25,16142.5,30108.5,10655,25764.5,9082,16169.5,2263.75,15895.25,6527.25,20544.25,8634,14032.75,8586.25,7590.75,8844.75,18934.75,5888.75,6565.75,9953.25,9111
"YTHDF1",18702.5,11617.75,25493.25,7485.75,11794,3777.5,8334,19952.5,18643.75,20092,15091,43796.5,18338.25,5506.66666666667,10415.25,11484,12449,8302.33333333333,7475.25,11645,30952.3333333333,8832.25,17379.25,16827.75,22903.25,10034.5,30947,8732.5,23127.25,12770.25,14355,5644.25,18324,6548.25,10209.5,6984,6165.25,8032,15970.5,8095.75,6599.5,10229,9848
"YTHDF2",114996.25,59156,170062.75,36659,97354.75,47968.25,29045.75,106938,119056.25,76100.3333333333,96681.25,119127.25,84458.25,16210.6666666667,34982.5,83171.3333333333,49948.25,81714.3333333333,37311.5,328746,167967.666666667,39622.25,115878.75,111030.5,154387.5,46823,225444,42533.75,173232,41615.75,106262.75,40887.25,155323.75,37849.25,109800,48706.25,84431.75,51204.75,113686.5,41463,38406.25,39014.5,48329.25
"YTHDF3",21233.5,9582,40639.25,7607.25,21179.75,16722.75,6445.75,42829.5,29201,45035.3333333333,56368.75,51273.75,46715.5,6074.33333333333,5986.5,27497.3333333333,14366.75,20748.6666666667,10371,118689.75,21228.6666666667,6457.25,27811.25,23262.25,30056,8889.25,37418.75,9097.25,21619,4815.75,26068,6292.25,30433.75,6621.5,20253.5,11418.25,13087.5,12361,20689.5,8316.5,6914.5,6736.75,7689.5
"YWHAB",3201059.75,4680435,3937457.25,3643902.25,2046640.5,6213108,4785829.25,3596410.75,8546953.75,9056320,8527023.25,15792118.25,7750019,2739304,4831329.75,2584955.33333333,4518780.25,2907741.33333333,5014908.25,31464956.75,3683189.33333333,5824225,3045565.5,5834997.5,3131766.75,5349036.75,5390377.5,4909527,4759573.25,6005269.25,2745161.75,4973752.75,3116099.75,3779164.5,3179666.5,5754833.5,2653131,5516334.25,2558882.75,4999771.5,3643743,4358593.75,8539181.5
"YWHAE",6060433.5,2302553.75,8324998,958653.5,2315479.25,5438328.5,1919442.25,8053938.5,9292867.5,7288212,6021922.75,11768406.5,5765023.5,1383557.66666667,2017910.25,2899206.66666667,2120587,2618927,1150078.25,7222739.25,5027233.33333333,1821638.5,4156117.25,6219812.25,5247256.25,1438370.25,7909330.75,1504234,6065485.25,1481879.25,3319302.25,957906.75,4155554.25,1139883.25,3142172,1193970.25,1937949.75,1085403,2679160.75,997523.5,1090767,1376030.25,2480272.25
"YWHAG",2133837,2259705,1884811.5,874882.75,1644769.5,1456979,988768,2550017,2219748.25,5274431.33333333,3964382,3710668,2615016,1277106.33333333,493386,759279.333333333,592958.75,797883.333333333,471716,5771323.75,2437496.66666667,539049.75,2885362,2389613.25,1929936.75,831439.5,2815251,545183,1865466.75,461074,1031624.5,482841.25,2195357.25,607192.25,844707.75,781475.25,501264,702887,895455.5,734292.25,870187.75,568217.75,837379.75
"YWHAH",1349244.25,562011.5,2096900.75,194908.75,515274.5,1192469.75,1073537.25,2227970.5,3145260.75,2288872.33333333,2715716.25,3921902.5,2036610.5,522865.666666667,797392.5,1390938.33333333,692444,1262793.66666667,342445.75,10578096,2078028.33333333,389257.25,655693.75,998831,1959187,591224.25,2517384.75,684701.25,1905797.25,473984.5,1271860.5,208529.25,1602146,478470.5,1269309,708595.5,766561.75,561628.25,1129710.75,230464.25,298861.5,701608,708806.75
"YWHAQ",1960779.5,1552043.75,2767348.75,1069138.5,984408.75,3060938.25,1336008,3351605.5,4243394.25,3028152.66666667,2813150,5126195,2889342.25,774005.666666667,1775309.25,2124600,2917589.5,1689191.66666667,2574585.5,4548798.5,2813890.66666667,1197699.5,1458441.75,2670130.75,3329730.5,1850153,5813973.75,2450934.75,4134102.5,2751503.5,2149309.5,960744.25,3570544,1749539,3491642,3798512.5,2161462.5,3394193.75,1964200.25,1428378.5,1077197,1755541.75,2550536.5
"YWHAZ",14518408,16884328.25,15217931.25,10509496.75,8757167.25,14417933.75,12403330.5,12249567.75,17464106.5,19911562,18814902,31669027,19663974.25,11052844,13150020.5,9622131.66666667,13006636.75,10002372.6666667,16023652.75,50238467,12641125,14584239.5,13731445.25,17522737.5,11121737.75,16288661.75,15576135.75,15267938.5,13605150.25,17236044,9854424,12148979.75,10022949.75,12974948.75,9291282.25,18622783.25,6832536.25,17314256.75,8930575,12836921.5,10291833.25,14544201.5,21497593.25
"YY1",226985.5,115451.25,205325,77302.75,40983.25,47756.5,72251.75,153505,126760.75,121227.666666667,104872,114968.25,134932.5,34220.3333333333,86215.25,124281.666666667,91725.25,87739.6666666667,62360.5,30012.75,153391.333333333,69809.75,93289.25,73650.5,158706,123506.25,170458.75,115083,120369.75,52342.25,107107.25,120799.5,125253.75,81208.75,112271.5,107049.25,77881.75,82003,136948.5,103559.75,95923.5,107886.75,90889
"YY2",5949.25,4198,8234,3744.25,587,2930,2694.25,4036.75,7944,3522,6853,9793,8827.25,858.666666666667,3893,4662.66666666667,6649.5,2418.66666666667,4118.75,2511.75,7020.33333333333,3474.75,2121.75,6580.25,4469.75,5463.75,5376.25,5884.5,4587.25,3323.5,4053.25,4746.25,4437.5,5256.5,5343,4962.75,4736.5,5149.25,5521.25,6038.25,4594,4077.5,4586.75
"ZADH2",9454.5,10613.25,12562.75,6042.25,0,16167,12284.5,14641,15991,16925.3333333333,34050.5,54357.25,36868,3689.33333333333,19169.5,13666.3333333333,43967.5,16348.6666666667,21021,123211,14194.3333333333,10921.25,5325.75,20981,12564.75,25551,15123.25,23836.75,10426.25,10859.75,14025.75,26010.5,18394.75,36114.25,25516.25,34311.25,18046,24963.75,16182.5,19557.25,16748,23000.75,23729.5
"ZAK",7832.5,2504.75,11148.25,840.25,0,6416.25,1200.25,31255,57299.5,39165.3333333333,26075,20733.25,17275.25,0,1279.5,10355,1420.25,14102,277.5,74707.75,2518,4461.25,866.75,1209.25,9817.5,0,9941.5,2693,9592.25,0,9910.25,0,1740.25,0,4832.75,2826,3430.25,3530,2986.75,395.5,1028,891,6404.75
"ZAP70",48227.25,30742.25,52325,12380.75,13372.5,6721,17017.5,43252.75,61116.75,50739,102057.75,53193,15132,159553.666666667,491435.5,678063.333333333,788511,323011.333333333,1053368.5,43005.25,771488.333333333,325946.75,37826.75,71007.5,678048.75,618061.25,745714.25,686805,479058.5,615912.25,424363,392947.25,465716,546120.5,413162.75,705981.75,217753.25,1012450,440904.75,537758.5,358308,603617.75,546673.75
"ZBED1",7355.25,5688.25,14262.75,6509.25,0,12382.25,3485,20660.75,20309.5,18594.3333333333,22511,46543,20979,3601.33333333333,8943.75,14862.3333333333,15759.5,612.666666666667,6705.75,102539.5,17121,7132,13921.75,25437.75,10119.25,5579.25,30258.75,6542.75,10216,4540.75,7993.5,3817.5,15571.25,5425.25,6276.25,6933.25,5267.5,8790.5,4091,6568.5,8863.5,4197.25,3384.75
"ZBED2",0,0,0,0,0,0,0,0,0,0,1668.75,0,0,0,335.5,0,0,0,0,0,0,0,0,908.75,4889,0,13369.5,0,4070.5,0,536.5,0,5962,0,9594.75,0,0,802.75,4645.5,0,0,0,0
"ZBP1",14131.5,18361,2470,6381.5,57682.5,2097.5,0,1903,1621.75,1442.66666666667,0,5447.25,2321.25,5820,15891.25,10465.6666666667,13006,11256.6666666667,13748.25,59755.5,0,6654.5,0,4183.75,0,9898,0,15743.75,2331.75,7989.25,1337.75,4979.75,0,14328,0,22748.25,906.25,19507.25,506.5,4907,8988.25,10114.25,12772.5
"ZBTB1",3839.25,2515,6558.5,2217.75,1943.25,1661.25,5107.25,4097,6128.5,6929,603,7841.75,2369.25,0,2133.5,2086,2487.5,3943,1670.25,108651.25,5347,1924.75,956,4948.25,4135.75,2209.5,4872.25,1851.25,7543.75,1223.75,2377,2882.5,3130,1917,4293.75,1287.5,5050.25,2013,2017.75,1616.75,1066,2163,959.75
