"","Adipose","Adrenal Gland","Artery","Bladder","Brain","Breast","Cervix","Colon","EBV-transformed lymphocytes","Esophagus","Fallopian Tube","Heart","Kidney","Liver","Lung","Minor Salivary Gland","Muscle","Nerve","Ovary","Pancreas","Pituitary","Prostate","Skin","Small Intestine","Spleen","Stomach","Testis","Thyroid","Transformed fibroblasts","Uterus","Vagina","Whole Blood"
"MME",16.9232474736025,0.20615,1.00789672691481,4.197,0.591487312253044,23.325,2.00058994199474,0.287068826830951,0.096435,1.24934432080192,1.571,0.605064920805386,35.6,5.717,19.44,5.294,7.5855,42.895,0.5448,0.13275,0.5068,26.08,1.47240651997199,33.71,2.526,0.46835,0.9578,1.057,682.4,0.9469,7.826,23.88
"ALDOC",26.7571936621842,15.965,28.9655567639167,20.91,444.021596709354,27.225,25.7809419177145,13.7710324622215,318.6,24.0322091261333,11.39,96.1920367108335,5.788,27.38,13.17,13.95,1.6835,95.595,38.52,1.5345,23.22,16.065,52.2722207158665,26.5,20.66,9.616,15.18,7.958,24.78,23.21,41.89,13.62
"LDB3",8.29718532675347,0.47945,66.024112253095,6.2,5.86689828772969,5.8245,14.4777130093564,21.7703754909751,0.26175,15.951154297005,25.71,351.973851722759,1.144,0.2468,4.946,2.751,352.2,12.045,3.95,0.4897,2.141,19.89,3.74178447422487,3.675,0.5318,3.237,5.549,6.1155,0.2701,18.03,8.703,0.2069
"RBP1",3.19437599649817,89.295,6.85844913309784,18.22,13.1373301556547,6.513,9.34721701715007,6.41949553541209,0.34285,9.17234514360847,136.8,5.1826588940358,4.933,14.33,8.549,10.99,1.0925,5.5205,529,71.91,85.89,11.745,6.47474788872508,5.558,12.15,4.5295,20.09,4.108,0.2085,46.91,6.518,0.0831299999999999
"SCG5",1.31389057649665,0.6196,3.30391701847424,0.298,139.736452901426,1.6525,0.796065700357312,4.52320341830717,1.1085,2.22122414625614,1.407,0.387785437306502,0.3362,5.012,0.8817,0.5452,0.15045,1.356,3.23,36.135,575.7,2.39,0.771803916916316,4.083,0.8174,5.0685,15.38,7.2955,35.69,1.706,2.796,0.1831
"CD22",1.5420121950927,4.3845,0.688756635487642,2.716,11.8986431474887,1.512,1.66049807366967,1.79566450061519,317.45,2.20970246298396,5.787,0.245772487254394,0.9745,0.5706,8.06,1.392,0.13045,14.54,218.8,0.308,1.045,2.9455,0.325764096662751,19.32,222.65,1.7745,6.373,4.969,0.199,2.791,1.861,13.14
"PRX",3.73881678270009,6.264,6.00107928873874,8.688,3.01406676439051,5.419,9.23511089339046,4.33470242843966,1.3935,4.19763156466106,9.708,1.99207620223817,5.275,0.6398,61.79,4.098,2.407,693.55,9.048,2.5175,2.005,7.574,4.6911383747015,3.134,3.2835,4.244,3.624,18.835,3.826,10.57,4.421,0.7663
"SLC38A2",156.999493670075,128.45,177.659927631265,167.5,29.4939008210323,124.3,182.272338338332,95.0763186222286,84.985,114.869205793157,193.3,42.13816175963,40.38,95.25,212.2,125.5,74.095,213.35,201.6,40.11,43.28,110.6,270.326777152569,82.07,89.065,78.975,36.03,143.3,547.4,232.1,181.7,24.99
"SPRR2E",0.449743115175927,0.3167,0.443443964025922,0.5771,0.176277810955018,0.4312,0.749722918064458,0.33783691083779,0.3551,11.0785281399707,0.7719,0.250953684194583,0.1479,0.3557,0.3697,3.235,0.29005,0.5141,2.519,0.28215,0.3261,0.37185,684.25626593268,0.4185,0.37485,0.3914,0.591,0.3783,0.4758,0.578,29.37,0.2313
"LILRA5",4.62778482175714,1.4305,2.40023981505973,1.259,0.259665765248218,1.87,1.10094044418208,1.37254725980327,0.1412,0.913296545489437,2.381,1.07451203901062,0.8427,1.422,31.18,1.185,0.37965,1.1615,0.66,0.3628,0.8282,1.456,0.260516608379279,2.584,105.7,1.165,0.5098,1.275,0.0228600000000001,1.451,0.9292,611.5
"EIF4A1",412.459187828738,271.15,303.777849879404,335,79.9485288082243,367.45,358.884425892536,228.977835888592,604.2,300.957520661392,453.4,88.0263500318866,137.1,116.4,425.3,250.1,101.9,375.75,410.2,136.25,234.4,272.7,365.715230117321,200.6,335.8,223.6,233,242.8,735.6,331,366.2,202.1
"GPX1",397.987418347998,380.5,250.215896106183,270,99.7136250745513,315.2,277.669347076423,162.857377008177,383.35,201.811656000248,217.9,86.6932380517449,218.4,230.1,418.2,211.7,77.805,248.3,160.8,49.49,180.5,250.8,128.796147862716,165.1,434.1,124.2,100.9,225.7,511.9,178.9,223.7,534.6
"BOD1L2",0.0172950239237386,0.03159,0.0168845981376482,0.09839,0.0081162474644052,0.0301,0.0957002575978525,0.0255118746752765,0.0189649999999999,0.0283430041492856,0.0592600000000001,0.00325619858538628,0.0334300000000001,0.0310999999999999,0.01989,0.0388999999999999,0,0.024715,0.0375399999999999,0.0208250000000001,0.04789,0.049825,0.0115285463099892,0.02654,0.0270600000000001,0.029325,682.1,0.0283500000000001,0.02335,0.04769,0.0354700000000001,0
"VEGFA",146.64572462486,52.8,51.956351410521,97.21,19.7206059919799,126.05,87.315356818619,43.9171325888018,82.52,54.0776810360431,81,89.6427548125056,113.4,144,158.2,48.01,131.55,77.25,41.49,47.63,35.94,193.5,60.0386009013969,70.91,140.9,75.175,9.136,613.1,109.4,263.1,111.3,17.43
"PTP4A3",55.8595321823879,17.755,175.98053478475,38.77,19.1744489182454,64.305,89.7443452783699,61.6709613776588,122.1,73.0799377616897,129,269.18056924953,37.15,4.198,94.78,33.91,378.7,83.775,46.8,43.485,263.9,88.255,28.3390984864907,39.11,79.215,88.465,37.4,59.955,2.741,135.6,40.67,20.03
"NME1-NME2",385.099171198282,283.45,402.172928461656,370.9,143.911995292936,408.1,411.281742258859,293.414979238489,619.1,353.654443826235,350.3,131.807191070363,233.7,131.2,307.6,328.6,183.85,348.05,485.9,200.4,217,323.65,400.388091502476,218,283,236.95,81.35,311.55,775,402.5,418.4,72.22
"OSR2",26.37596573639,9.0595,10.3808976798942,37.68,0.0567226560957008,25.815,219.846666264175,6.13921564319218,2.086,6.44847055450583,236,1.41402526913038,0.3377,0.0731299999999999,3.638,5.398,2.1245,52.88,103.4,1.688,3.184,44.595,24.8549879133602,22.74,0.14215,1.99,46.46,6.6755,9.486,250.6,89.07,0.05769
"EIF4A2",373.565828660331,371.8,595.072988964686,564.3,430.665952716991,399.6,636.776081395343,442.262055673616,453.7,409.213566268157,602.5,198.029394813932,196.3,136.6,432,317.9,454.7,425.55,934.9,269.95,650.9,423.9,290.32497318287,326.5,352.45,333.7,280.7,468.15,389.9,643.4,514.2,62.22
"EZR",78.0553224014677,285.25,64.754595531925,246.7,50.4586009941463,59.025,57.6029593962626,89.1629635715242,279.3,203.455068565557,76.47,89.6496552668569,123,31.71,319.2,123.9,31.725,156.6,89.77,58.37,77.38,127.1,292.81160630581,278,129.65,237.5,120.1,219.15,38.69,60.35,180.3,59.15
"SERPINB3",0.0553288527752853,0.0845050000000001,0.076054441839484,0.4842,0.0141269199403071,0.0814049999999999,0.816038013093338,0.0607309037640036,0.060155,8.14016569715905,0.2609,0.0366819728344852,0.0748599999999999,0.0779000000000001,0.2783,1.046,0.03546,0.0369950000000001,0.1413,0.0646899999999999,0.2232,1.0895,11.4366426337658,0.07745,0.1036,0.0823050000000001,3.289,0.0686249999999999,0.137,0.1504,677.9,0.0355099999999999
"H1F0",133.683814914785,77.525,142.944851309999,249.1,94.426184912532,244.8,315.232122024313,214.769970107056,13.785,209.836910579301,341.8,61.2284388362748,86.67,120.8,145.1,213.5,134.8,263.45,253.6,89.51,119.9,234.8,382.604953044144,183.6,69.885,159.15,106.3,212.65,107.1,259.5,362.2,35.33
"CRCT1",0.240318305919896,0.2601,0.306344149136294,0.5691,0.112636266686691,0.22935,1.50374642585866,0.269168722038169,0.24865,15.5124104583342,0.2197,0.133475723604171,0.2332,0.2449,0.2363,1.181,0.14795,0.2291,0.4012,0.23835,0.261,0.3056,288.313394090215,0.23,0.32705,0.36145,0.39,0.25465,0.7005,0.4337,385.8,0.2706
"TPM3",78.9343968514181,58.205,40.8161960018883,49.78,40.4536501559433,67.13,48.8103001396298,40.4161997290915,186.9,38.5973842624857,49.43,32.0668958325392,33.84,19.5,119.6,53.61,766.75,87.555,33.63,20.015,31.57,39.995,56.4757374898313,69.51,114.2,42.545,50.19,61.035,120.4,49.67,60.92,134.2
"CD14",102.962853943127,171.85,70.0470238247622,45.48,11.9721055449159,56.78,28.2752438076953,38.7036560029426,0.66415,23.6511383488769,48.55,13.4929344854657,21.15,204.4,147.6,125.9,4.693,81.17,32.81,10.51,51.97,24.155,14.5447483093166,35.74,136.6,16.29,11.94,37.945,3.419,28.28,16.63,355.2
"PSMB9",59.1835309698592,33.52,29.6129316667047,22.05,10.792691535275,55.64,46.5628163590004,35.903820940385,503.7,25.048456035852,50.39,13.1993943532814,26.11,19,97,24.18,6.4755,62.135,31.06,5.676,18.22,38.315,33.2213748993228,101.1,234.7,21.705,8.239,44.07,32.93,55.72,47.01,175
"PFDN5",541.597253955455,421,613.439935395748,483.9,343.73460656168,600.05,768.621228267515,416.710701323296,489.05,444.548399552935,614.5,206.557028307885,306.8,145.6,518,393.1,238.35,585.4,913.1,235.15,638.1,562.95,522.093538480452,365.9,623.85,330.2,430.5,662.35,546.7,723.1,593.8,115.1
"RPL37A",377.649970289184,264.65,381.081490570895,383.1,193.104803241994,420.4,516.458650521952,324.719994780793,802.8,368.545707577736,431.5,152.834846507545,176.3,107.2,312,304.1,305.45,396.9,858.6,227.05,305.8,361.7,558.293500766815,255,341,250.8,254.3,331.1,628.5,501.5,480.5,111
"DHRS2",0.0774152025797668,0.3763,0.0800003339601962,673,0.394698380784807,0.98525,0.475938743647581,0.111303111216737,0.573,0.104537767633469,0.3568,0.0246718431283257,0.8008,7.76,0.2775,0.0636700000000001,0.0244200000000001,0.25785,13.04,2.9125,2.215,1.252,0.189053489124859,0.1231,18.285,2.018,5.329,0.08962,0.1449,0.2394,0.3571,0.0309999999999999
"SELPLG",12.1064983882042,6.3565,6.81780630988892,6.829,5.35638560125329,6.348,5.62691342179751,5.46378836287204,53.025,4.80670470270003,10.51,2.27816503550386,2.6,1.896,51.68,6.683,0.79045,9.6915,2.089,1.06,2.871,4.6855,3.50200222123446,14.43,120.15,4.9455,4.073,4.4825,4.828,4.02,4.302,588.1
"C16orf82",0.0163267191213661,0.0436300000000001,0.0200635616548399,0.1284,0.0261530336625939,0.0366200000000001,0.100234400252964,0.0216454881709212,0,0.0347965693204528,0.0541700000000001,0.00771523755473691,0.02572,0.01709,0,0.0310699999999999,0,0.64045,0.02058,0.017965,0.6355,0.0518149999999999,0.0193821658239857,0.0335399999999999,0.0205599999999999,0.0216000000000001,664.9,0.01945,0.0182199999999999,0.04965,0.04514,0
