"","A-431","A549","AF22","AN3-CA","ASC diff","ASC TERT1","BEWO","BJ","BJ hTERT+","BJ hTERT+ SV40 Large T+","BJ hTERT+ SV40 Large T+ RasG12V","CACO-2","CAPAN-2","Daudi","EFO-21","fHDF/TERT166","HaCaT","HAP1","HBEC3-KT","HBF TERT88","HDLM-2","HEK 293","HEL","HeLa","Hep G2","HHSteC","HL-60","HMC-1","HSkMC","hTCEpi","hTEC/SVTERT24-B","hTERT-HME1","HUVEC TERT2","K-562","Karpas-707","LHCN-M2","MCF7","MOLT-4","NB-4","NTERA-2","PC-3","REH","RH-30","RPMI-8226","RPTEC TERT1","RT4","SCLC-21H","SH-SY5Y","SiHa","SK-BR-3","SK-MEL-30","T-47d","THP-1","TIME","U-138 MG","U-2 OS","U-2197","U-251 MG","U-266/70","U-266/84","U-698","U-87 MG","U-937","WM-115"
"FN1",11,76.1,112.1,21.9,3057.2,24376.9,4.8,1597.8,1017.9,1740.8,1286.8,955.2,39.1,0.8,9.5,4904.1,172.6,19,3085,967.4,0.9,6.9,0.7,18.8,2476.6,2698.3,1,5.9,11926.5,21.2,4436.1,7509.7,1836.3,7.4,3.5,3151.2,12.9,2.3,0.9,55.6,14.6,0.9,2.3,5.4,36.3,11.5,7.1,27.7,240.6,88,962.2,18.6,2.1,3475.6,2648,299.1,2770.9,294,3.4,1.2,1,3127.2,0.8,705
"VIM",18.4,1009.9,1955.1,2944,4396.4,12818.5,2.9,4421.7,2810.1,3592.2,3333.1,7,61.8,2.1,257,7811.8,7.5,292.2,105.3,3614.8,3305,354,504.5,381.7,0.2,1653,238.4,195.8,4903.2,4.7,5714.6,2470.6,5307,792.6,1131.1,5778.8,3.4,588.6,574.3,631,1292,514,2656.5,65.5,2935.3,0.6,9.6,1003.3,1.5,5.1,4129.8,8.1,229.8,4442.7,3764.8,1726.2,3013.3,5203,1337.4,665.1,89.5,5647.4,22.6,3669.3
"KRT8",2425.6,5518.3,0.3,7.3,0.5,2.3,3855.6,9.4,39.2,5.7,6.2,6334.4,4191.3,0.9,1063.5,11.6,835.2,18.2,538.9,5.7,4.2,119.6,3.9,850.8,1507.3,179,1.1,2.3,6.9,9.1,14.9,39.1,14.2,431.5,1.4,0.2,7987.2,5.2,6.8,417.6,123.1,3.5,2.2,10.4,895.4,1077.4,152.8,5.3,1124.5,3839.1,6.6,4059.8,7.2,15.3,5.9,465.6,8.6,8.3,1.2,4.9,4.5,3.3,1.3,13.2
"MT-ND6",2867.6,2368.8,2229.1,2671.8,254.7,24.3,1558.8,3657.8,7.2,12.9,13.9,2954.9,2845.4,5021.3,2705.6,91,4223.9,25.8,56.7,22.6,3872.1,1816.3,3785,11269,7006.3,25,2141.8,3353.1,46.8,75.5,104,66.5,19.2,1649.7,1922,78.8,5358.8,669.2,2339.6,491.5,1175.1,1824.9,1395.7,2101,46.3,7586,1092.9,1577.2,2391.9,2931.4,1406.1,2853.6,3488.9,7198,2444.8,2185.5,3301.3,1453.6,692.3,1820.2,1156.1,1648.1,2121.5,1455.7
"S100A6",1854.2,2106.9,2.4,175.7,2563.9,3369.4,5.1,2143.2,5100.6,1170,1595.9,135.5,3788.1,2,740.6,2941.5,793,43.2,2613.5,571.2,809.6,0.7,397.1,1037.1,98.5,1186.3,17,256,1643.3,2140.8,1351.8,1779.9,2365.3,1.4,3.7,2649.7,245,5.4,115.6,4.7,3500.4,2.1,273.8,531.4,7409.7,1542.1,686.5,109.9,3659.1,2596,2050.4,449,459.7,3406.3,1188.8,329,2318.4,3455.7,4.6,4.4,4.2,4584.2,367.9,2602.5
"SERPINE1",66.3,57.4,1.2,4.7,519.5,1046.4,85.1,2907.6,526.1,1579.7,1431.9,7.6,4.8,1.9,756,856,15.6,0.5,190.7,1681.7,4,0.6,0.9,3.6,41.1,1272.7,0.1,3.4,427.9,76,2612.2,1045,3307.7,5.7,1.8,3188.1,0.3,0.5,1.3,17.9,38.2,0.5,5.9,3.2,3.9,23.9,1.2,0.8,299.5,57.4,7.1,3,6.5,8072.1,4492.2,208.8,1463.3,3465.4,0.4,2,2.6,1114.1,1.8,44.7
"LGALS1",2280.6,1367.6,32.9,1221.4,2055,4088.3,28.8,4999.7,5593.5,3986.8,4125.8,141.2,296.5,2.1,560.8,4666.1,240.5,55,2790.9,1439.1,2482.1,25.5,206.3,1054.9,479.3,1636.6,105.7,2562.8,2647.1,188.3,3428.4,1116.3,3991.1,150.9,765.3,2803.6,890.6,3.8,1175.1,13.1,3277.3,4.5,2121.4,495.6,1339.4,4.6,5.9,818.7,1254.7,154,1161.8,1022,1048,5320.7,5601,2967.2,2372.8,2536.3,493.4,325.4,7.5,6529.6,537.8,2286.7
"ANXA2",3763.2,4251.8,241.3,101.7,2227.8,3621.2,1017.8,4239.2,2608.9,2901.1,2642.2,1856.9,1773.4,8.2,3793,5070.6,3961,1128.2,6757.6,3279.3,852.3,106,77.9,1510.5,599.3,1641.2,3.6,54.7,1849,1819.2,2222.4,3643.7,4922.9,310.8,347.3,5628.7,381.3,15.3,160.9,530.6,3354.4,45.9,1292.3,166.6,4191.1,2053.6,373.6,191.3,2105.7,334.6,1548.2,899.5,120.8,5539.6,2600.6,3751.7,8326.6,4133.4,137,441.2,56.8,2432.4,39,5300.3
"SPARC",5.2,4.5,1222.5,54.5,3432.3,1180.1,111.8,3597.1,1129.5,1604.2,1716.6,4.4,3.7,1.5,928.7,5254.9,51.6,162.6,232.3,572.3,4.5,54.3,52.9,0.3,81.5,1254,2.3,5,1925.8,329.5,1272.2,135.9,2007.8,48.7,32.7,827.5,0.3,3.8,23.5,574.1,4.3,2.6,1187.3,2.9,0.4,0.4,55,99,3,1,445.6,4.4,95.8,2337.1,788.1,1289.4,340.1,1122.7,2.9,4.2,4.6,682.9,2.9,4850.9
"KRT7",3.7,2160.1,0.6,1.4,1.9,0,2642.4,430.7,0.5,243.5,23,6.2,1479.9,0.1,1.3,136.6,1645.3,0.2,4461.4,12.9,2.4,0,2,850.1,5.4,48.2,1.2,1.3,1,274.5,1.3,1877,223.4,0.6,1.4,0,10,1.5,2.3,7.4,2.2,1.8,4.6,26.7,1140,5973,4.1,2.6,6200.7,2524.1,0,122.5,0,1656,1.9,3.9,2.2,0.9,1.3,0.3,1.4,1.7,1.2,1.2
"KRT18",1661.1,5013.4,1,7,0.5,0.7,3293.3,238.1,277.2,333.6,98.8,5077.2,3861,0.9,721.6,239.7,401.2,79.9,1537.3,207.2,2.1,119.2,15.9,605.5,1161.3,758.8,0.4,1.1,9.5,142.1,313.6,328.7,322.7,415.3,0.1,0.3,6322.5,2.9,22,444,385.8,2.5,0.3,150.2,1319.6,898.2,74,3.6,486,3303.2,14.2,2193.6,4.2,101.2,4.7,432.1,6.1,53,0.8,4.9,2.4,0.8,0.9,34.4
"COL1A2",0.1,0,22.1,1378.4,2673.1,3247.5,1.2,3371.1,2361.7,598.1,828,0,2.5,0.2,2.5,10547.5,0.5,2.3,1.1,151.8,0.1,0.1,0.1,0,0,856,0.8,0.5,2949.4,0.1,508.1,1.9,0.4,0.2,0.2,458.1,0,0.5,0.9,2.4,5.8,0.4,0.8,0.5,0.1,0,15.2,1.5,0.3,0.7,0.1,1.9,0.1,12.7,1602.8,0.8,949.3,94.9,0.9,0.1,0.2,399.7,0.4,9
"TMSB4X",5142.8,4376,9156.3,13632.9,7619,8460.7,21.9,2572.3,6412.3,2150.5,3844.4,829.4,4228.8,1000.2,2701.2,7208.7,2232.2,1431.9,1463.3,2985.6,7635,73.1,1566.4,1907.3,8.6,2168.8,5472,12205.5,4120.3,2067.4,2741.9,1827,11765.5,202,15.7,6906.8,1601.1,6609.3,9400,3342.3,3048.5,5711.1,3175.6,3978,10434,1350.3,1155.9,443.2,4675.7,154.2,441.4,5142.3,4640,9334.4,3300.5,1734.2,17847,2536.1,3342,2389,1860.3,5009.5,2199.3,2437
"S100A4",9.8,1995.9,10.2,58.8,1870.4,1306.9,2.6,1174.5,4403.5,25.2,117,13.7,135.3,0,233.9,3054.2,49.1,8.3,14.3,20.2,297.6,1.3,857.4,326.1,33.8,3.1,67.7,1360.3,213,15.2,53.7,9.8,2,7.6,1.7,1645.9,6.5,2.5,629.7,6.2,773,46.7,3.1,1464.4,63.8,48.2,98,10.4,26.4,781.8,6.5,59.6,802.1,2.5,6.7,12.8,1703.5,6.6,51.5,342.2,7.2,5.2,828.2,105.5
"KRT19",2.2,311.7,0,5.9,0.4,1.2,1127.8,347.8,0.4,11.9,2.9,822.5,1710.1,0.3,370,154.2,923.1,0.1,2110.1,2.5,0.7,9.5,0.2,148.5,467.6,25.5,0,72.2,0.5,378.3,9,0.3,21.9,132.3,1.8,0,1699.1,4.7,1.9,18.5,456.6,2.7,0.1,4.1,1000.5,2508,47.1,1.8,3.5,4076,0,3451.5,0.2,1.4,3.6,6.4,7.1,0.6,0.8,0.5,1.1,1.5,0.2,2.8
"S100A2",723.2,8.5,1.1,0.9,7.4,2.9,1.2,8.8,9.2,8.4,7.6,1.6,23.5,0.9,396.5,13.8,1771.6,1.4,15305.5,9.6,5,3.1,3.4,37.5,3.4,3.8,0.6,1.6,6.4,2008.5,24.1,2419.5,11,0.7,1,39.5,2.6,0.2,0.1,2.2,144.2,1.2,483.3,1.4,375.5,6706.3,19.4,0.6,37.1,4.4,7.4,3,3.9,4.9,12.3,716.4,86.1,231.9,1.5,1.6,2.8,25.8,1.5,23.8
"TGFBI",88.4,365.7,0.7,3.3,747.1,249.9,1.4,253.9,31,188,117.8,151.8,1105.2,0.1,169,2100.5,428.1,1,693,173.6,2.1,0.1,0.1,323.1,338.9,610.7,0.5,3.4,1955.4,1380,76.3,65.4,145.9,0.2,2.6,1843.8,3.7,0.6,0.4,12.5,0.6,0.3,20.3,2.3,72.4,7,1.4,0.7,502.6,11.4,3.3,3.4,73.7,605.5,1343.1,61.6,1780.9,898.7,0.2,0.4,1.1,3543.6,0.5,1049.8
"KRT17",183.3,0.2,0,0,0.6,0.7,47.4,5.9,1.8,3.3,4,14.5,1.6,0.7,14,0.3,1812.8,0.1,1512.3,2.8,0.3,1.6,1.8,619.8,1.3,0.5,1.5,2.1,0.9,14378.7,1.3,1169.4,0.9,0.9,1.1,3.6,0.5,0.4,0.1,0.5,0,0.6,3.3,1.2,0.6,620.2,0.3,0.2,8960.6,2.8,0.4,0.3,0.5,0.6,0,423,0.3,0.9,0.7,0.3,2.2,1.6,58.6,1.3
"FTL",747.7,11567.5,928.3,1336,10868,11425,1615.9,1834.8,10291.7,2845.6,6650.2,2332.7,2969.6,464.2,3833.3,10120,443.1,802.4,922.5,2650.2,8158.2,460,1544,2224.8,12665.7,20612,3242.5,4875.8,14967.5,1233.1,5218.9,1748.8,3752.8,2896.6,945.3,5099.7,160.3,911.9,1500.4,1707,1198.8,854.3,615.9,4651,1474.7,429.2,1409.5,736.2,6046,232.2,932.3,170.4,5664.2,2769.5,3274.8,1824.8,4012.3,2488.5,4299.1,9327.6,415.4,3450.7,3315.8,5870
"MT2A",281.3,120.6,3.4,101.4,599.5,889.7,17.3,2234.6,1105.2,472.6,448.8,0.6,488.2,35.4,339.9,166.2,301.5,121.8,6860.6,200.9,484.7,73.6,55.3,90.4,34.1,348.5,314.4,34.7,579.5,315.9,1179.1,349.6,540.6,3.3,3.2,3182.4,177.6,35.1,329.2,250.2,1145.7,42.5,149.1,2.9,1820.5,2.2,70,15.8,690.2,171.1,138.7,34.6,33.7,681.8,2570,1056.3,402.4,635.2,2.6,3.9,2.6,3004.5,374.6,160.4
"SRGN",4.6,36.9,0.1,0.3,527.4,523,1.1,79.5,51.1,214.8,272.3,0.1,15.8,6,109,3.1,0.9,0,14.1,766.9,484.5,0.3,75.9,22.6,0.2,264.2,3514.5,807.1,222.1,0.8,641.9,30.2,1012.5,70,300.7,1025.7,0.2,14.6,1617.9,0.5,75.4,2,2.2,305.8,0.4,4.6,0.3,0.9,2.4,0.4,12.6,1.9,2938.4,2120.9,186.1,12.2,3.5,16.4,369.8,351,38.4,110.1,2758.4,1.2
"CAV1",380.1,316.5,9.3,3.4,944.3,1463.9,19.8,855.3,1866.6,509.9,557.5,2.4,553.8,0.1,329.4,930.5,706.8,2.2,1617.7,798.4,27.2,17,0.3,92,0.2,159.4,0.1,1.8,522.4,339.5,801.6,403.8,1395.8,0.2,16.6,1943.1,35,0.4,0.5,32,154.4,4.6,22.8,170.9,235.4,1.3,1.1,0.7,330.6,14.8,39.2,1.5,2.6,1057.8,1793.8,217.8,654.4,234,71.2,10.9,1.1,718.3,0.7,663.7
"RPL9",54.3,51.4,2063.9,51.6,80.6,108.6,81.6,847.1,1222.9,1142.9,899.1,122.1,993.9,1808.9,111.9,788.7,998.9,128.2,98.7,1287.1,860.4,1822,81.8,284.5,97.9,129.9,151.4,564.1,152.4,2242.1,99.4,1076.3,83.6,1765.2,822.9,80.2,59.3,1124.4,116.5,1873.6,70.2,1161.5,2025.4,68.1,1156,55.2,102.7,880.8,40.5,607.5,101.9,1685,80.2,59.2,55.6,87.7,1329.6,125.1,1330.9,1840,1505,1371.9,1199.6,64.7
"CD74",30.4,0.3,1.4,2.8,1.6,1.6,11.6,0,0,0.7,0.5,343.6,1796.9,2297.1,117.6,0,8.6,0,0,0.1,4315.9,0,94.9,1.3,174.5,5.4,7,5.7,18.3,0.1,0.7,0,0,6.9,891.2,0.3,0,3.7,9.6,5.6,0.2,2549.8,4.5,1320.3,6.9,107.8,6.1,9.6,5.7,3.3,71.6,78.2,258.9,3.7,11,9.4,9,3.7,1136,120.9,1220,696.5,113.2,656.2
"FTH1",2638.8,7512,1222.6,3054.3,16427.1,8061.3,6571.4,2283.3,9343.9,2507.3,2628.2,836.1,3577.2,251.6,15758.2,6068.4,4445.9,1151.4,1603,1677.8,1334.2,507.3,1566.9,7663.3,4535.7,20888,658.2,2315.1,11417.5,7754.8,5394,7712.1,2856.9,2368,2783.2,7951.1,3115.1,750.9,853,2122,12866.2,834.6,1478.7,1736.8,10449.2,6427.7,1234.6,1406.6,9844.4,755.3,3451.8,1689.1,741.7,3140.3,8237.7,2091.2,3480,1423,508.3,1719.2,736.9,11148.4,285.3,2011.7
"JCHAIN",7.1,0,0,0,0,0,14.1,3.5,0.8,0.1,0.1,0,0.1,2569,3.1,6.2,4.8,0,0,0.1,1.9,0,2.4,0,0,0,2.2,6.4,0,0,0,0,0,4.4,1336.5,0.1,0,4.7,8.5,4.3,0,4.6,2.4,2653,0,0,3.7,14.5,3.9,1.8,2.3,0.6,4.5,2.7,6,11.2,4.4,5.1,5934.2,2263.1,3199.2,1.5,4,1.2
"COL1A1",4.9,4.2,15.2,2.5,414.5,1021.5,25.7,2487.8,645.3,668,435.9,49.4,12.1,0.4,6.9,3474.4,7.5,8.1,2.2,124.5,4.6,5.2,0.3,49.7,2.5,964,0.8,0.6,1569.1,31.2,880.3,3.2,0.4,1.8,0.3,305.3,6,1,0.5,15.1,8.8,5.3,1.9,1.8,2.8,0.1,2.1,8.8,5.6,3.4,0.1,35.1,0.3,1.1,2286.9,529.3,326.9,12.6,1.9,3.9,0.4,169.9,0.9,5.2
"S100A11",1522.6,1234.6,64.5,464.8,1231,1563.8,1043.1,1407,1941.8,1221.5,1300.5,526.8,1679.8,1.7,1371.9,1670,2123.3,69.4,2134.5,714.9,783.6,125.5,135,537.6,252.2,1161.9,110.1,897.3,1239.4,2131.1,1445.9,1389.2,845.6,279.3,234.1,1615.6,2133.5,14.7,404.5,475.5,1266,2.1,678.9,913.5,2960.6,2322.7,2.7,113.4,1344.5,1246.3,882.7,1198.7,1008,1195.6,689.5,517.6,1023.1,742.4,1.7,10.8,4.4,1549.8,349.6,834.7
"ARHGDIB",122.6,4.8,5.2,278.5,14,11.4,2,4.4,1.5,2,1.4,15.6,131.7,799.4,65.2,19.7,133.2,0,174.5,15.9,2.1,0,1354.5,2.2,0.4,4,1418.5,1684.2,1.8,21.8,0.8,17.1,706.9,7.2,298.9,21.8,0.6,1705.9,808.9,6.4,1.5,1609.3,19.1,348.4,36.1,610.7,1.7,1.4,1.9,145.3,2.2,9.4,862.7,882.8,4.3,10.9,1.9,27.3,52.3,8.4,1105.9,4.9,964.5,2.4
"FSTL1",72.8,19.8,225.9,88.4,920.7,1282.6,1.2,1888.8,1010.5,1316.5,1211.9,0.1,163.7,0.6,174.8,2153.3,18.7,73.5,199.4,1729.6,1,30.8,0.4,118.5,0.2,247.1,0.9,0.8,1020.2,6.3,916.3,152.6,694.8,0.5,0.2,194.7,0.3,18.6,1.2,189.1,172.3,0.6,92.7,0.7,114.6,1.4,47.9,101.9,841.9,10.6,63.7,22.8,4.2,836.1,521.2,529.7,259.1,278.1,0.7,0.7,1.4,180.8,0.7,69
"TAGLN",17.1,5,315.1,8,99.9,91,258.5,1748,723.6,1789,695.3,1552.4,25.3,2.3,2264.6,1647.2,43.3,4.9,12.3,526.4,6.1,4.1,4.4,46.7,88.1,679.3,1.4,4.5,250.8,50,282.6,27.1,3.5,3,4.8,1203.5,3.4,1.3,10,97.6,2.2,2.4,24.3,6.8,3.2,21,2.1,8.6,35.2,8.4,1.2,8.5,3.3,181.1,1832.5,327,12.9,74.1,6.8,5.2,11.1,10.5,5.9,5.9
"THBS1",165.6,57.9,48.5,17,138.5,165.1,0.6,908.7,709.1,269.5,184.3,153.7,123.1,0.7,373,2033.2,583.9,2.3,376.9,141.1,46.4,0.5,43.5,24.8,32.7,37.3,0.2,12.1,385.8,27.2,241.2,414,2095.4,1.4,1.2,1561.3,11.2,0.6,2.4,9,21.5,0.6,124.7,0.9,329.4,379.2,0.7,0.5,324.2,12.9,14.8,174.6,2.5,3015.4,989.9,249.1,1113.5,1036.1,2,1.5,1.3,32.9,0.6,1083.4
"IFITM3",336.5,30.4,1393.1,343.4,433.8,712.5,29.9,494.7,879.9,1986.9,2628.1,38.7,1111.9,0.8,575.1,663.3,542.1,0.9,297.3,128.2,13.1,38.3,5.5,344,326,2049.3,3.1,4.9,1691.6,66,172.9,300.9,331.7,2,3.5,166.2,621.8,2.1,11,168.9,267.7,47.6,126.4,4.2,938.2,34.6,1.1,2.8,744.5,87.8,468.3,27.2,22.7,638.4,137.7,98.9,117.1,19.9,2,1.8,4,62.1,4.9,216.3
"CLU",11.3,1537,72.4,79.9,274.8,382.6,222.6,251.8,473.4,71.7,38.8,270.3,233.3,4.7,1097.2,207.2,497,327.2,34.5,48.7,1175.8,282,665.7,2720.7,274.7,292.2,14.1,1668.5,670,136.3,333.5,73.8,858.4,8.9,607.7,22.9,221.8,4.5,36,603.8,183.3,5.6,267.3,164.3,575.8,975.3,78.7,44.2,438.8,2632.8,14.2,2413.8,6.9,124.7,23.3,2354,122.4,83.8,82.3,287.3,9.5,1771.6,95.8,10.3
"MMP2",5.6,3.6,189.9,2.2,3859.6,1140.5,300.8,424.2,929.1,92.8,77,0.2,1.9,0.3,371.6,691,47.8,1.3,3.3,55.2,0.6,0.8,0.6,9.3,2,445.8,0.3,13,1015.8,1.2,512.7,3.4,543.5,0.6,1.7,279.1,0,0.3,5.1,152.6,1.5,0.4,44.5,0.6,12.3,6.1,3.7,366.5,99,0.6,1.8,1.5,24.4,753.8,1525.4,154.2,279.7,55.1,0.7,0.4,1.3,1772.5,22.1,284.9
"SERPINE2",2.7,75.9,30,30.7,831.2,317.8,4.1,1300,710.3,113.2,113.3,4,6.3,0.3,31.2,5130.1,4.5,3.7,75.7,101.5,0.6,24.1,15.2,37,15.7,50.2,10.5,1.4,96.4,50.9,349.7,401,7.8,0.5,1.2,354.5,3.4,1.8,2.5,57.3,85,9.5,25,45,855.5,77.7,51.1,7.8,310.4,0.3,2298.5,1.1,4.5,886.6,704.4,103,204.8,61.1,4.9,9.4,0.5,447.2,9.1,2211.8
"TIMP1",146.4,250.3,130.4,1450.7,1839.3,2493.8,31.1,1502.4,1184.4,504.7,424.3,90.8,270.1,1.3,215.6,1785.5,143.7,75.5,541.7,336.9,316.3,158.1,154.3,134.4,116.7,1494.1,92.4,1849.7,1787.6,137.1,1656.9,268.8,206.1,242.4,89,758,250.2,1.8,281.1,147.4,529,2.1,262.7,104,662.7,92.2,2.5,8.4,1118.5,5.4,176.4,13,149.9,196.7,794.2,886.3,893.8,145.7,39.7,82,4.3,2289.3,216.4,528.7
"ANXA1",768.2,1228.8,59.6,58.5,568.8,548.3,3.7,1255,748.4,558.9,393.7,32.8,678.5,1.4,450.9,1012.1,931.1,134.6,645.5,457.8,461.7,8.5,60.3,270.1,0.9,554,117.3,28.1,329.8,527.4,609.2,911.5,721.9,253.1,25.8,626,2.9,210.3,50.7,76.1,507,0.8,328.1,2.1,1025.3,146.1,1.1,0.7,542.3,10,269.4,3,15.1,879.2,689.5,459.7,904.5,639.3,4.7,1.3,2.1,1580.1,105.7,1062.5
"S100A10",945.7,986.9,3.3,206.1,806.9,1089.9,763.2,506.3,651.5,488.9,514.7,1629,1287.6,0.9,534.3,814.8,1628.2,315.8,1669.4,470.2,181.4,81.2,118,330,317.4,353.2,40.2,95.9,296.4,1386.3,574.7,502.5,984.1,1.9,2.1,589.5,717.2,7.9,200.4,144.2,1107.2,1.3,199.7,15,1677.7,252.6,10.6,8.7,1036.8,259.4,358.6,719,85,1030.1,247,653.4,1112.8,351.2,21.4,4.5,126.9,1435.9,34.4,883.4
"PTX3",1,0,719.1,0.2,809.1,1187.1,0.3,108.2,943.1,50.6,57.4,0.6,6.7,0.1,419.4,117.9,0,0.3,0.7,103.5,0.7,0.2,1.7,0,0,1837.3,1.9,0,1660.2,0.6,1235.3,319.8,214.5,0.3,0,306.1,0,0.2,1.8,10.8,4.2,0.2,0,0.2,4,40.8,6.9,0.9,7.8,0.7,0.7,0.6,1.5,1387.2,240.6,12.1,1444.5,18.5,0.1,0.3,0.4,50,4.9,70.7
"RPS4Y1",2.4,244.1,0,0,0.1,0.5,369.3,381.9,634.2,649,570.4,0.4,0,768.2,1.3,498.7,0.5,0,0.2,821.2,294.2,0.1,612.3,0.1,557.9,799.8,1.1,0.6,868,564.7,0,0,0.5,1.5,0,596.2,0.3,490.2,1.2,0.6,0.8,0.5,331.7,113.1,492.5,401,460.2,1.2,1.1,0.8,1.2,0.7,324.5,471.3,258.9,4.5,0.8,371,313,0.8,1166,0,0.9,0.1
"COL3A1",0,0.2,1344.2,49.1,1690.4,2979.5,0.9,471.7,401.8,222.7,207.2,6.7,0,0.4,0.3,1406.5,0.7,1.2,0.7,25.5,0,0.8,0.6,158.1,0.1,1419.6,1.5,0.6,2318.4,0,291.6,36.1,10.4,0.4,0,121.9,0,0.2,0.8,2.6,1.5,0.3,37.2,0.3,0,5.7,1.5,22.4,15.3,0.3,0,0.1,0,0.6,2.3,30.3,108.9,0.4,2.1,0.9,0.3,0.5,0.9,3.4
"NQO1",203.2,2342.6,210.6,884.6,355,521.4,77.5,325.9,557.1,361.5,579.8,262.4,1287.5,5.3,420.3,1554.3,210.5,85.8,310.8,191.3,88.4,3.1,10.5,427.8,1581.1,575.1,44.7,159.3,128.4,195.1,676.1,59.5,816.1,87.1,11.9,1753.6,576.2,8.9,64.7,112.7,231.3,17.5,43.7,74.9,587.6,663.2,89.9,19.3,3107.1,307.4,1346.8,625.3,124.1,544.6,383,168.2,137.1,254.5,9.9,37.7,7.5,486.5,23.5,1940.3
"SPP1",1.9,132.6,19.6,1,0,0.1,0.2,5,3.6,1.4,9.2,0.5,0.2,0.2,4669.3,1.8,1.3,0,0,3.2,10.5,0,0,1.1,1742.5,0.2,5.7,4.6,0.3,0.2,36.3,0.1,3.7,0.1,8,1,0.2,0.9,14,233.4,0,2.2,0.5,847.6,8242.5,1.4,1.4,1,0.3,0.7,263.1,0.5,3.5,0.2,11.9,27.3,0.4,22,0.8,5.2,8,442.8,0.9,465.4
"COL6A3",0.2,0.5,0.6,0,2271.2,2960.3,58.7,688.6,1039.3,155.3,183.2,0,0,3.2,0.1,633.8,0.5,0.8,0.7,95.6,1.8,0.1,0,0,0,562.8,0,0.3,1966.4,0,596.4,1.4,0.1,0.1,0.4,5.2,0,0.1,0.1,0.5,6.9,0,0.1,0,0,0,0.2,0.1,0,0,0.3,0,0.2,2.3,18.8,46.9,25.7,117,0.7,0,0.1,840.7,0.1,0.5
"IGFBP3",173.5,53.7,111.7,0.9,57.6,24.4,0.9,718.4,124.8,67,37.8,0.1,138.1,0.1,248.7,6647.1,412.4,1.6,2.4,28.3,0.6,0.1,0.3,14.5,0.1,18.4,0.3,1.4,208.2,9.2,15.1,41.4,0.6,0.1,2.3,22.3,0.9,1,0.9,7.7,10.9,0.7,0.4,56.5,39.8,337.7,16.1,34.6,312.1,8.7,12.2,1.5,0.5,0.4,804,1.8,3223.6,40.4,9,0.5,0.6,1735.3,0.2,278
"CD24",316.2,198.6,3.8,26.5,0.4,0.2,392.1,0.4,2.1,1.8,1.1,2.7,1.6,25.2,100.3,0.1,643.8,127.7,197.5,1.4,0.9,1.5,0.9,181.3,10.9,0.1,4.1,1.5,1.5,225.4,3.6,13.8,1.4,7.3,0.6,5.4,345.8,2,1.7,984,78.7,770.3,0.5,2.4,3501.8,730.8,712.1,472.4,265.4,1014.5,1.2,589.1,1.4,1.3,0.8,4.1,2.9,9.7,0.8,1.3,325.9,4.9,2.2,1.6
"MGST1",1.4,460.8,117,129.2,3718.8,1454.1,1.5,351,343,206.7,333.5,160.4,742.1,0.3,46.4,414.5,2.1,322.7,476.7,193.4,1,38.5,158.5,188.4,468.3,1061.5,273.6,0.7,986.8,524.2,678.4,544.6,329.4,113.3,0.4,401.9,80.6,0.2,87.6,991.8,369.3,0.3,67.8,162.1,378.4,803.5,25.6,18.8,688.8,307.6,13.8,417.2,129.7,205.2,223.7,31.9,418.7,449,0.4,1,0.9,729.1,424.2,7.2
"DCN",0.1,0.3,4.9,0.5,2514,1962.9,6.1,573,2379.1,29.1,32.5,0,0.6,1,0.5,450.9,1.9,0.8,1.4,4.8,0.5,0.7,0.7,14.6,0,656.6,0.9,1.2,1868.4,5.5,85.1,30.6,0.9,0.6,0.6,54.2,0.5,1.1,6.3,1.1,1.1,0.6,1.5,1.9,3.2,0.4,3.2,13,10.2,0.8,0.7,0.6,0.3,0.7,146.3,1.2,497.1,0.5,2.3,2.1,1.3,8,1.3,0.7
"KRT5",40.6,0,0,0,1.4,0.2,0.8,0,0,0,0,0.8,0.3,1.9,0.4,0.1,2557.9,0.2,3723.5,0.2,0,0,0.1,0.1,0,0.4,1.3,3,0.1,8392,0.7,781.5,0.6,1.7,3,0.2,0,0.1,0.2,0.2,0,0.2,1,0.8,0.5,0.8,0.1,0.1,0.9,0.8,0,0,0,1.3,0,0.7,0.4,0.1,6.3,0.7,0.5,4.1,1.1,0.9
"CD59",223.9,181.2,69.7,185.8,995.2,782.3,38.8,1128,1237.7,320.8,395,76.8,712.7,14.2,220.5,1112,251.3,132.5,936.1,458.3,354.5,158.6,24.8,546.1,103.7,336,124.1,76.8,367.9,242.2,272.3,1036.1,1692.9,150.1,434.3,1812,153.2,63.7,44.9,41.5,1021.2,26.5,205.1,141.9,787.5,295.2,54.9,67.3,500.6,175.6,214.7,167.4,11.8,2367.1,783.3,210.4,2401.2,405,196,356.5,17.2,688.5,0.9,1408.4
"TPM1",498.3,362.3,466.1,29.1,109.1,71.7,1411.1,1319.2,455.3,866,669.6,223.9,101.1,1.3,649.7,1209,279.9,410.6,188.5,595.4,15,40.2,96.4,282.8,90,351.2,4,22.1,96,108.1,783.3,166,215.9,9.6,22.7,608,235.7,24.3,5.7,517.1,54.2,9.5,154.8,13.6,1017.8,256.1,150.4,85.9,200.7,226.6,69.6,209.3,10.9,945,1257.4,645.4,207.4,927.1,4.9,3.4,6,354.3,27,858.7
