"","A-431","A549","AF22","AN3-CA","ASC diff","ASC TERT1","BEWO","BJ","BJ hTERT+","BJ hTERT+ SV40 Large T+","BJ hTERT+ SV40 Large T+ RasG12V","CACO-2","CAPAN-2","Daudi","EFO-21","fHDF/TERT166","HaCaT","HAP1","HBEC3-KT","HBF TERT88","HDLM-2","HEK 293","HEL","HeLa","Hep G2","HHSteC","HL-60","HMC-1","HSkMC","hTCEpi","hTEC/SVTERT24-B","hTERT-HME1","HUVEC TERT2","K-562","Karpas-707","LHCN-M2","MCF7","MOLT-4","NB-4","NTERA-2","PC-3","REH","RH-30","RPMI-8226","RPTEC TERT1","RT4","SCLC-21H","SH-SY5Y","SiHa","SK-BR-3","SK-MEL-30","T-47d","THP-1","TIME","U-138 MG","U-2 OS","U-2197","U-251 MG","U-266/70","U-266/84","U-698","U-87 MG","U-937","WM-115"
"LTBP1",0.3,11.5,31.3,0.3,17.9,399,13.1,39.3,77.8,5.9,9,21,4,29.5,0.9,4.6,2.1,0.7,1,21.3,0.5,14.1,122.5,10.7,2.7,99.7,0.3,13.9,134.6,3.2,141.2,5.3,162.4,7.8,0.2,42.5,15.1,4.4,0.1,22.4,36.3,4.3,63.8,0.4,0.3,17.9,7.4,3.6,10,54.2,0.6,26.3,0.3,102.7,6.3,27.7,168.2,31.1,57.3,56.2,41.1,250.3,4,10.7
"CDC42EP3",86.2,34,21.2,1.1,55.3,29.6,31.5,70.4,179.2,118.6,89.8,57.7,34.2,12.9,61,153.9,41.1,27.5,71.3,125.2,61.3,7.1,28.1,25.6,0,130.9,6,1.8,93.1,65.9,110.2,186.7,62.8,4.4,9.8,504.9,0.6,3.3,35.1,42.6,21,2.6,153.3,6.4,70,37.6,27.2,67.8,43.5,21.9,39.6,9.2,39.5,45.9,149.4,41.1,37.3,71.3,19.1,25.1,4.3,61.3,37.3,211.6
"NME1",340.2,689.3,254.6,335.3,72.4,117.4,416.3,250.8,166.1,559.2,440.5,499.3,201.9,486.4,284.1,214.2,180.2,512.7,361.7,493.4,308.5,613.3,400.9,394.4,575.8,179.2,393.1,172.5,116.6,224.3,453.6,323.3,306.9,600.2,157.9,300.9,503.1,474.7,358,309.5,635.9,326.3,491.7,436.7,349.9,212.9,419,434.5,165.1,314.5,216.9,411.6,222.3,190.7,379.6,364.6,225.2,510.5,214,485.5,549.1,228,323.6,295.6
"BCL2L1",337.1,203.5,40.6,36.5,146.9,107.8,125.2,75.9,119.1,86,85.4,441.9,159.8,44.9,211.2,101.7,112.4,56.9,182.9,62.8,61.7,13,257.8,32.3,183.1,134.4,23.1,143.8,80.8,75.3,117.2,193.8,111.8,161.9,33.6,263.6,83.9,68.9,17.7,56.5,184.2,49.1,118.7,138.9,286.7,84.5,124,52.4,117.2,80.6,40.8,201.5,22.1,152.6,114.1,139.5,43.6,135.8,23.5,127.9,35.9,166.7,98.6,73.8
"RHOB",25.1,38.2,78.7,17.9,138.4,33.6,108.4,112.5,39.1,53.9,19,22.3,28.8,0.1,12.9,52.7,14.2,1.4,19.5,19.8,31,79.3,1.3,79.9,151.2,44.2,0.3,75.3,64.3,67.2,34.5,34.9,248.1,7.7,36.6,29.5,58.9,1.1,6.9,35.3,16.4,6.8,34.6,35.6,344.8,52.8,76,42,29.4,419.9,60.2,92.3,4.9,145.2,25.4,63.8,10,42.4,73.2,10.6,0.3,6.4,0.3,23.9
"RPL7A",636.9,985.4,1201.1,1129.7,1433.2,2410.3,1117.4,759,1480,1472.4,853.7,1376.5,821.9,1623.4,508.7,1222.1,1539.6,1872.3,1546.2,1225.1,900.9,942.2,719.1,1078.5,1112.6,1160.2,1521.7,799.8,2535.1,2281.1,1147.8,1515.1,1702,1393.4,834.7,1535.3,1890.9,1198.1,1260.9,1324.9,982.9,1182.9,1474.8,2013.6,1545.9,732.3,1338.3,1064,779.5,1397.2,900.5,1914.6,1346.1,916.5,1022.5,778.8,877.7,892.8,343.7,672.4,956.7,792.6,1030.5,813.5
"SUB1",173,145.8,309,272.8,128,230.1,189.4,286.1,198.6,279.2,267.7,194,268.1,71.4,216.7,182.5,116.4,273.3,199.2,388.1,388.5,223.3,301.8,261.6,304.5,221,469.1,387.6,168.4,169.8,318.9,174,189.7,354.5,1025.2,223.7,135,450.4,593.5,206.3,301.7,224.4,395.2,444.1,226,140.2,199.4,148.8,556.1,182.5,188.7,254.1,364.5,193.4,317.9,365,254.9,213.4,421.9,716.2,119.7,290.2,494.3,198.2
"ANP32B",581.6,318.8,379.6,299.5,145.1,260.2,337.2,285.1,241.3,330.2,289.1,367.6,279.3,578.8,185.7,176.8,379.5,539.9,273.1,390.8,491.6,270.7,630,201.8,329.8,227.9,965.9,344.8,205.8,197.3,285.6,448.6,260.8,1229.7,399.9,230.9,677.3,740.7,680.5,150.3,321.3,496.6,579.5,268.4,175.6,218.5,363.6,286.4,419.8,285.8,271.7,203.3,301.9,311.7,226.7,388.6,271.9,297.1,381.7,424.4,335.5,208.4,376.3,432.2
"RPS15A",1446.9,1488.9,2453.9,1581.9,2089.3,3826.1,1839.8,1371.1,2030.2,2071.8,1714.5,1894.5,1603.9,2715.3,3071.3,1750.4,1381.8,2434.8,2390.2,2475.8,1421.3,3697.1,1493,1307.8,3874.1,3275.7,2223.3,1151.1,3843.6,3826.7,1832.4,2908.2,2337.4,2168.7,1550.6,1993.1,2991.6,2273.1,2270.6,2323.8,1580.3,3520.3,2228.3,3351.5,2053.7,1224.1,2099.6,1479.3,1334.2,1942.5,2011.5,2198.8,2925.2,1627.9,1023.8,1050.5,1013.8,1327.5,1488.4,1867.9,2330.7,1309.5,2205.7,1195.8
"TPD52L1",32.7,37.9,0.4,249,1.6,0.4,61.1,5.5,4.8,0,0.7,55.6,41.1,0.2,128.1,24.2,74.2,8.6,41.6,0.1,0.7,53.2,0.7,39.1,0.6,4.8,0.1,0.1,5.3,169.3,0.1,23.6,0,27.2,0.4,3.9,277.5,0,0.5,4.3,21.2,0.3,0.2,0,204.5,7.8,10.6,0.2,74.5,142,3.6,152.1,0.5,0.2,1.8,6,0.5,1.6,0.1,0,0.1,0.9,0.2,0.7
