gene,1,2,3,4,5,6,7,8
DNAJC15,2144,2246,778,1465,1892,2451,1422,1681
DNAJC16,2899,3215,2547,3486,2259,2538,3101,3623
DNAJC17,785,700,652,820,820,681,616,663
DNAJC18,519,663,566,807,724,850,592,780
DNAJC19,1184,1202,1260,1581,1381,1554,1414,1254
DNAJC2,3064,4387,3704,4775,3591,4507,3770,3977
DNAJC21,3402,3803,3471,4205,3971,4269,3499,4393
DNAJC22,0,0,0,0,0,0,0,0
DNAJC24,654,873,729,880,1067,1012,1144,1094
DNAJC25,337,442,330,303,371,434,370,383
DNAJC25-GNG10,0,0,0,0,0,0,0,0
DNAJC27,1156,1013,824,1073,985,1036,1211,973
DNAJC27-AS1,34,17,63,31,28,45,29,36
DNAJC28,2,1,53,32,61,4,20,21
DNAJC3,3633,3887,3967,4793,4032,4834,3505,3885
DNAJC30,964,804,877,1100,924,919,904,906
DNAJC4,4824,4050,3588,4227,4200,4233,3506,4145
DNAJC5,8744,8108,7570,8730,7098,7098,6535,8513
DNAJC5B,0,0,0,6,0,0,0,0
DNAJC5G,0,0,0,0,0,0,0,0
DNAJC6,281,142,268,191,161,90,213,209
DNAJC7,3824,3997,4450,4923,4139,3858,3672,4533
DNAJC8,5910,6523,6482,8188,5745,6098,5575,7170
DNAJC9,3084,3534,3321,3966,3641,3537,2653,3347
DNAJC9-AS1,143,77,62,127,128,91,83,85
DNAL1,787,749,768,837,825,993,1051,937
DNAL4,475,407,566,531,504,416,299,392
DNALI1,0,10,8,2,18,11,3,23
DNASE1,1245,1053,1158,1598,1369,1199,1119,1726
DNASE1L1,2008,2107,1567,1760,2016,2109,1424,1887
DNASE1L2,75,41,48,67,123,87,79,139
DNASE1L3,3,6,0,0,0,0,1,6
DNASE2,2422,2416,2212,2927,2164,2391,1670,2489
DNASE2B,0,0,0,0,0,0,0,0
DND1,2002,1777,1132,1471,1441,1439,1663,1958
DNER,0,0,0,0,17,14,0,0
DNHD1,9946,8142,7018,8679,7080,6982,7062,8645
DNLZ,823,973,813,1074,953,1096,673,1005
DNM1,55,100,53,31,61,36,61,46
DNM1L,4288,5526,3805,5472,4808,5631,5543,5163
DNM1P35,2,0,5,17,13,1,2,7
DNM1P41,48,101,129,140,156,73,183,254
DNM1P46,140,155,202,228,236,216,123,176
DNM2,28540,25958,22916,29210,22232,23906,20022,28163
DNM3,187,170,191,209,159,169,159,194
DNM3OS,0,1,0,1,3,26,7,2
DNMBP,773,476,451,457,587,364,577,621
DNMBP-AS1,0,0,0,1,0,0,4,0
DNMT1,19516,19254,16693,21115,16564,16704,16681,21011
DNMT3A,11353,9015,8374,9790,9850,8747,8719,11505
DNMT3B,112,112,150,113,150,91,136,103
DNMT3L,32,6,13,10,10,5,6,0
DNPEP,9283,8092,3549,4789,3892,3911,3492,4357
DNPH1,842,1156,1027,1466,760,982,769,1257
DNTT,18,7,0,1,1,1,0,0
DNTTIP1,842,814,773,1008,831,763,639,872
DNTTIP2,8212,8466,8409,10970,8439,8585,7503,9577
DOC2A,1,1,7,1,20,8,12,9
DOC2B,5,1,0,1,3,1,0,0
DOC2GP,69,84,300,248,56,89,51,45
DOCK1,0,8,0,0,0,0,0,0
DOCK10,26055,25713,23272,29781,23091,21835,27354,28885
DOCK11,12768,17115,14814,20195,13121,15934,15546,17349
DOCK2,29018,28267,28229,34943,27034,24843,23779,30373
DOCK3,1066,619,767,899,738,697,585,534
DOCK4,1,5,14,37,13,13,11,13
DOCK5,112,81,23,24,4,26,23,56
DOCK6,49,48,60,63,18,25,7,35
DOCK7,926,872,895,1178,1399,1070,1131,984
DOCK8,19592,18608,21399,27383,15318,15369,15952,18447
DOCK9,17816,15874,14964,17922,16468,14851,16562,18392
DOHH,547,565,534,825,364,513,407,612
DOK1,506,738,710,787,582,718,590,796
DOK2,6899,7776,8529,10670,7949,8318,5529,11405
DOK3,186,147,80,73,107,98,59,94
DOK4,355,348,284,269,296,288,225,422
DOK5,0,0,4,12,0,0,0,1
DOK6,421,501,328,573,476,775,721,665
DOK7,16,12,9,0,0,1,4,1
DOLK,351,287,330,210,283,220,251,262
DOLPP1,607,431,603,592,576,492,580,660
DOM3Z,2409,2054,2386,2905,2206,2240,2054,2679
DONSON,911,993,680,1006,1039,1161,903,973
DOPEY1,3336,2856,2162,3211,3647,3568,3665,3704
DOPEY2,2949,3019,3228,4366,2687,2728,3077,3786
DOT1L,6545,5965,4628,5969,5311,5475,4849,6898
DPAGT1,1460,1311,1236,1654,1352,1397,1058,1738
DPCD,91,102,75,110,73,73,93,81
DPCR1,0,0,0,0,1,0,0,0
DPEP1,0,0,0,1,6,0,0,0
DPEP2,5341,5236,4299,5794,3227,3987,4650,5607
DPEP3,124,37,85,82,51,72,64,95
DPF1,3,9,3,7,11,26,5,6
DPF2,3938,3414,3246,3938,2678,2723,3005,4087
DPF3,47,21,30,65,37,61,22,28
DPH1,3875,3371,2807,3969,2938,2922,3010,3697
DPH2,2730,2486,2330,2707,2021,2307,2198,2753
DPH3,858,1142,1215,1662,1477,1561,1054,1259
DPH3P1,140,151,215,189,89,125,132,247
DPH5,3172,3091,3149,3810,3718,3092,3210,3070
DPM1,1316,1882,1663,2462,1772,2296,1906,1774
DPM2,2039,1723,1743,1941,1822,2069,1654,2182
DPM3,634,430,518,441,477,359,362,410
DPP10,0,0,0,0,0,0,0,0
DPP3,2235,2502,2331,3284,1932,2559,1740,2830
DPP4,10750,8223,10930,11453,10070,8833,11031,10480
DPP6,2,9,0,0,11,6,12,12
DPP7,18904,17474,16793,19798,15062,16603,11563,15489
DPP8,3758,4882,3918,4595,4021,4600,4366,4900
DPP9,8582,7837,7737,9542,7938,7909,7292,9612
DPPA2,0,0,0,0,0,0,0,0
DPPA2P3,0,0,0,0,0,0,0,0
DPPA3,10,18,8,19,20,10,3,5
DPPA4,0,0,0,5,4,0,23,19
DPPA5,0,0,0,0,0,0,0,0
DPRX,0,0,0,0,0,0,0,0
DPRXP4,0,8,14,3,8,0,5,2
DPT,0,0,0,0,0,0,0,0
DPY19L1,681,681,682,863,838,1074,778,690
DPY19L1P1,213,259,351,513,282,306,236,282
DPY19L2,72,60,50,76,65,71,44,23
DPY19L2P1,9,2,7,4,6,11,4,6
DPY19L2P2,1022,585,722,681,692,618,722,743
DPY19L2P3,12,0,3,6,7,4,1,1
DPY19L2P4,4,4,10,8,0,11,6,1
DPY19L3,966,1471,751,1218,1190,1659,1319,1196
DPY19L4,1115,1657,1150,1457,1247,1641,1701,1402
DPY30,806,1170,1043,1076,874,1140,893,1257
DPYD,2988,3400,2670,3308,2910,3190,2730,3260
DPYD-AS1,7,3,0,6,1,6,2,3
DPYS,0,0,0,0,0,0,0,0
DPYSL2,957,1532,1323,1343,1003,1015,1071,1519
DPYSL3,8,0,0,0,0,0,0,0
DPYSL4,105,53,206,139,253,165,113,164
DPYSL5,0,5,0,0,5,0,0,0
DQX1,15,0,0,2,2,16,6,6
DR1,4238,4794,5891,6829,4606,6830,4886,6036
DRAM1,192,120,87,138,107,125,59,92
DRAM2,2625,3462,2801,3583,3038,3491,3078,2897
DRAP1,4773,5176,5768,6457,4374,5668,4190,6666
DRAXIN,1,11,18,1,0,9,1,2
DRD1,0,0,0,0,0,0,0,0
DRD2,7,17,10,1,4,0,0,14
DRD3,17,12,1,2,7,11,1,1
DRD4,25,1,12,4,5,30,16,6
DRD5,0,0,0,0,0,1,0,0
DRG1,3137,3039,2981,3601,2993,2897,2557,3214
DRG2,4231,3713,4026,4420,3317,3379,3201,4349
DRGX,0,0,0,0,0,0,0,0
DROSHA,7933,7062,5616,7094,6006,6191,5359,6142
DRP2,7,32,20,33,23,65,25,40
DSC1,2349,1756,667,624,1612,963,1844,1725
DSC2,0,6,4,0,0,0,0,0
DSC3,9,4,24,20,14,34,24,20
DSCAM,0,0,0,0,0,0,0,0
DSCAM-AS1,0,0,0,0,0,0,0,0
DSCAM-IT1,0,0,0,0,0,0,0,0
DSCAML1,34,10,26,22,27,38,34,51
DSCC1,27,73,4,20,31,38,34,20
DSCR10,0,0,0,0,0,0,0,0
DSCR3,5380,4998,5159,6172,5048,4667,5053,5843
DSCR4,0,0,0,0,0,0,0,0
DSCR6,0,0,0,1,0,0,0,0
DSCR8,0,0,0,0,0,0,0,0
DSCR9,53,25,1,17,77,19,23,29
DSE,141,200,141,172,253,238,188,170
DSEL,340,331,300,176,326,280,491,392
DSG1,0,0,0,0,0,0,0,0
DSG2,94,57,3,17,9,22,38,54
DSG3,58,73,59,67,62,94,67,52
DSG4,0,0,0,0,0,0,0,0
DSN1,932,889,844,1039,851,1023,795,922
DSP,7,0,5,17,1,0,6,5
DSPP,0,0,0,0,0,0,3,0
DST,311,165,524,750,402,397,591,559
DSTN,3100,4003,4676,5989,4174,5601,4084,4332
DSTNP2,285,398,299,289,347,325,315,261
DSTYK,5870,5768,5418,6099,5154,5249,5391,5443
DTD1,1750,1835,1957,2365,1709,1785,1597,1713
DTD2,656,704,670,801,809,758,752,900
DTHD1,70,91,76,142,153,153,58,78
DTL,52,97,17,86,7,98,2,46
DTNA,0,0,0,0,0,0,2,0
DTNB,1274,1294,1395,1697,1411,1340,1356,1791
DTNBP1,2059,2106,2557,2805,2122,2070,1515,2075
DTWD1,504,729,440,688,646,926,807,607
DTWD2,178,241,175,251,264,303,289,250
DTX1,3490,2541,4578,7253,1886,2447,1388,3312
DTX2,1846,1512,1184,1547,1477,1312,1368,1966
DTX2P1-UPK3BP1-PMS2P11,673,527,496,540,569,476,712,796
DTX3,4331,3627,3497,4670,3791,3930,3389,4281
DTX3L,6297,6954,6145,7302,6053,5794,5731,6993
DTX4,166,171,101,118,173,130,227,148
DTYMK,980,749,920,956,811,830,710,968
DUOX1,154,120,130,159,167,91,246,188
DUOX2,1,21,14,1,1,6,16,9
DUOXA1,9,9,19,9,6,17,16,2
DUOXA2,0,0,0,0,0,0,0,0
DUPD1,1,3,0,1,0,0,10,0
DUS1L,13290,13381,11487,14181,11986,11961,10914,13752
DUS2L,840,863,747,873,571,832,682,737
DUS3L,4261,4019,4464,5223,4008,4517,3894,5408
DUS4L,364,603,457,594,512,677,630,542
DUSP1,56682,68413,71249,94355,84037,93251,43042,73866
DUSP10,1809,2615,2236,3490,2148,2772,1835,3458
DUSP11,1598,1367,1558,2095,1141,1762,1530,1828
DUSP12,2165,2125,1863,2344,1774,2152,1894,2302
DUSP13,1,10,0,0,0,0,2,5
DUSP14,536,389,574,485,302,487,280,500
DUSP15,0,0,0,0,0,0,0,1
DUSP16,12407,12190,9202,11111,11203,10186,10976,12239
DUSP18,995,790,867,1009,703,789,753,998
DUSP19,24,51,57,100,104,88,74,132
DUSP2,13584,12172,11766,17539,9426,14407,8519,16045
DUSP21,0,0,0,0,0,0,0,0
DUSP22,1814,1680,1447,1783,1957,1598,1553,1792
DUSP23,620,639,519,649,484,551,461,551
DUSP26,0,0,0,0,0,0,0,0
DUSP27,0,0,0,0,0,0,0,0
DUSP28,869,715,708,866,666,720,697,884
DUSP3,901,860,780,1035,748,696,787,1104
DUSP4,2259,5663,4793,8283,2876,6005,1812,6034
DUSP5,4393,4816,6577,10618,5166,7402,4684,8669
DUSP5P1,0,8,0,0,0,0,0,3
DUSP6,1411,1900,725,1777,1463,1599,697,1306
DUSP7,2357,2352,2089,2108,2030,1604,2191,2593
DUSP8,2332,1500,2017,1854,1236,1556,1526,1514
DUSP9,0,6,0,3,0,6,1,8
DUT,7022,6628,5693,6499,6068,7548,6654,7703
DUX2,0,0,0,0,2,0,1,0
DUX4,0,0,0,0,0,0,0,0
DUX4L,0,0,0,0,0,0,0,0
DUX4L2,0,0,0,0,0,0,0,0
DUX4L3,0,0,0,0,0,0,0,0
DUX4L4,0,0,0,0,0,1,1,0
DUX4L5,0,0,0,0,0,0,0,0
DUX4L6,0,0,0,0,0,0,0,0
DUX4L7,0,0,0,0,0,0,0,0
DUXA,37,41,21,31,25,48,35,29
DVL1,5937,5545,5760,6180,5292,5801,5249,6594
DVL2,4408,3573,3763,4370,4053,3780,2899,4011
DVL3,7149,6449,5557,6798,5854,6809,5147,6944
DYDC1,0,0,0,1,1,0,0,0
DYDC2,0,0,0,0,0,0,0,0
DYM,2931,2961,2881,3672,3042,2896,2757,3139
DYNAP,0,0,0,0,0,0,0,0
DYNC1H1,27140,23390,24231,27295,22156,19261,23909,28243
DYNC1I1,0,0,0,0,0,0,4,0
DYNC1I2,3383,3586,3728,4037,3223,3557,3450,4118
DYNC1LI1,1919,2660,2264,2934,2504,2947,2328,2396
DYNC1LI2,5404,5583,4040,5029,5104,6438,4938,5414
DYNC2H1,560,461,341,378,374,440,637,492
DYNC2LI1,206,101,238,340,273,289,226,237
DYNLL1,1864,2263,2299,2986,2162,2551,1547,2363
DYNLL2,8225,8160,8082,9607,7575,8485,7114,8987
DYNLRB1,3750,3821,3865,4829,3214,3881,2881,4407
DYNLRB2,10,21,3,5,0,16,11,13
DYNLT1,1614,2041,1345,1962,2186,2828,2052,1869
DYNLT3,1180,1222,1563,1457,1407,2450,1814,1228
DYRK1A,18686,17759,17617,21608,19214,19167,18825,18979
DYRK1B,1374,1393,1639,1727,1317,1747,1066,1710
DYRK2,23632,21682,21565,27027,20499,21905,24034,28112
DYRK3,33,3,18,23,47,36,21,27
DYRK4,773,735,587,969,613,639,565,607
DYSF,107,63,45,29,5,19,31,15
DYTN,0,0,0,0,0,0,0,0
DYX1C1,5,3,0,0,2,1,4,2
DYX1C1-CCPG1,0,0,0,0,0,0,0,0
DZANK1,268,264,278,277,306,360,417,369
DZIP1,0,0,0,0,0,6,0,0
DZIP1L,0,0,1,12,0,0,0,6
DZIP3,1925,2894,2611,3855,1932,2575,2191,2411
E2F1,243,504,242,447,231,476,209,531
E2F2,552,1350,1030,1413,803,1233,335,1174
E2F3,2500,3402,2016,2922,2150,3191,2395,3495
E2F4,8915,7645,7485,8964,7947,8026,6413,9033
E2F5,228,172,134,122,129,104,105,105
E2F6,952,911,761,1143,798,732,823,1059
E2F7,8,36,17,26,5,43,2,23
E2F8,49,124,18,44,0,33,0,12
E4F1,4192,4276,3660,4701,3824,4121,3908,4710
EAF1,4119,4358,4268,5390,4155,4772,3758,4941
EAF2,217,204,302,282,356,256,202,235
EAPP,4182,4772,3743,5247,3397,4587,3819,4475
EARS2,921,830,871,1169,756,794,886,938
EBAG9,1507,2022,1792,2164,1869,2045,1976,2109
EBF1,23,17,1,6,7,1,18,11
EBF2,0,0,0,0,0,0,0,0
EBF3,7,23,5,3,1,10,18,42
EBF4,508,274,355,376,288,290,486,376
EBI3,0,6,0,0,1,0,0,6
EBLN1,0,0,0,0,0,0,0,0
EBLN2,407,433,292,681,401,596,482,600
EBNA1BP2,1560,1682,1657,1986,1524,1628,1412,1651
EBP,2002,1913,1806,2009,1468,1916,1312,1890
EBPL,1239,1082,1182,1252,1187,1665,906,1183
ECD,2029,2137,2198,2919,1975,2217,2147,2531
ECE1,17694,16628,17784,19875,17037,15743,13396,18959
ECE2,61,36,29,59,47,58,21,34
ECEL1,0,0,0,0,0,0,0,0
ECEL1P2,0,0,0,0,0,0,0,0
ECH1,5512,5134,5886,6672,5272,5008,4325,6312
ECHDC1,1061,1221,2072,2475,1772,2541,2241,2271
ECHDC2,4666,3992,3646,4634,4167,4248,3499,3737
ECHDC3,96,55,16,40,19,8,11,6
ECHS1,2452,2448,2680,2929,2754,2577,2128,2754
ECI1,1312,1276,1393,1384,1308,1222,933,1373
ECI2,1631,1393,1400,1912,1706,1611,1630,1558
ECM1,12,39,54,64,45,42,46,32
ECM2,0,0,0,0,0,6,1,0
ECRP,0,0,0,0,0,0,0,0
ECSCR,1,13,2,8,15,22,6,22
ECSIT,3168,2843,2697,3075,2484,2923,2235,2667
ECT2,236,365,185,530,253,481,257,367
ECT2L,61,64,53,65,99,99,87,86
EDA,1917,828,996,1011,1184,966,988,1108
EDA2R,95,34,21,40,42,38,58,26
EDAR,4463,3258,2715,2731,2750,2136,3961,3902
EDARADD,454,482,467,497,358,454,429,415
EDC3,2810,2569,2656,3115,2691,2172,2111,2745
EDC4,14744,13183,12145,14949,12584,12538,11801,15613
EDDM3A,0,0,0,0,0,1,0,0
EDDM3B,0,0,0,0,0,0,0,0
EDEM1,16845,17243,16063,20326,16788,16249,16118,17787
EDEM2,3061,2906,2529,3315,2566,2543,2320,2787
EDEM3,4024,5397,4404,6668,4298,5717,6364,6338
EDF1,11274,11216,11461,12629,10272,10869,8959,11688
EDIL3,0,0,0,0,0,0,0,0
EDN1,105,84,96,116,101,125,130,75
EDN2,14,6,6,9,4,5,0,1
EDN3,9,44,106,99,105,125,52,73
EDNRA,0,4,0,0,0,3,0,1
EDNRB,0,1,1,0,4,7,1,0
EEA1,3413,3651,4155,5100,3756,4080,5407,4870
EED,1330,1921,1378,2001,1466,2099,1693,2034
EEF1A1,2409958,1980368,2358751,2671347,2249129,2068228,1836681,2191368
EEF1A2,4,27,108,87,231,122,31,44
EEF1B2,79209,62195,73579,83353,77334,68196,60145,70601
EEF1D,66529,61628,66815,74808,63390,62241,52019,64761
EEF1DP3,30,37,84,114,55,45,19,70
EEF1E1,49,190,181,191,207,246,202,132
EEF1E1-MUTED,0,0,0,0,0,0,0,0
EEF1G,276659,211450,255056,277541,252861,221447,205911,245149
EEF2,427246,365144,417571,475673,375326,354336,292472,413003
EEF2K,3655,3466,2345,3196,2777,3178,2758,3505
EEFSEC,2033,1793,1715,1961,1572,1567,1412,1746
EEPD1,809,1309,1047,1661,874,1050,622,920
EFCAB1,0,0,0,0,0,0,0,0
EFCAB10,5,14,13,1,11,23,26,14
EFCAB11,43,95,21,21,112,59,34,30
EFCAB12,230,102,93,109,145,126,80,86
EFCAB13,352,455,414,595,567,507,627,427
EFCAB14,12765,12577,11417,14265,14354,13096,11195,13263
EFCAB14-AS1,55,25,14,21,39,23,34,36
EFCAB2,364,464,295,539,350,469,358,436
EFCAB3,22,18,1,4,6,4,2,7
EFCAB4A,39,27,24,16,42,137,11,16
EFCAB4B,2304,2152,2340,2960,2448,1943,2119,2933
EFCAB5,140,103,60,147,48,46,53,74
EFCAB6,19,37,15,27,17,9,44,25
EFCAB6-AS1,0,0,0,1,0,0,0,0
EFCAB7,501,562,372,499,529,658,729,610
EFCAB9,0,0,0,2,0,0,3,0
EFCC1,5,12,7,8,12,26,13,11
EFEMP1,0,1,0,0,0,0,0,0
EFEMP2,764,436,417,615,497,525,768,825
EFHA1,1952,3301,2239,3041,2313,3634,3254,2599
EFHA2,122,175,325,352,411,755,785,606
EFHB,60,15,0,7,5,6,26,27
EFHC1,552,609,508,736,486,551,664,624
EFHC2,277,256,374,264,301,341,360,336
EFHD1,234,139,193,169,79,113,141,180
EFHD2,12220,11509,9433,10540,8351,10110,5979,8286
EFNA1,55,21,36,56,44,16,42,73
EFNA2,0,0,0,3,1,0,0,0
EFNA3,53,90,55,63,47,51,36,26
EFNA4,193,160,170,253,262,175,118,202
EFNA5,2,20,7,3,7,24,2,0
EFNB1,344,318,397,418,404,216,343,382
EFNB2,13,41,0,24,23,38,27,19
EFNB3,0,1,0,0,0,0,8,1
EFR3A,3924,4956,3640,4934,4721,5364,4309,4566
EFR3B,31,8,66,53,30,10,38,77
EFS,0,0,0,0,0,0,0,0
EFTUD1,1908,2176,2299,2718,1966,2179,1696,2380
EFTUD1P1,38,33,42,36,16,19,31,17
EFTUD2,6282,6024,6254,7249,5560,5269,5170,6440
EGF,0,0,0,0,0,0,0,0
EGFEM1P,0,0,3,4,11,1,2,15
EGFL6,5,20,0,1,5,49,2,7
EGFL7,16,0,20,15,26,0,1,0
EGFL8,4,0,8,3,0,9,3,2
EGFLAM,0,0,0,0,0,0,0,0
EGFLAM-AS4,0,0,0,0,0,0,0,0
EGFR,0,0,0,0,0,0,0,0
EGFR-AS1,0,0,0,0,0,0,0,0
EGLN1,4673,4887,4251,5530,4947,6300,4717,5103
EGLN2,7,0,8,13,1,7,12,29
EGLN3,25,13,73,110,129,98,109,95
EGOT,8,0,4,6,16,17,11,10
EGR1,3672,2750,1744,3217,2269,2849,982,1456
EGR2,132,162,129,135,115,108,76,129
EGR3,161,150,58,76,100,75,53,64
EGR4,0,14,4,1,4,4,6,0
EHBP1,1712,1696,1774,2013,1908,1828,2054,2167
EHBP1L1,23645,22744,22223,25739,26137,24711,22158,28770
EHD1,22227,22149,18981,21926,20427,18852,18040,22090
EHD2,0,1,0,7,0,11,10,1
EHD3,774,441,602,631,686,616,586,706
EHD4,3263,3435,3302,3638,2727,2667,2213,3478
EHF,0,5,1,1,0,1,8,30
EHHADH,38,87,39,65,40,36,76,103
EHHADH-AS1,0,0,0,0,0,0,0,0
EHMT1,9077,8683,7705,8914,7981,7849,7437,9734
EHMT2,9783,7791,7992,9088,8198,7305,7070,9710
EI24,3772,3426,2986,3404,3033,2918,3000,3681
EID1,6291,9518,8551,10451,8609,14516,8548,7597
EID2,888,1010,899,1118,618,1066,903,1025
EID2B,299,291,312,346,221,305,226,258
EID3,748,689,1004,1053,423,752,749,742
EIF1,161446,144450,165582,203811,161763,171989,122948,173043
EIF1AD,3253,3001,3148,3764,2848,3208,2637,3794
EIF1AX,3144,4172,3370,4215,4194,5830,8851,7193
EIF1AY,1319,2118,1729,2411,1824,2215,1,4
EIF1B,3828,3896,3231,3691,3019,4218,4044,3823
EIF1B-AS1,64,32,70,95,66,47,52,95
EIF2A,12722,12403,10866,14433,13284,14148,12444,13408
EIF2AK1,10742,11346,10560,12656,10447,9831,8860,11471
EIF2AK2,2204,2918,1916,3011,2357,2684,2242,2558
EIF2AK3,3813,3760,3110,4418,3053,3713,4012,3636
EIF2AK4,4907,4695,3232,3658,5262,4996,3684,4801
EIF2B1,4827,4444,4040,5246,4206,4657,4298,5177
EIF2B2,880,744,947,1151,739,873,762,1018
EIF2B3,917,776,898,1188,650,803,783,928
EIF2B4,2820,2762,2475,3108,2954,2590,2297,3016
EIF2B5,8263,7824,6841,8806,6827,6646,6644,7761
EIF2D,7234,5748,5984,7423,6075,5415,5545,6204
EIF2S1,2588,3450,3271,3975,3172,3078,3477,3369
EIF2S2,6063,7432,7167,8472,6380,7021,5760,7177
EIF2S3,25701,25373,27174,32224,25311,27140,34956,37221
EIF3A,26834,35921,31728,41151,27379,37707,27643,34516
EIF3B,15363,14096,13050,15998,13225,12848,12208,16177
EIF3C,42,45,11,23,31,11,20,12
EIF3CL,0,0,0,0,1,0,0,0
EIF3D,26364,22495,25131,28993,23588,20994,18166,24078
EIF3E,42476,49038,49152,58272,46127,47728,47486,47243
EIF3F,35543,29808,31057,36116,28575,28099,26386,33897
EIF3G,19846,18637,18532,21597,18903,18568,15821,20739
EIF3H,32848,31626,32897,40168,30765,30849,28191,33198
EIF3I,9071,8623,9041,11654,8362,8902,6373,9791
EIF3IP1,0,0,0,0,0,0,0,0
EIF3J,2410,4280,3092,4115,2640,4331,3539,3905
EIF3K,18214,15641,17073,18965,15602,15747,12978,17057
EIF3L,58145,45916,54832,62284,50418,45200,42475,52041
EIF3M,9046,9025,8283,11112,8651,11107,9318,9591
EIF4A1,0,0,0,0,0,0,0,0
EIF4A2,50276,53740,54573,71696,56098,58907,51511,58729
EIF4A3,3012,3715,2817,4692,2857,3005,2082,3644
EIF4B,110653,103789,118871,133737,107501,101222,108407,120413
EIF4E,1650,2025,1658,2332,1521,1993,1711,1747
EIF4E1B,0,5,0,0,0,0,0,8
EIF4E2,1873,2204,2101,2860,1933,2238,1720,2433
EIF4E3,5189,6910,6602,8153,8540,11717,5335,7276
EIF4EBP1,321,337,295,333,313,399,225,400
EIF4EBP2,16280,16859,17291,20953,17275,17135,15689,20532
EIF4EBP3,92,99,99,66,35,83,88,53
EIF4ENIF1,3680,2986,3004,3410,2989,2908,2565,3254
EIF4G1,16837,16052,15424,20927,15601,14815,14736,19161
EIF4G2,70082,76641,67466,89554,77725,81475,61279,85454
EIF4G3,5267,4612,3034,4970,4532,4659,3748,4924
EIF4H,25913,27468,27017,33711,22739,26717,22140,28882
EIF5,20546,24325,19370,27301,22732,25023,22245,25174
EIF5A,21445,20829,23456,26954,17298,20897,16885,22801
EIF5A2,475,708,753,787,583,963,642,566
EIF5AL1,60,73,80,97,73,147,344,357
EIF5B,8625,10564,9731,11483,10333,11841,10048,11055
EIF6,2431,2386,2335,2971,1953,2457,1847,2908
ELAC1,404,538,472,657,581,445,500,555
ELAC2,6098,6150,4936,6020,5412,5291,5219,6286
ELANE,0,0,0,0,0,0,0,0
ELAVL1,3451,3295,3331,4008,2968,3217,2635,3740
ELAVL2,0,0,0,0,0,0,0,0
ELAVL3,2,6,0,1,0,6,2,11
ELAVL4,4,1,0,0,0,0,0,0
ELF1,21406,25400,18924,26038,20683,24160,18224,20903
ELF2,8288,7146,6037,8957,5891,7479,7142,7443
ELF3,141,106,97,144,148,115,75,119
ELF4,7999,7457,6908,8815,7984,6683,5730,8922
ELF5,0,0,0,0,0,0,0,0
ELFN1,0,2,7,0,3,5,1,1
ELFN2,81,62,42,18,40,42,34,37
ELK1,4550,4250,4217,4924,3755,4035,3383,5096
ELK2AP,2,0,0,19,0,0,0,6
ELK3,4878,4069,3694,4618,4488,3969,3851,4965
ELK4,10283,10835,9926,12096,9791,13053,12659,12165
ELL,2213,2218,2231,2706,2234,2617,1875,2302
ELL2,1093,1122,1024,1258,1000,1532,1022,1147
ELL3,139,144,142,173,118,196,189,161
ELMO1,8117,8488,6513,8716,5665,6245,5624,7433
ELMO2,5959,5419,5304,6711,5362,6080,4555,5799
ELMO3,1089,865,801,630,858,783,642,918
ELMOD1,0,0,4,0,0,0,0,3
ELMOD2,909,1106,633,896,851,1387,1138,843
ELMOD3,2866,2846,2400,3214,2705,2855,2335,2813
ELMSAN1,11895,9600,10153,12769,12219,9828,10663,11634
ELN,2,0,0,0,4,2,1,0
ELOF1,1986,1771,1645,2188,2002,2248,1693,2332
ELOVL1,2765,2685,2985,2862,2625,2453,2015,2774
ELOVL2,0,1,0,0,0,0,0,0
ELOVL2-AS1,0,0,0,0,0,0,0,0
ELOVL3,10,16,0,2,0,7,5,4
ELOVL4,119,63,67,35,212,239,226,148
ELOVL5,9108,13106,10654,14974,9540,14827,9241,11920
ELOVL6,313,206,166,240,176,272,177,143
ELOVL7,0,3,7,13,1,0,6,9
ELP2,5800,6043,4815,6436,5186,4857,5873,6322
ELP3,2991,2995,2622,3432,2468,2342,2537,2742
ELP4,738,780,784,1039,959,867,683,1015
ELP5,1788,1598,1551,1866,1492,1632,1249,1890
ELP6,708,945,836,1125,721,793,574,862
ELSPBP1,0,0,0,0,0,0,0,0
ELTD1,0,0,0,0,0,0,0,0
EMB,13324,18884,19993,25000,23049,34868,24773,22641
EMBP1,1132,1427,1475,1703,1605,1822,1413,1534
EMC1,4113,4186,3550,4359,4535,3994,4193,4595
EMC10,7017,6271,6132,6993,6357,6156,5119,6851
EMC2,606,997,674,867,705,813,980,864
EMC3,2197,2192,2380,3103,1978,2195,1617,2282
EMC4,2634,2651,2718,3049,2766,2564,2330,2588
EMC6,98,49,59,70,42,102,55,40
EMC7,1938,2292,2051,2643,1830,2441,1778,2413
EMC8,1275,1223,1084,1533,1144,1288,1000,1525
EMC9,744,717,538,668,566,527,515,644
EMCN,0,0,0,0,0,1,0,0
EMCN-IT3,0,0,0,1,0,0,0,0
EMD,6569,5096,5336,6042,5231,5063,5140,5605
EME1,67,77,21,53,85,76,39,103
EME2,1176,922,1066,1165,1005,763,715,928
EMG1,1455,1411,1515,1759,1257,1302,1303,1430
EMID1,34,3,0,5,4,20,4,8
EMILIN1,141,69,54,101,106,75,74,107
EMILIN2,540,690,346,474,540,523,490,551
EMILIN3,0,0,0,0,0,0,0,0
EML1,0,0,6,1,0,4,0,1
EML2,4327,4491,3265,4479,3504,4131,3041,4455
